uid,title,journal_fix,journal_short,year_fix,keywords_fix,authors_fix,category
WOS:000362845800019,Phosphate removal mechanism in an airlift-loop reactor under limited filamentous bulking conditions,Desalination and Water Treatment,Desalination and Water...,2015,"airlift-loop reactor,limited filamentous bulking,polyphosphate-accumulating micro-organisms,polyphosphate metabolism","su_yiming,zhou_xuefei,dai_chaomeng,jiang_ming,zhang_yalei",freshwater
WOS:000329504800006,"Biomineralization of iron-phosphates in the water column of Lake Pavin (Massif Central, France)",Geochimica et Cosmochimica Acta,Geochimica et Cosmochimica...,2014,NA,"cosmidis_julie,benzerara_karim,morin_guillaume,busigny_vincent,lebeau_oanez,jezequel_didier,noel_vincent,dublet_gabrielle,othmane_guillaume",freshwater
WOS:000378864300033,"Microbial diversity in lake-river ecotone of Poyang Lake, China",Environmental Earth Sciences,Environmental Earth Sciences,2016,"poyang lake,lake-river ecotone,microbial groups,diversity","huang_xiaolan,hu_baoqing,wang_peng,chen_xiaoling,xu_bing",freshwater
WOS:000401114200003,Evidence for polyphosphate accumulating organism (PAO)-mediated phosphorus cycling in stream biofilms under alternating aerobic/anaerobic conditions,Freshwater Science,Freshwater Science,2017,"polyphosphate accumulating organisms,stream biofilms,biogeochemistry,phosphorus","saia_sheila_m,sullivan_patrick_j,regan_john_m,carrick_hunter_j,buda_anthony_r,locke_nicholas_a,walter_m_todd",freshwater
WOS:000293684700017,Structure and activity of lacustrine sediment bacteria involved in nutrient and iron cycles,Fems Microbiology Ecology,Fems Microbiology Ecology,2011,"sediments,quantitative pcr,bacterial community,bacterial activity,biogeochemical cycles","martins_gilberto,terada_akihiko,ribeiro_daniel_c,corral_anuska_m,brito_antonio_g,smets_barth_f,nogueira_regina",freshwater
WOS:000440115600050,Aquatic plant debris changes sediment enzymatic activity and microbial community structure,Environmental Science and Pollution Research,Environmental Science and...,2018,"plant debris,high-throughput pyrosequencing,sediment,microbial community,enzymatic activity,polyphosphate-accumulating organisms","xue_wan-lei,pan_wei,lu_qi,xu_qian-ru,wu_cai-nan,du_shao-ting",freshwater
WOS:000329274900008,Seasonal bacterial community dynamics in a full-scale enhanced biological phosphorus removal plant,Water Research,Water Research,2013,"enhanced biological phosphorus removal,""candidatus accumulibacter phosphatis"",activated sludge","flowers_jason_j,cadkin_tracey_a,mcmahon_katherine_d",freshwater
WOS:000468253500034,Extraction and quantification of polyphosphates in activated sludge from waste water treatment plants by P-31 NMR spectroscopy,Water Research,Water Research,2019,"polyphosphate,identification,quantification,p-31,solid state nmr,ebpr,biological waste water treatment","staal_line_boisen,petersen_anne_boisen,jorgensen_charlotte_a,nielsen_ulla_gro,nielsen_per_halkaejr,reitzel_kasper",freshwater
WOS:000458224000016,An integrated mechanistic modeling of a facultative pond: Parameter estimation and uncertainty analysis,Water Research,Water Research,2019,"waste stabilization pond,integrated mechanistic model,sensitivity analysis,identifiability analysis,parameter estimation,uncertainty analysis","ho_long_t,alvarado_andres,larriva_josue,pompeu_cassia,goethals_peter",freshwater
WOS:000326768300032,Nutrient removal performance and microbial community analysis of a combined ABR-MBR (CAMBR) process,Chemical Engineering Journal,Chemical Engineering Journal,2013,"anaerobic processes,aerobic processes,membrane bioreactors,optimization,municipal wastewater,nutrient removal","wu_peng,ji_xiaoming,song_xiaokang,shen_yaoliang",freshwater
