uid,category_str,count
WOS:000070983400006,marine,1
WOS:000071005400018,marine,1
WOS:000071726100006,freshwater,1
WOS:000071885000073,terrestrial,1
WOS:000071948600007,marine,1
WOS:000072040700035,agriculture,1
WOS:000072040700039,marine,1
WOS:000072138900001,"terrestrial,marine",2
WOS:000072230800034,terrestrial,1
WOS:000072662700003,marine,1
WOS:000073416600026,freshwater,1
WOS:000073416600046,wwt,1
WOS:000073440600049,marine,1
WOS:000073933300032,wwt,1
WOS:000073951900013,"freshwater,marine",2
WOS:000074133400003,freshwater,1
WOS:000074202000014,terrestrial,1
WOS:000074212300004,wwt,1
WOS:000074302800001,freshwater,1
WOS:000074373600006,terrestrial,1
WOS:000074373600007,freshwater,1
WOS:000075072300005,terrestrial,1
WOS:000075262700010,"terrestrial,freshwater",2
WOS:000075311200009,"freshwater,marine",2
WOS:000075781600006,terrestrial,1
WOS:000075967900027,marine,1
WOS:000076027900001,freshwater,1
WOS:000076694200026,"freshwater,marine",2
WOS:000077055800005,freshwater,1
WOS:000077399200019,freshwater,1
WOS:000077450900010,terrestrial,1
WOS:000077575200001,freshwater,1
WOS:000077587900032,freshwater,1
WOS:000077752100006,terrestrial,1
WOS:000077800700002,freshwater,1
WOS:000077813700003,freshwater,1
WOS:000077813700005,terrestrial,1
WOS:000077923900007,wwt,1
WOS:000078234000017,freshwater,1
WOS:000078482900019,terrestrial,1
WOS:000078617800003,terrestrial,1
WOS:000078665200015,terrestrial,1
WOS:000078757900013,marine,1
WOS:000078798200010,terrestrial,1
WOS:000078830900004,"terrestrial,freshwater,marine",3
WOS:000078882000059,wwt,1
WOS:000078882000062,terrestrial,1
WOS:000079427900003,marine,1
WOS:000079590300017,"wwt,marine",2
WOS:000079633800007,marine,1
WOS:000079787800002,terrestrial,1
WOS:000079805200010,terrestrial,1
WOS:000079992400007,terrestrial,1
WOS:000080106500003,freshwater,1
WOS:000080197000008,terrestrial,1
WOS:000080203500015,terrestrial,1
WOS:000080205700015,marine,1
WOS:000080326300016,"terrestrial,marine",2
WOS:000080351500007,marine,1
WOS:000080398500001,terrestrial,1
WOS:000080451200005,"freshwater,marine",2
WOS:000080700700015,terrestrial,1
WOS:000080927500006,"terrestrial,marine",2
WOS:000080948600013,terrestrial,1
WOS:000081007400015,marine,1
WOS:000081167300008,agriculture,1
WOS:000081185800036,marine,1
WOS:000081312500023,terrestrial,1
WOS:000081891200002,freshwater,1
WOS:000082042100010,terrestrial,1
WOS:000082154600003,wwt,1
WOS:000082201700004,terrestrial,1
WOS:000082675100009,freshwater,1
WOS:000082715700004,"terrestrial,marine",2
WOS:000082820400011,terrestrial,1
WOS:000083052000006,agriculture,1
WOS:000083156200015,freshwater,1
WOS:000083156200016,freshwater,1
WOS:000083184400006,terrestrial,1
WOS:000083229200017,wwt,1
WOS:000083324800005,wwt,1
WOS:000083517900002,terrestrial,1
WOS:000083660900001,terrestrial,1
WOS:000083787400013,marine,1
WOS:000083812100001,terrestrial,1
WOS:000084163300014,marine,1
WOS:000084223800001,terrestrial,1
WOS:000084617900007,terrestrial,1
WOS:000084888500004,terrestrial,1
WOS:000085048300006,terrestrial,1
WOS:000085210500019,agriculture,1
WOS:000085273300004,wwt,1
WOS:000085301800004,freshwater,1
WOS:000085343000009,freshwater,1
WOS:000085353500010,marine,1
WOS:000085456400002,freshwater,1
WOS:000085517200010,terrestrial,1
WOS:000085672600005,wwt,1
WOS:000085986800025,terrestrial,1
WOS:000086066700002,terrestrial,1
WOS:000086119000039,marine,1
WOS:000086221900007,wwt,1
WOS:000086239900005,freshwater,1
WOS:000086267100002,"terrestrial,freshwater,marine",3
WOS:000086543900005,terrestrial,1
WOS:000086614600012,wwt,1
WOS:000086636300004,wwt,1
WOS:000086864400009,terrestrial,1
WOS:000087080100048,terrestrial,1
WOS:000087106600006,wwt,1
WOS:000087237600010,terrestrial,1
WOS:000087287000002,terrestrial,1
WOS:000087299100001,terrestrial,1
WOS:000087598700009,terrestrial,1
WOS:000087606700012,terrestrial,1
WOS:000087763900008,marine,1
WOS:000087931800016,marine,1
WOS:000088455100015,terrestrial,1
WOS:000088475900039,wwt,1
WOS:000088545000006,terrestrial,1
WOS:000088546300047,terrestrial,1
WOS:000088612500006,terrestrial,1
WOS:000088891700009,terrestrial,1
WOS:000089039800012,freshwater,1
WOS:000089250700010,terrestrial,1
WOS:000089256300007,terrestrial,1
WOS:000089263900005,"wwt,agriculture",2
WOS:000089365200001,marine,1
WOS:000089490700003,terrestrial,1
WOS:000089562500015,freshwater,1
WOS:000089963200010,terrestrial,1
WOS:000165302400019,terrestrial,1
WOS:000165422800088,marine,1
WOS:000165723300014,marine,1
WOS:000165903000001,freshwater,1
WOS:000166241900002,terrestrial,1
WOS:000166241900029,terrestrial,1
WOS:000166518500002,terrestrial,1
WOS:000166522000013,marine,1
WOS:000166533900008,marine,1
WOS:000166795200003,terrestrial,1
WOS:000166893400007,terrestrial,1
WOS:000166930900008,marine,1
WOS:000167310900002,freshwater,1
WOS:000167316800002,wwt,1
WOS:000167319600009,agriculture,1
WOS:000167873900008,"terrestrial,freshwater",2
WOS:000167987200004,"wwt,freshwater",2
WOS:000168112000032,freshwater,1
WOS:000168227200002,terrestrial,1
WOS:000168284000007,terrestrial,1
WOS:000168488400016,terrestrial,1
WOS:000168492800017,freshwater,1
WOS:000168530600003,"terrestrial,marine",2
WOS:000168596800031,"terrestrial,freshwater,marine",3
WOS:000168733100004,terrestrial,1
WOS:000168850600004,marine,1
WOS:000168866400007,freshwater,1
WOS:000168900300012,freshwater,1
WOS:000168945000004,terrestrial,1
WOS:000168958400004,terrestrial,1
WOS:000168996000022,terrestrial,1
WOS:000169162000007,"terrestrial,agriculture",2
WOS:000169237900007,terrestrial,1
WOS:000169402800016,terrestrial,1
WOS:000169628100006,terrestrial,1
WOS:000169628100008,"terrestrial,agriculture",2
WOS:000169628100009,"terrestrial,agriculture",2
WOS:000169874700003,terrestrial,1
WOS:000170021900018,terrestrial,1
WOS:000170022800006,terrestrial,1
WOS:000170022800007,terrestrial,1
WOS:000170055900003,marine,1
WOS:000170181800021,agriculture,1
WOS:000170192000001,"terrestrial,marine",2
WOS:000170324000004,freshwater,1
WOS:000170424200006,wwt,1
WOS:000170470700013,"terrestrial,freshwater",2
WOS:000170770700008,agriculture,1
WOS:000170836200008,freshwater,1
WOS:000171188700041,terrestrial,1
WOS:000171362800003,terrestrial,1
WOS:000171385400005,terrestrial,1
WOS:000171412100011,freshwater,1
WOS:000171528100006,terrestrial,1
WOS:000171783600006,marine,1
WOS:000171828600009,agriculture,1
WOS:000171937700002,freshwater,1
WOS:000171973900013,"freshwater,marine",2
WOS:000172098800007,freshwater,1
WOS:000172111600001,terrestrial,1
WOS:000172184400007,terrestrial,1
WOS:000172202900006,terrestrial,1
WOS:000172356900021,"terrestrial,marine",2
WOS:000172420700009,terrestrial,1
WOS:000172430300003,terrestrial,1
WOS:000172510100021,wwt,1
WOS:000172724100004,terrestrial,1
WOS:000172779200004,freshwater,1
