uid,title,journal_fix,journal_short,year_fix,keywords_fix,authors_fix,environment,category
WOS:000177989100021,Presence of Rhodocyclus in a full-scale wastewater treatment plant and their participation in enhanced biological phosphorus removal,Water Science and Technology,Water Science and...,2002,"dapi,ebpr,fish,phosphorus removal,polyphosphate,rhodocyclus","zilles_jl,hung_ch,noguera_dr",all,all
WOS:000358964200030,The effects of carbon/phosphorus ratio on polyphosphate- and glycogen-accumulating organisms in aerobic granular sludge,International Journal of Environmental Science and Technology,International Journal of...,2015,"biological phosphorus removal,competition,microbial community,molecular biology","muszynski_a,milobedzka_a",all,all
WOS:000229890300015,Characterization of denitrifying polyphosphate-accumulating organisms in activated sludge based on nitrite reductase gene,Journal of Bioscience and Bioengineering,Journal of Bioscience...,2005,"activated sludge,enhanced biological phosphorus removal (ebpr),denitrifying polyphosphate-accumulating organisms (dnpaos),polyphosphate-accumulating organisms (paos),nitrite reductase gene (nirs),polymerase chain reaction (pcr),restriction fragment length polymorphism (rflp)]","tsuneda_s,miyauchi_r,ohno_t,hirata_a",all,all
WOS:000177989100030,Competition between polyphosphate- and glycogen-accumulating organisms in biological phosphorus removal systems - effect of temperature,Water Science and Technology,Water Science and...,2002,"enhanced biological phosphorus removal (ebpr),glycogen-accumulating non-poly-p organisms (gaos),polyphosphate-accumulating organisms (paos),temperature","whang_lm,park_jk",all,all
WOS:000262165500015,Characterizations of Denitrifying Polyphosphate-accumulating Bacterium Paracoccus sp Strain YKP-9,Journal of Microbiology and Biotechnology,Journal of Microbiology...,2008,"denitrifying polyphosphate-accumulating bacterium,pha synthesis,polyphosphate granule","lee_han_woong,park_yong_keun",all,all
WOS:000256335400002,Could polyphosphate-accumulating organisms (PAOS) be glycogen-accumulating organisms (GAOs)?,Water Research,Water Research,2008,"candidatus accumulibacter phosphatis,enhanced biological phosphorus removal,polyphosphate-accumulating organism,glycogen-accumulating organism,polyphosphate,glycogen","zhou_yan,pijuan_maite,zeng_raymond_j,lu_huabing,yuan_zhiguo",all,all
WOS:000183355600002,Identification and comparison of aerobic and denitrifying polyphosphate-accumulating organisms,Biotechnology and Bioengineering,Biotechnology and Bioengineering,2003,"polyphosphate-accumulating organisms (paos),denitrifying polyphosphate-accumulating organisms (dpaos),fluorescence in situ hybridization (fish),accumulibacter,activated sludge,enhanced biological phosphorus removal (ebpr)","zeng_rj,saunders_am,yuan_zg,blackall_ll,keller_j",all,all
WOS:000090041400012,Decolorization of azo-reactive dye by polyphosphate- and glycogen-accumulating organisms in an anaerobic-aerobic sequencing batch reactor,Bioresource Technology,Bioresource Technology,2001,"anaerobic-aerobic process,azo dye,color removal,glycogen-accumulating organisms,polyphosphate-accumulating organisms,reactive dye,sequencing batch reactor,textile wastewater","panswad_t,iamsamer_k,anotai_j",all,all
WOS:000312926400017,Effect of long-term starvation conditions on polyphosphate- and glycogen-accumulating organisms,Bioresource Technology,Bioresource Technology,2013,"polyphosphate-accumulating organisms,glycogen-accumulating organisms,endogenous metabolism,starvation conditions,decay processes","vargas_m,yuan_z,pijuan_m",all,all
WOS:000507465200106,New insights in the competition of polyphosphate-accumulating organisms and glycogen-accumulating organisms under glycogen accumulating metabolism with trace Poly-P using flow cytometry,Chemical Engineering Journal,Chemical Engineering Journal,2020,"phosphate-accumulating organisms (paos),glycogen-accumulating organisms (gaos),metabolic shift,thiothrix caldifontis,flow cytometry","meng_qingan,zeng_wei,wang_baogui,fan_zhiwei,peng_yongzhen",all,all
WOS:000272830700020,Optimization of biological nutrient removal in a pilot plant UCT-MBR treating municipal wastewater during start-up,Desalination,Desalination,2010,"biological nutrient removal (bnr),enhanced biological phosphorous removal (ebpr),membrane bioreactor (mbr),polyphosphate-accumulating organisms (paos)","monclus_h,sipma_j,ferrero_g,comas_j,rodriguez-roda_i",all,all
WOS:000347263300100,Phosphorus metabolism and population dynamics in a biological phosphate-removal system with simultaneous anaerobic phosphate stripping,Chemosphere,Chemosphere,2014,"polyphosphate-accumulating organisms (paos),phosphate stripping,polyphosphate (poly-p),metabolism shift,microbial community structure","lv_jing-hua,yuan_lin-jiang,chen_xi,liu_lun,luo_da-cheng",all,all
WOS:000344113800040,Survival strategies of polyphosphate accumulating organisms and glycogen accumulating organisms under conditions of low organic loading,Bioresource Technology,Bioresource Technology,2014,"organic loading,enhanced biological phosphorus removal (ebpr),polyphosphate accumulating organisms (pao),glycogen accumulating organisms (gao),maintenance processes","carvalheira_monica,oehmen_adrian,carvalho_gilda,reis_maria_a_m",all,all
