uid,title,journal_fix,journal_short,year_fix,keywords_fix,authors_fix
WOS:000254814300032,"Identification and ecophysiological characterization of epiphytic protein-hydrolyzing Saprospiraceae (""Candidatus epiflobacter"" spp.) in activated sludge",Applied and Environmental Microbiology,Applied and Environmental...,2008,NA,"xia_yun,kong_yunhong,thomsen_trine_rolighed,nielsen_per_halkjaer"
WOS:000257649100038,"Development of a 2-sludge, 3-stage system for nitrogen and phosphorous removal from nutrient-rich wastewater using granular sludge and biofilms",Water Research,Water Research,2008,"2-sludge system,nutrient removal,granular sludge,nitrite/fna,nitrous oxide,nutrient-rich wastewater","zhou_yan,pijuan_maite,yuan_zhiquo"
WOS:000262571700014,Polyhydroxyalkanoate synthesis using different carbon sources by two enhanced biological phosphorus removal microbial communities,Process Biochemistry,Process Biochemistry,2009,"volatile fatty acid (vfa),enhanced biological phosphorus removal (ebpr) polyhydroxyalkanoate (pha),polyphosphate accumulating organisms (pao)","pijuan_maite,casas_carles,baeza_juan_antonio"
WOS:000265787500005,A sequencing batch reactor system for high-level biological nitrogen and phosphorus removal from abattoir wastewater,Biodegradation,Biodegradation,2009,"biological nutrient removal,ebpr,pre-fermentation,sbr,slaughterhouse,step-feed,pao","lemaire_romain,yuan_zhiguo,bernet_nicolas,marcos_marcelino,yilmaz_gulsum,keller_juerg"
WOS:000271664600031,Production of polyhydroxybutyrate by activated sludge performing enhanced biological phosphorus removal,Bioresource Technology,Bioresource Technology,2010,"activated sludge,biodegradable plastics,enhanced biological phosphorus removal,polyhydroxybutyrate","rodgers_michael,wu_guangxue"
WOS:000326768300032,Nutrient removal performance and microbial community analysis of a combined ABR-MBR (CAMBR) process,Chemical Engineering Journal,Chemical Engineering Journal,2013,"anaerobic processes,aerobic processes,membrane bioreactors,optimization,municipal wastewater,nutrient removal","wu_peng,ji_xiaoming,song_xiaokang,shen_yaoliang"
WOS:000327911700007,A novel post denitrification configuration for phosphorus recovery using polyphosphate accumulating organisms,Water Research,Water Research,2013,"phosphorus removal,phosphorus recovery,enhanced biological phosphorus removal,polyphosphate accumulating organisms,denitrifying polyphosphate accumulating organisms,wastewater treatment,post denitrification","wong_pan_yu,cheng_ka_yu,kaksonen_anna_h,sutton_david_c,ginige_maneesha_p"
WOS:000329274900009,Metabolic versatility in full-scale wastewater treatment plants performing enhanced biological phosphorus removal,Water Research,Water Research,2013,"polyphosphate accumulating organisms (pao),glycogen accumulating organisms (gao),tca cycle,glycolysis,glycogen,return sludge side-stream hydrolysis (rss)","lanham_ana_b,oehmen_adrian,saunders_aaron_m,carvalho_gilda,nielsen_per_h,reis_maria_a_m"
WOS:000340837600028,Impact of salinity on the anaerobic metabolism of phosphate-accumulating organisms (PAO) and glycogen-accumulating organisms (GAO),Applied Microbiology and Biotechnology,Applied Microbiology and...,2014,"water scarcity,saline wastewater,enhanced biological phosphorus removal (ebpr),phosphate-accumulating organisms (pao),glycogen-accumulating organisms (gao),competition","welles_l,lopez-vazquez_c_m,hooijmans_c_m,van_loosdrecht_m_c_m,brdjanovic_d"
WOS:000347756900075,EBP2R-An innovative enhanced biological nutrient recovery activated sludge system to produce growth medium for green microalgae cultivation,Water Research,Water Research,2015,"wastewater resources management,water,phosphorus and nitrogen recovery,micro-algae cultivation,process modelling,uncertainty and global sensitivity analysis","valuerde-perez_borja,ramin_elham,smets_barth_f,plosz_benedek_gy"
