uid,category_str,count
WOS:000071577500007,wwt,1
WOS:000073933300068,wwt,1
WOS:000073933300092,wwt,1
WOS:000075127200025,wwt,1
WOS:000075920800021,wwt,1
WOS:000076804800015,wwt,1
WOS:000076804800026,wwt,1
WOS:000078379000009,wwt,1
WOS:000080024500013,wwt,1
WOS:000080250600001,wwt,1
WOS:000080250600004,wwt,1
WOS:000083229200017,wwt,1
WOS:000083352700005,wwt,1
WOS:000085604800044,wwt,1
WOS:000085673600025,wwt,1
WOS:000086089700020,wwt,1
WOS:000086614600012,wwt,1
WOS:000086636300004,wwt,1
WOS:000087035400011,wwt,1
WOS:000088016400035,wwt,1
WOS:000088958500012,wwt,1
WOS:000089881000012,wwt,1
WOS:000090006400006,wwt,1
WOS:000090041400012,wwt,1
WOS:000167316800012,wwt,1
WOS:000167574900047,wwt,1
WOS:000167944600035,wwt,1
WOS:000168506200005,wwt,1
WOS:000168639400014,wwt,1
WOS:000170035000012,wwt,1
WOS:000170035100006,wwt,1
WOS:000170035100007,wwt,1
WOS:000170142600021,wwt,1
WOS:000170142600026,wwt,1
WOS:000170425900012,wwt,1
WOS:000170574900009,wwt,1
WOS:000170886000009,wwt,1
WOS:000175350500005,wwt,1
WOS:000175824100027,wwt,1
WOS:000176030100019,wwt,1
WOS:000176179700010,wwt,1
WOS:000177441400005,wwt,1
WOS:000177925500002,wwt,1
WOS:000177989100021,wwt,1
WOS:000177989100023,wwt,1
WOS:000177989100024,wwt,1
WOS:000177989100025,wwt,1
WOS:000177989100026,wwt,1
WOS:000177989100028,wwt,1
WOS:000177989100029,wwt,1
WOS:000177989100030,wwt,1
WOS:000177989100031,wwt,1
WOS:000178390200064,wwt,1
WOS:000178434900023,wwt,1
WOS:000178434900025,wwt,1
WOS:000178481500001,wwt,1
WOS:000178794000005,wwt,1
WOS:000179363300009,wwt,1
WOS:000179440400003,wwt,1
WOS:000179563500018,wwt,1
WOS:000180146800011,wwt,1
WOS:000180570600003,wwt,1
WOS:000182421600024,wwt,1
WOS:000183229800014,wwt,1
WOS:000183355600002,wwt,1
WOS:000183758500005,wwt,1
WOS:000183839100020,wwt,1
WOS:000184160600009,wwt,1
WOS:000184237700035,"wwt,terrestrial",2
WOS:000184522700011,wwt,1
WOS:000184595400004,wwt,1
WOS:000184595400006,wwt,1
WOS:000184595400016,wwt,1
WOS:000185444500005,wwt,1
WOS:000186649600009,wwt,1
WOS:000187634600006,wwt,1
WOS:000188115300073,"wwt,marine",2
WOS:000189304200005,terrestrial,1
WOS:000220016300004,wwt,1
WOS:000220160000002,wwt,1
WOS:000220160000003,wwt,1
WOS:000220160000004,wwt,1
WOS:000221776200024,wwt,1
WOS:000222001100003,wwt,1
WOS:000222215200006,wwt,1
WOS:000222857900027,wwt,1
WOS:000223254700005,wwt,1
WOS:000223901100043,wwt,1
WOS:000224952400019,wwt,1
WOS:000224952400033,wwt,1
WOS:000225194700001,wwt,1
WOS:000225194700008,wwt,1
WOS:000225372700021,wwt,1
WOS:000226104200014,wwt,1
WOS:000226128100018,wwt,1
WOS:000226128100019,wwt,1
WOS:000226128100022,wwt,1
WOS:000227454800002,marine,1
WOS:000227669000003,wwt,1
WOS:000228339200015,wwt,1
WOS:000229691800004,wwt,1
WOS:000229890300015,"wwt,terrestrial,marine",3
WOS:000230156300004,wwt,1
WOS:000230178900004,wwt,1
WOS:000230178900006,wwt,1
WOS:000230375300036,wwt,1
WOS:000230445700084,wwt,1
WOS:000231335500013,wwt,1
WOS:000232239600006,wwt,1
WOS:000232253100006,wwt,1
WOS:000232417800031,wwt,1
WOS:000232585500015,wwt,1
WOS:000232815200004,wwt,1
WOS:000234052600006,wwt,1
WOS:000234416700010,wwt,1
WOS:000234417600129,wwt,1
WOS:000234773400007,wwt,1
WOS:000234800200002,wwt,1
WOS:000235153300002,wwt,1
WOS:000235272400016,wwt,1
WOS:000235272900010,wwt,1
WOS:000235330900011,wwt,1
WOS:000235727700016,wwt,1
WOS:000236102300007,wwt,1
WOS:000236296100006,wwt,1
WOS:000236628400009,wwt,1
WOS:000236738500016,terrestrial,1
WOS:000237540100003,wwt,1
WOS:000237540100013,wwt,1
WOS:000237853400002,wwt,1
WOS:000238056000028,wwt,1
WOS:000238143000016,wwt,1
WOS:000238350700012,wwt,1
WOS:000238859400019,wwt,1
WOS:000238946800022,wwt,1
WOS:000239076000010,wwt,1
WOS:000239196200007,wwt,1
WOS:000239498100005,wwt,1
WOS:000239498100008,wwt,1
WOS:000239498100009,wwt,1
WOS:000239498100011,wwt,1
WOS:000239498100013,wwt,1
WOS:000239498100014,wwt,1
WOS:000239498100022,wwt,1
WOS:000239498100024,wwt,1
WOS:000239498100026,wwt,1
WOS:000239498100030,wwt,1
WOS:000239498100031,wwt,1
WOS:000239498100032,wwt,1
WOS:000239543700004,wwt,1
WOS:000239543700007,wwt,1
WOS:000240693600026,wwt,1
WOS:000240935800001,wwt,1
WOS:000241823000010,wwt,1
WOS:000242677200010,wwt,1
WOS:000242988600021,wwt,1
WOS:000243545300018,wwt,1
WOS:000243743700016,wwt,1
WOS:000244883800015,wwt,1
WOS:000245171400018,wwt,1
WOS:000245576300028,wwt,1
WOS:000245721800003,wwt,1
WOS:000246454100014,wwt,1
WOS:000246491700006,wwt,1
WOS:000246588200006,wwt,1
WOS:000246708800004,wwt,1
WOS:000247169300018,wwt,1
WOS:000247585800012,wwt,1
WOS:000247896100016,wwt,1
WOS:000247960300009,wwt,1
WOS:000248782300013,wwt,1
WOS:000248960500013,wwt,1
WOS:000249984400008,wwt,1
WOS:000249990400005,wwt,1
WOS:000250074700003,wwt,1
WOS:000250115200018,wwt,1
WOS:000250125800018,wwt,1
WOS:000250216900002,wwt,1
WOS:000250216900012,wwt,1
WOS:000250238500004,wwt,1
WOS:000250813200012,wwt,1
WOS:000250960600011,wwt,1
WOS:000251448300005,wwt,1
WOS:000251627300008,wwt,1
WOS:000251639800019,wwt,1
WOS:000251931600014,wwt,1
WOS:000252320800007,wwt,1
WOS:000252443000009,wwt,1
WOS:000252769500007,wwt,1
WOS:000253512200004,wwt,1
WOS:000253792700027,wwt,1
WOS:000254814300032,"wwt,freshwater",2
WOS:000255109900056,wwt,1
WOS:000255109900057,wwt,1
WOS:000255321100004,wwt,1
WOS:000255663400003,wwt,1
WOS:000255663400004,wwt,1
WOS:000255681600002,wwt,1
WOS:000255883600014,wwt,1
WOS:000256236200014,wwt,1
WOS:000256335400001,wwt,1
WOS:000256335400002,wwt,1
WOS:000256569600003,wwt,1
WOS:000256654600024,wwt,1
WOS:000256754000004,wwt,1
WOS:000256961300002,"wwt,terrestrial",2
WOS:000257051900012,wwt,1
WOS:000257464500018,wwt,1
WOS:000257649100038,"wwt,freshwater",2
WOS:000257715500008,wwt,1
WOS:000257982400018,wwt,1
WOS:000257993800014,wwt,1
WOS:000258267700007,wwt,1
WOS:000258485600008,wwt,1
WOS:000258485600023,wwt,1
WOS:000259147900020,"wwt,terrestrial,freshwater",3
WOS:000259512900008,wwt,1
