uid,title,journal_fix,journal_short,year_fix,keywords_fix,authors_fix
WOS:000071577500007,Phosphorus removal from nightsoil with sequencing batch reactor (SBR),Water Science and Technology,Water Science and...,1997,"biological phosphorus removal,hydroxyapatite,nightsoil,nitrogenous waste,phosphorus-fractionation,sbr,struvite","oa_sw,choi_e"
WOS:000073933300068,Determination of the microbial diversity of anaerobic-aerobic activated sludge by a novel molecular biological technique,Water Science and Technology,Water Science and...,1998,"activated sludge,biological phosphorus removal,microbial diversity,polyphosphate,16s rdna,restriction fragment length polymorphism","liu_wt,marsh_tl,forney_lj"
WOS:000073933300092,Modeling of enhanced biological phosphorus removal in a sequencing batch biofilm reactor,Water Science and Technology,Water Science and...,1998,"enhanced biological phosphorus removal,sequencing batch biofilm reactor (sbbr),mathematical modeling,biofilm,iawq activated sludge model no. 2","morgenroth_e,wilderer_pa"
WOS:000075127200025,Inhibition of anaerobic phosphate release by nitric oxide in activated sludge,Applied and Environmental Microbiology,Applied and Environmental...,1998,NA,"van_niel_ewj,appeldoorn_kj,zehnder_ajb,kortstee_gjj"
WOS:000075920800021,Effect of polyphosphate limitation on the anaerobic metabolism of phosphorus-accumulating microorganisms,Applied Microbiology and Biotechnology,Applied Microbiology and...,1998,NA,"brdjanovic_d,van_loosdrecht_mcm,hooijmans_cm,mino_t,alaerts_gj,heijnen_jj"
WOS:000076804800015,Evaluation of phosphorus removal in anaerobic-anoxic-aerobic system - via polyhydroxyalkonoates measurements,Water Science and Technology,Water Science and...,1998,"anaerobic-anoxic-aerobic process,phosphorus release,phosphorus uptake,polyhydroxyalkanoates (phas)","chuang_sh,ouyang_cf,yuang_hc,you_sj"
WOS:000076804800026,Dynamic modelling of enhanced biological phosphorus and nitrogen removal in activated sludge systems,Water Science and Technology,Water Science and...,1998,"activated sludge model no 2,biologically induced precipitation,enhanced biological phosphorus removal,phosphorus accumulating organisms,denitrification,dynamic simulation,polyphosphate,wastewater treatment","maurer_m,gujer_w"
WOS:000078379000009,Microbial competition for the organic substrates and its impact on EBPR systems under conditions of changing carbon feed,Water Science and Technology,Water Science and...,1999,"anaerobic storage,carbon feed,effluent phosphate load,enhanced biological phosphorous removal,metabolic pathways,sequencing batch reactor,wastewater treatment plant","carucci_a,kuhni_m,brun_r,carucci_g,koch_g,majone_m,siegrist_h"
WOS:000080024500013,"Tessaracoccus bendigoensis gen. nov., sp. nov., a Gram-positive coccus occurring in regular packages or tetrads, isolated from activated sludge biomass",International Journal of Systematic Bacteriology,International Journal of...,1999,"tessaracoccus bendigoensis,activated sludge,gram-positive coccus,propionibacteriaceae,g-bacteria","maszenan_am,seviour_rj,patel_bkc,schumann_p,rees_gn"
WOS:000080250600001,Difficulties and developments in biological nutrient removal technology and modelling,Water Science and Technology,Water Science and...,1999,"activated sludge,biological nutrient removal,filamentous bulking,anoxic and aerobic p uptake,models","ekama_ga,wentzel_mc"
WOS:000080250600004,Metabolism of enhanced biological phosphorus removal and non-enhanced biological phosphorus removal sludge with acetate and glucose as carbon source,Water Science and Technology,Water Science and...,1999,"acetate,enhanced biological phosphorus removal,fluorescent in situ hybridization (fish),glucose,glycogen accumulating organisms (gaos),polyhydroxyalkanoates (phas),polyphosphate accumulating organism (paos),respiratory quinone profile","sudiana_im,mino_t,satoh_h,nakamura_k,matsuo_t"
WOS:000083229200017,"Enrichment, phylogenetic analysis and detection of a bacterium that performs enhanced biological phosphate removal in activated sludge",Systematic and Applied Microbiology,Systematic and Applied...,1999,"activated sludge,in situ hybridization,probes,rrna,ebpr,rhodocyclus","hesselmann_rpx,werlen_c,hahn_d,van_der_meer_jr,zehnder_ajb"
WOS:000083352700005,The effect of sludge age on the deterioration of the enhanced biological phosphorus removal process,Environmental Technology,Environmental Technology,1999,"biological phosphorus removal,phosphate accumulating organisms,'g bacteria'","rodrigo_ma,seco_a,ferrer_j,penya-roja_jm"
WOS:000085604800044,Identification of polyphosphate-accumulating organisms and design of 16S rRNA-directed probes for their detection and quantitation,Applied and Environmental Microbiology,Applied and Environmental...,2000,NA,"crocetti_gr,hugenholtz_p,bond_pl,schuler_a,keller_j,jenkins_d,blackall_ll"
WOS:000085673600025,"Micropruina glycogenica gen. nov., sp, nov., a new Gram-positive glycogen-accumulating bacterium isolated from activated sludge",International Journal of Systematic and Evolutionary Microbiology,International Journal of...,2000,"micropruina glycogenica gen. nov., sp nov.,high g plus c content group,gram-positive bacteria,glycogen accumulation","shintani_t,liu_wt,hanada_s,kamagata_y,miyaoka_s,suzuki_t,nakamura_k"
WOS:000086089700020,Enhanced biological phosphorus removal in a sequencing batch reactor supplied with glucose as a sole carbon source,Water Research,Water Research,2000,"enhanced biological phosphorus removal,sequencing batch reactor,metabolic pathway,glucose,poly 3-hydroxy alkanoic acids","jeon_co,park_jm"
WOS:000086614600012,The biomass fractions of heterotrophs and phosphate-accumulating organisms in a nitrogen and phosphorus removal system,Water Research,Water Research,2000,"biomass,denitrification,heterotrophs,pha,phosphorus release,phosphate-accumulating organisms","chuang_sh,ouyang_cf"
WOS:000086636300004,Anaerobic uptake of different organic substrates by an enhanced biological phosphorus removal sludge,Environmental Technology,Environmental Technology,2000,"bological phosphorus removal,sequencing batch reactor,anaerobic substrate uptake,phosphorus accumulating organisms,glycogen accumulating organisms","canizares_p,de_lucas_a,rodriguez_l,villasenor_j"
WOS:000087035400011,Microbial community changes in biological phosphate-removal systems on altering sludge phosphorus content,Microbiology-Uk,Microbiology-Uk,2000,"activated sludge,biological phosphate removal,biomarker,dgge,16s rdna","liu_wt,linning_kd,nakamura_k,mino_t,matsuo_t,forney_lj"
WOS:000088016400035,A summary of recent microbial discoveries in biological nutrient removal from wastewater,Australasian Biotechnology,Australasian Biotechnology,2000,NA,blackall_ll
WOS:000088958500012,Morphological characteristics of microbial sludge performing enhanced biological phosphorus removal in a sequencing batch reactor fed with glucose as sole carbon source,Water Science and Technology,Water Science and...,2000,"electron microscope,enhanced biological phosphorus removal,glucose,polyphosphate accumulating organism,sequencing batch reactor","jeon_co,lee_ds,park_jm"
WOS:000089881000012,Ecological engineering of bioreactors for wastewater treatment,Water Air and Soil Pollution,Water Air and...,2000,"biological nutrient removal,ecological engineering,filamentous bulking,glycogen accumulating organisms,nitrifying bacteria,phosphorus accumulating organisms","grady_cpl,filipe_cdm"
WOS:000090006400006,Calibration of kinetic parameters in the IAWQ Activated Sludge Model: a pilot scale experience,Water Science and Technology,Water Science and...,2000,"activated sludge model no.2,anaerobic hydrolysis rate,fermentation rate,biological nutrient removal,mathematical simulation of activated sludge","satoh_h,okuda_e,mino_t,matsuo_t"
WOS:000090041400012,Decolorization of azo-reactive dye by polyphosphate- and glycogen-accumulating organisms in an anaerobic-aerobic sequencing batch reactor,Bioresource Technology,Bioresource Technology,2001,"anaerobic-aerobic process,azo dye,color removal,glycogen-accumulating organisms,polyphosphate-accumulating organisms,reactive dye,sequencing batch reactor,textile wastewater","panswad_t,iamsamer_k,anotai_j"
WOS:000167316800012,16S rRNA in situ probing for the determination of the family level community structure implicated in enhanced biological nutrient removal,Water Science and Technology,Water Science and...,2001,"fluorescent in situ hybridization,phylogeny,polyphosphate accumulating organisms","mudaly_dd,atkinson_bw,bux_f"
WOS:000167574900047,Comparison of dye wastewater treatment by normal and anoxic plus anaerobic/aerobic SBR activated sludge processes,Water Science and Technology,Water Science and...,2001,"anaerobic/aerobic process,biological phosphorus removal,color removal,phosphorus accumulating organisms,reactive dye,sequencing batch reactor,textile wastewater","panswad_t,techovanich_a,anotai_j"
WOS:000167944600035,Modelling biological phosphorus removal from a cheese factory effluent by an SBR,Water Science and Technology,Water Science and...,2001,"mathematical modelling,biological phosphorus removal,industrial wastewater treatment,sequencing batch reactor,magnesium","ky_rc,comeau_y,perrier_m,takacs_i"
WOS:000168506200005,Effect of operating parameters on anoxic biological phosphorus removal in anaerobic anoxic sequencing batch reactor,Environmental Technology,Environmental Technology,2001,"activated sludge,biological phosphorus removal,polyphosphate,sequencing batch reactor,sludge retention time","merzouki_m,bernet_n,delgenes_jp,moletta_r,benlemlih_m"
WOS:000168639400014,SEM-EDS for determining the phosphorus content in activated sludge EPS,Water Science and Technology,Water Science and...,2001,"biological phosphorus removal,eds,eps extraction,eps,extracellular polymeric substances,orthophosphate,sem,wastewater,x-ray microanalysis","oosthuizen_dj,cloete_te"
WOS:000170035000012,pH as a key factor in the competition between glycogen-accumulating organisms and phosphorus-accumulating organisms,Water Environment Research,Water Environment Research,2001,"biological excess phosphorus removal,competition,glycogen,glycogen-accumulating organisms,phosphorus-accumulating organisms,population dynamics","filipe_cdm,daigger_gt,grady_cpl"
WOS:000170035100006,Enhanced biological phosphorus removal in an anaerobic-aerobic sequencing batch reactor: Characteristics of carbon metabolism,Water Environment Research,Water Environment Research,2001,"enhanced biological phosphorus removal,glucose,acetate,glycogen,activated sludge,sequencing batch reactor","jeon_co,lee_ds,park_jm"
WOS:000170035100007,Enhanced biological phosphorus removal in an anaerobic-aerobic sequencing batch reactor: Effect of pH,Water Environment Research,Water Environment Research,2001,"enhanced biological phosphorus removal,sequencing batch reactors,microbial competition,glycogen-accumulating organisms,polyphosphate-accumulating organisms,ph,glycogen","jeon_co,lee_ds,lee_mw,park_jm"
WOS:000170142600021,A modification to the Activated Sludge Model No. 2 based on the competition between phosphorus-accumulating organisms and glycogen-accumulating organisms,Water Science and Technology,Water Science and...,2001,"activated sludge model no. 2 (asm2),denitrification,enhanced biological phosphorus removal (ebpr),glycogen accumulating organisms (gaos),nutrient removal,phosphorus accumulating organisms (paos)","manga_j,ferrer_j,garcia-usach_f,seco_a"
WOS:000170142600026,State estimation for a biological phosphorus removal process using an asymptotic observer,Water Science and Technology,Water Science and...,2001,"activated sludge,asymptotic observer,biological phosphorus removal,nutrient removal,state estimation,wastewater treatment","larose_a,jorgensen_sb"
WOS:000170425900012,"Synthesis of intracellular storage polymers by Amaricoccus kaplicensis, a tetrad forming bacterium present in activated sludge",Journal of Applied Microbiology,Journal of Applied...,2001,NA,"falvo_a,levantesi_c,rossetti_s,seviour_rj,tandoi_v"
WOS:000170574900009,The characteristics of phosphorus removal in an anaerobic/aerobic sequential batch biofilter reactor,Water Science and Technology,Water Science and...,2001,"biofilm,sequential batch biofilter reactor,phosphorus release,phosphorus uptake,pha accumulation","chlou_rj,ouyang_cf,lin_kh,chuang_sh"
WOS:000170886000009,The role of extracellular exopolymers in the removal of phosphorus from activated sludge,Water Research,Water Research,2001,"x-ray microanalysis,eds,phosphate,wastewater,sem","cloete_te,oosthuizen_dj"
WOS:000175350500005,The effect of media on evaluating the phosphate uptake capacity of activated sludge bacterial isolates,Water Sa,Water Sa,2002,NA,"reddy_t,bux_f"
WOS:000175824100027,"Tetrasphaera elongata sp nov., a polyphosphate-accumulating bacterium isolated from activated sludge",International Journal of Systematic and Evolutionary Microbiology,International Journal of...,2002,"tetrasphaera elongata sp nov.,intrasporangiaceae,polyphosphate accumulation,activated sludge,meso-diaminopimelic acid","hanada_s,liu_wt,shintani_t,kamagata_y,nakamura_k"
WOS:000176030100019,Involvement of Rhodocyclus-related organisms in phosphorus removal in full-scale wastewater treatment plants,Applied and Environmental Microbiology,Applied and Environmental...,2002,NA,"zilles_jl,peccia_j,kim_mw,hung_ch,noguera_dr"
WOS:000176179700010,Transformation of phosphorus and relevant intracellular compounds by a phosphorus-accumulating enrichment culture in the presence of both the electron acceptor and electron donor,Biotechnology and Bioengineering,Biotechnology and Bioengineering,2002,"denitrifying phosphate-accumulating organisms,enhanced biological phosphorus removal,glycolytic pathway,polyhydroxybutyrate,tricarboxylic acid cycle","ahn_j,daidou_t,tsuneda_s,hirata_a"
WOS:000177441400005,Characterization of an acetate-degrading sludge without intracellular accumulation of polyphosphate and glycogen,Water Research,Water Research,2002,"acetate,glycogen,polyphosphate,wastewater,16s rdna","fang_hhp,zhang_t,liu_y"
