uid,category_str,count
WOS:000070984900002,"terrestrial,freshwater,marine",3
WOS:000070985000013,"terrestrial,freshwater",2
WOS:000070988700002,"wwt,terrestrial",2
WOS:000070998200003,terrestrial,1
WOS:000071001600005,terrestrial,1
WOS:000071012600044,wwt,1
WOS:000071019600007,terrestrial,1
WOS:000071022300006,terrestrial,1
WOS:000071022300007,terrestrial,1
WOS:000071023300001,terrestrial,1
WOS:000071037700003,freshwater,1
WOS:000071037700004,"freshwater,marine",2
WOS:000071037700017,"terrestrial,marine",2
WOS:000071045300006,terrestrial,1
WOS:000071045900024,wwt,1
WOS:000071050800001,terrestrial,1
WOS:000071067300005,terrestrial,1
WOS:000071080000004,terrestrial,1
WOS:000071108600008,"terrestrial,freshwater",2
WOS:000071108600013,wwt,1
WOS:000071108600026,wwt,1
WOS:000071108600030,freshwater,1
WOS:000071112400009,terrestrial,1
WOS:000071119200010,terrestrial,1
WOS:000071128000004,"terrestrial,freshwater",2
WOS:000071128000007,freshwater,1
WOS:000071135800006,terrestrial,1
WOS:000071135800007,terrestrial,1
WOS:000071145600013,terrestrial,1
WOS:000071145600016,"terrestrial,freshwater",2
WOS:000071145600017,terrestrial,1
WOS:000071145600034,terrestrial,1
WOS:000071147300007,freshwater,1
WOS:000071147300008,marine,1
WOS:000071155000004,freshwater,1
WOS:000071170800007,"terrestrial,agriculture",2
WOS:000071175900009,terrestrial,1
WOS:000071178000006,terrestrial,1
WOS:000071184900002,"freshwater,marine",2
WOS:000071186200004,terrestrial,1
WOS:000071195200010,freshwater,1
WOS:000071204200006,wwt,1
WOS:000071212600010,"freshwater,marine",2
WOS:000071213200012,agriculture,1
WOS:000071223200003,"terrestrial,freshwater",2
WOS:000071223200005,terrestrial,1
WOS:000071223200006,"terrestrial,marine",2
WOS:000071224300014,terrestrial,1
WOS:000071231900008,terrestrial,1
WOS:000071234000013,marine,1
WOS:000071243800007,"terrestrial,freshwater",2
WOS:000071258500006,terrestrial,1
WOS:000071267000006,terrestrial,1
WOS:000071267200011,terrestrial,1
WOS:000071269300006,"freshwater,marine",2
WOS:000071274600016,marine,1
WOS:000071295800002,terrestrial,1
WOS:000071317700001,terrestrial,1
WOS:000071317700007,terrestrial,1
WOS:000071317700012,terrestrial,1
WOS:000071317700015,terrestrial,1
