uid,title,journal_fix,journal_short,year_fix,keywords_fix,authors_fix,environment,category
WOS:000477140800001,Comparison of the hydrolysis characteristics of three polyphosphates and their effects on soil phosphorus and micronutrient availability,Soil Use and Management,Soil Use and...,2019,"ammonium polyphosphate,hydrolysis,micronutrient availability,soil ph,temperature","wang_xuewei,gao_yanju,hu_baowei,chu_guixin",agriculture,agriculture
WOS:000288853400039,Role of the Morphology and Polyphosphate in Trichoderma harzianum Related to Cadmium Removal,Molecules,Molecules,2011,"polyphosphate,trichoderma harzianum,cadmium,morphology,ultrastructure","lima_adriana_de_freitas,de_moura_gabrielle_ferreira,barbosa_de_lima_marcos_antonio,de_souza_patricia_mendes,alves_da_silva_carlos_alberto,de_campos_takaki_galba_maria,do_nascimento_aline_elesbao",agriculture,agriculture
WOS:000375899200001,"Deciphering the relationship among phosphate dynamics, electron-dense body and lipid accumulation in the green alga Parachlorella kessleri",Scientific Reports,Scientific Reports,2016,NA,"ota_shuhei,yoshihara_mai,yamazaki_tomokazu,takeshita_tsuyoshi,hirata_aiko,konomi_mami,oshima_kenshiro,hattori_masahira,bisova_katerina,zachleder_vilem,kawano_shigeyuki",agriculture,agriculture
WOS:000440513900007,"Granular, Slow-Release Fertilizer from Urea-formaldehyde, Ammonium Polyphosphate, and Amorphous Silica Gel: A New Strategy Using Cold Extrusion",Journal of Agricultural and Food Chemistry,Journal of Agricultural...,2018,"granular,slow-release fertilizer,urea-formaldehyde,ammonium polyphosphate,amorphous silica gel,cold extrusion","xiang_yang,ru_xudong,shi_jinguo,song_jiang,zhao_haidong,liu_yaqing,zhao_guizhe",agriculture,agriculture
WOS:000366994200001,Phosphorus Recycling from an Unexplored Source by Polyphosphate Accumulating Microalgae and Cyanobacteria-A Step to Phosphorus Security in Agriculture,Frontiers in Microbiology,Frontiers in Microbiology,2015,"global food security,parboiled rice mill effluent,phosphorus pollution,microalgae and cyanobacteria,polyphosphates,phosphorus biofertilizers,phosphorus scarcity","mukherjee_chandan,chowdhury_rajojit,ray_krishna",agriculture,agriculture
WOS:000288313200020,Antimicrobial Effect of Ammonium Hydroxide when Used as an Alkaline Agent in the Formulation of Injection Brine Solutions,Journal of Food Protection,Journal of Food...,2011,NA,"cerruto-noya_c_a,goad_c_l,dewitt_c_a_mireles",agriculture,agriculture
WOS:000169628100009,Molecular and cellular mechanisms of heavy metal tolerance in mycorrhizal fungi: what perspectives for bioremediation?,Minerva Biotecnologica,Minerva Biotecnologica,2001,"mycorrhizal fungi,bioremediation,soil pollution,metals, heavy, toxicity,soil microbiology,symbiosis","perotto_s,martino_e",agriculture,agriculture
WOS:000358102800001,Maize in-Season Growth Response to Organic Acid-Bonded Phosphorus Fertilizer (Carbond P (R)),Journal of Plant Nutrition,Journal of Plant...,2015,"phosphorus,maize,zea mays,p,carbond p,fertilizer,phosphorus use efficiency,organic acid,pue","hill_micheal_w,hopkins_bryan_g,jolley_von_d",agriculture,agriculture
WOS:000489307800033,Towards phosphorus recycling for agriculture by algae: Soil incubation and rhizotron studies using P-33-labeled microalgal biomass,Algal Research-Biomass Biofuels and Bioproducts,Algal Research-Biomass Biofuels...,2019,"chlorella vulgaris,sequential p fractionation,autoradiography,wheat,p-33 labeling","siebers_nina,hofmann_diana,schiedung_henning,landsrath_alexander,ackermann_baerbel,gao_lu,mojzes_peter,jablonowski_nicolai_d,nedbal_ladislav,amelung_wulf",agriculture,agriculture
WOS:000315473000005,Impact of long-term nitrogen fertilization and rotation with soybean on the diversity and phosphorus metabolism of indigenous arbuscular mycorrhizal fungi within the roots of maize (Zea mays L.),Agriculture Ecosystems and Environment,Agriculture Ecosystems and...,2013,"arbuscular mycorrhizal fungi,agriculture,maize,crop rotation,arbuscular mycorrhizal diversity,n fertilizer","tian_h,drijber_r_a,zhang_j_l,li_x_l",agriculture,agriculture
WOS:000422739300100,Phytase overexpression in Arabidopsis improves plant growth under osmotic stress and in combination with phosphate deficiency,Scientific Reports,Scientific Reports,2018,NA,"belgaroui_nibras,lacombe_benoit,rouached_hatem,hanin_moez",agriculture,agriculture
WOS:000388580200045,Characteristics of phosphorus components in the sediments of main rivers into the Bohai Sea,Ecological Engineering,Ecological Engineering,2016,"phosphorus,sediments,rivers,solution p-31-nmr,smt,bohai sea","shan_baoqing,li_jie,zhang_wenqiang,di_zhenzhen,jin_xin",agriculture,agriculture
WOS:000177132200010,Molecular genetic analysis of cold-regulated gene transcription,Philosophical Transactions of the Royal Society of London Series B-Biological Sciences,Philosophical Transactions of...,2002,"low temperature,signalling,crt/dre,abscisic acid-responsive element,fry1,hos1","viswanathan_c,zhu_jk",agriculture,agriculture
WOS:000235949200003,"Changes in P bioavailability induced by the application of liquid and powder sources of P, N and Zn fertilizers in alkaline soils",Nutrient Cycling in Agroecosystems,Nutrient Cycling in...,2006,"alkaline soils,fertilizer efficiency,liquid,phosphorus,wheat","bertrand_i,mclaughlin_m,holloway_r,armstrong_r,mcbeath_t",agriculture,agriculture
