uid,title,journal_fix,journal_short,year_fix,keywords_fix,authors_fix,environment,category
WOS:000167410700034,Polyphosphate : AMP phosphotransferase and Polyphosphate : ADP phosphotransferase activities of Pseudomonas aeruginosa,Biochemical and Biophysical Research Communications,Biochemical and Biophysical...,2001,NA,"ishige_k,noguchi_t",all,all
WOS:000450541700012,Analytical polyphosphate extraction from Saccharomyces cerevisiae,Analytical Biochemistry,Analytical Biochemistry,2018,"polyphosphate quantification,saccharomyces cerevisiae,analytical extraction,saccharomyces cerevisiae exopolyphosphatase 1 (scppx1p),saccharomyces cerevisiae inorganic,pyrophosphatase 1 (scipp1p)","christ_jonas_johannes,blank_lars_mathias",all,all
WOS:000383243100044,Extracellular Polyphosphate Inhibits Proliferation in an Autocrine Negative Feedback Loop in Dictyostelium discoideum,Journal of Biological Chemistry,Journal of Biological...,2016,"cell biology,cell growth,cell proliferation,dictyostelium,stress,inositol hexakisphosphate kinase,polyphosphate,polyphosphate kinase","suess_patrick_m,gomer_richard_h",all,all
WOS:000260900900012,Different chain length specificity among three polyphosphate quantification methods,Analytical Biochemistry,Analytical Biochemistry,2008,"polyphosphate,chain length,polyphosphate kinase (ppk),polyphosphate exopolyphosphatase (ppx)","ohtomo_ryo,sekiguchi_yoko,kojima_tomoko,saito_masanori",all,all
WOS:000397297300022,Polyphosphate nanoparticles on the platelet surface trigger contact system activation,Blood,Blood,2017,NA,"verhoef_johan_j_f,barendrecht_arjan_d,nickel_katrin_f,dijkxhoorn_kim,kenne_ellinor,labberton_linda,mccarty_owen_j_t,schiffelers_raymond,heijnen_harry_f,hendrickx_antoni_p,schellekens_huub,fens_marcel_h,de_maat_steven,renne_thomas,maas_coen",all,all
WOS:000398036900009,Bacterial microcompartment-directed polyphosphate kinase promotes stable polyphosphate accumulation in E. coli,Biotechnology Journal,Biotechnology Journal,2017,"bacteria,biopolymers,metabolic engineering,microreactors,synthetic biology","liang_mingzhi,frank_stefanie,luensdorf_heinrich,warren_martin_j_u,prentice_michael_b",all,all
WOS:000177244500007,Characterization and application of a long-chain polyphosphate in bacteria,Nippon Nogeikagaku Kaishi-Journal of the Japan Society For Bioscience Biotechnology and Agrochemistry,Nippon Nogeikagaku Kaishi-Journal...,2002,"inorganic polyphosphate,atp,evolution,glucokinase,lon protease","kuroda_a,kato_j,ikeda_t,takiguchi_n,ohtake_h",all,all
WOS:000477140800001,Comparison of the hydrolysis characteristics of three polyphosphates and their effects on soil phosphorus and micronutrient availability,Soil Use and Management,Soil Use and...,2019,"ammonium polyphosphate,hydrolysis,micronutrient availability,soil ph,temperature","wang_xuewei,gao_yanju,hu_baowei,chu_guixin",all,all
WOS:000305838400006,Optimization of sol-gel coatings on the surface of ammonium polyphosphate and its application in epoxy resin,Journal of Fire Sciences,Journal of Fire...,2012,"ammonium polyphosphate,surface modified,sol-gel,intumescent flame-retardant,epoxy resin","qu_hongqiang,hao_jianwei,wu_weihong,zhao_xiaowei,jiang_subin",all,all
WOS:000375036800003,Flame retardancy of ammonium polyphosphate-montmorillonite nanocompounds on epoxy resin,Journal of Fire Sciences,Journal of Fire...,2016,"epoxy resin,montmorillonite,ammonium polyphosphate,ammonium polyphosphate-montmorillonite nanocompound,flame retardant","he_xiangdong,zhang_wenchao,yi_deqi,yang_rongjie",all,all
