uid,title,journal_fix,journal_short,year_fix,keywords_fix,authors_fix
WOS:000073289700012,Determination of morphine in water immiscible process streams using sequential injection analysis coupled with acidic permanganate chemiluminescence detection,Analyst,Analyst,1998,"sequential injection analysis,acidic permanganate chemiluminescence,morphine,non-aqueous process streams","barnett_nw,lenehan_ce,lewis_sw,tucker_dj,essery_km"
WOS:000074451100037,"Influence of supplementation of practical diets with vitamin C on growth and response to hypoxic stress of seabream, Sparus aurata",Aquaculture,Aquaculture,1998,"seabream,sparus aurata,ascorbic acid,vitamin c,growth,stress,hypoxia","henrique_mmf,gomes_ef,gouillou-coustans_mf,oliva-teles_a,davies_sj"
WOS:000074923500007,"Elemental concentrations, correlations and ratios in micropopulations of Ceratium hirundinella (Pyrrhophyta): an X-ray microanalytical study",European Journal of Phycology,European Journal of...,1998,"ceratium,dinoflagellate,elemental composition,phosphorus,x-ray microanalysis","sigee_dc,krivtsov_v,bellinger_eg"
WOS:000076609900020,The input of nutrients by the Rhone river into the Mediterranean Sea: Recent observations and comparison with earlier data,Hydrobiologia,Hydrobiologia,1998,"nutrients,rhone river,gulf of lions (golfe du lion),mediterranean sea","moutin_t,raimbault_p,golterman_hl,coste_b"
WOS:000076670400001,The measurement of dissolved phosphorus compounds: Evidence for hydrolysis during storage and implications for analytical definitions in environmental analysis,International Journal of Environmental Analytical Chemistry,International Journal of...,1998,"phosphorus compounds,monophosphate,natural water,storage","denison_fh,haygarth_pm,house_wa,bristow_aw"
WOS:000080250600014,Optimizing biological nutrient removal in anoxic zones,Water Science and Technology,Water Science and...,1999,"biological nutrient removal,denitrification,phosphorus removal,nitrogen removal,anaerobic,anoxic,biowin","stevens_gm,barnard_jl,rabinowitz_b"
WOS:000081516700011,Responses of rainbow trout (Oncorhynchus mykiss) and their prey to inorganic fertilization of an oligotrophic montane lake,Canadian Journal of Fisheries and Aquatic Sciences,Canadian Journal of...,1999,NA,"johnston_nt,stamford_md,ashley_ki,tsumura_k"
WOS:000083211200007,Elemental composition of depth samples of Ceratium hirundinella (Pyrrophyta) within a stratified lake: an X-ray microanalytical study,Aquatic Microbial Ecology,Aquatic Microbial Ecology,1999,"phosphorus,x-ray microanalysis,ceratium,dinoflagellates,water column,anions,cations","sigee_dc,levado_e,dodwell_aj"
WOS:000084607800017,"Determination of morphine, oripavine and pseudomorphine using capillary electrophoresis with acidic potassium permanganate chemiluminescence detection",Analyst,Analyst,2000,NA,"barnett_nw,hindson_bj,lewis_sw"
WOS:000084997400010,Modelling of elemental associations in Anabaena,Hydrobiologia,Hydrobiologia,1999,"anabaena,sem xrma,population development,elemental associations,structural model","krivtsov_v,bellinger_eg,sigee_dc"
WOS:000089233400014,Melt-blown polypropylene nonwovens with lowered flammability,Fibres and Textiles in Eastern Europe,Fibres and Textiles...,2000,"polypropylene nonowovens,melt-blown nonwovens,flammability,flame retardants","boryniec_s,wcislo_p,nowicka_c,galecki_s"
