uid,title,journal_fix,journal_short,year_fix,keywords_fix,authors_fix
WOS:000071341000055,Dehydroxylation mechanisms of polyphosphate glasses in relation to temperature and pressure,Journal of Non-Crystalline Solids,Journal of Non-Crystalline...,1997,NA,"gomez_f,vast_p,llewellyn_p,rouquerol_f"
WOS:000074989400012,Effect of pyrophosphate-polyphosphate inhibitors on the processes of corrosion and salt deposition in aqueous systems,Materials Science,Materials Science,1997,NA,"nykyforchyn_hm,slobodyan_zv,zaverbnyi_dm"
WOS:000083692200002,Effect of dietary essential fatty acids and vitamins on egg quality in turbot broodstocks,Aquaculture International,Aquaculture International,1999,"broodstock,egg quality,nutrition,turbot (scophthalmus maximus)","lavens_p,lebegue_e,jaunet_h,brunel_a,dhert_p,sorgeloos_p"
WOS:000085233000004,"Phosphate starvation induction of acid phosphatase in Ulva lactuca L. (Ulvales, Chlorophyta)",Botanical Bulletin of Academia Sinica,Botanical Bulletin of...,2000,"acid phosphatase,algae,alkaline phosphatase,phosphate starvation,ulva lactuca",lee_tm
WOS:000087641000012,"The effect of ionic strength, polyphosphates type, pH, cooking temperature and preblending on the functional properties of normal and pale, soft, exudative (PSE) pork",Meat Science,Meat Science,2000,"water-holding capacity,texture,polyphosphate chain length,fibre optic probe,salt","torley_pj,d'arcy_br,trout_gr"
WOS:000088288700002,Physical and sensory characteristics of processed Ras cheese spreads with formulated emulsifying salt mixtures,International Journal of Food Properties,International Journal of...,2000,NA,"abdel-hamid_lb,el-shabrawy_sa,awad_ra,singh_rk"
WOS:000088517600039,The effect of monovalent ions on polyphosphate binding to Escherichia coli exopolyphosphatase,Biochemical and Biophysical Research Communications,Biochemical and Biophysical...,2000,"anion,cation,equilibrium binding,dissociation constant,polyphosphate,ppx","bolesch_dg,keasling_jd"
WOS:000165120700003,The use of simultaneous chemical precipitation in modified activated sludge systems exhibiting biological excess phosphate removal Part 2: Method development for fractionation of phosphate compounds in activated sludge,Water Sa,Water Sa,2000,NA,"de_haas_dw,wentzel_mc,ekama_ga"
WOS:000170299900024,Cooperative interactions of unlike macromolecules: 3. NMR and theoretical study of the electrostatic coupling of sodium polyphosphates with diallyl(dimethyl)ammonium chloride-acrylamide copolymers,Journal of Physical Chemistry A,Journal of Physical...,2001,NA,"kriz_j,dybal_j,dautzenberg_h"
WOS:000170735000011,"Effects of phosphate on yield, quality, and water-holding capacity in the processing of salted cod (Gadus morhua)",Journal of Food Science,Journal of Food...,2001,"salted cod,polyphosphates,yield,quality,water-holding capacity","thorarinsdottir_ka,arason_s,bogason_sg,kristbergsson_k"
WOS:000184507000071,Identification of organelles in bacteria similar to acidocalcisomes of unicellular eukaryotes,Journal of Biological Chemistry,Journal of Biological...,2003,NA,"seufferheld_m,vieira_mcf,ruiz_fa,rodrigues_co,moreno_snj,docampo_r"
WOS:000208863600001,Characterization of the rate and temperature sensitivities of bacterial rem ineralization of dissolved organic phosphorus compounds by natural populations,Frontiers in Microbiology,Frontiers in Microbiology,2012,"heterotrophic bacteria,organic phosphorus,remineralization","white_angelicque_e,watkins-brandt_katie_s,engle_morgan_a,burkhardt_brian,paytan_adina"
WOS:000208996600008,EFFECT OF SOME TECHNOLOGICAL PARAMETERS DURING DRYING OF RIPENING CHEESE ON ITS PHYSICOCHEMICAL PROPERTIES AND MICROSTRUCTURE,Polish Journal of Food and Nutrition Sciences,Polish Journal of...,2006,"cheese powder,ripening cheese,spray drying","chojnowski_wladyslaw,fornal_jozef,dec_boguslaw,blaszczak_wioletta"
WOS:000223791500116,The transcriptional responses of Mycobacterium tuberculosis to inhibitors of metabolism - Novel insights into drug mechanisms of action,Journal of Biological Chemistry,Journal of Biological...,2004,NA,"boshoff_him,myers_tg,copp_br,mcneil_mr,wilson_ma,barry_ce"
WOS:000224871500003,Determination of suitable corrosion inhibitor formulation for a potable water supply,Anti-Corrosion Methods and Materials,Anti-Corrosion Methods and...,2004,"water supply,steel,silicates,corrosion inhibitors","mehr_me,shahrabi_t,hosseini_mg"
WOS:000227454800002,Composition of estuarine bacterial communities assessed by denaturing gradient gel electrophoresis and fluorescence in situ hybridization,Limnology and Oceanography-Methods,Limnology and Oceanography-Methods,2004,NA,"castle_d,kirchman_dl"
WOS:000228529200048,Aging and enhancement effects on quality characteristics of beef strip steaks,Journal of Food Science,Journal of Food...,2005,"enhancement,sensory,aging,color,beef","wicklund_se,homco-ryan_c,ryan_kj,mckeith_fk,mcfarlane_bj,brewer_ms"
WOS:000234662800032,Long serial analysis of gene expression for gene discovery and transcriptome profiling in the widespread marine coccolithophore Emiliania huxleyi,Applied and Environmental Microbiology,Applied and Environmental...,2006,NA,"dyhrman_st,haley_st,birkeland_sr,wurch_ll,cipriano_mj,mcarthur_ag"
WOS:000234897300005,Intracellular inclusions of uncultured magnetotactic bacteria,International Microbiology,International Microbiology,2005,"magnetotactic bacteria,magnetosomes,polyphosphate granules,sulfur globules,polyhydroxyalkanoates (pha),biomineralization","keim_cn,solorzano_g,farina_m,lins_u"
WOS:000240474000076,"Complete genome sequence of the marine, chemolithoautotrophic, ammonia-oxidizing bacterium Nitrosococcus oceani ATCC 19707",Applied and Environmental Microbiology,Applied and Environmental...,2006,NA,"klotz_martin_g,arp_daniel_j,chain_patrick_s_g,el-sheikh_amal_f,hauser_loren_j,hommes_norman_g,larimer_frank_w,malfatti_stephanie_a,norton_jeanette_m,poret-peterson_amisha_t,vergez_lisa_m,ward_bess_b"
WOS:000242003800023,Polyphosphate stores enhance the ability of Vibrio cholerae to overcome environmental stresses in a low-phosphate environment,Applied and Environmental Microbiology,Applied and Environmental...,2006,NA,"jahid_iqbal_k,silva_anisia_j,benitez_jorge_a"
WOS:000243402000012,Physicochemical properties of the thermal gel of water-washed meat in the presence of the more soluble fraction of porcine sarcoplasmic protein,Animal Science Journal,Animal Science Journal,2007,"differential scanning calorimetry,gel strength,glyceraldehyde-3-phosphate dehydrogenase,sarcoplasmic protein,scanning electron microscopy","miyaguchi_yuji,hayashi_yuki,sakamoto_taro"
WOS:000253129900001,"Enhancement of stress tolerance in transgenic tobacco plants constitutively expressing AtIpk2 beta, an inositol polyphosphate 6-/3-kinase from Arabidopsis thaliana",Plant Molecular Biology,Plant Molecular Biology,2008,"arabidopsis thaliana,atipk2 beta,inositol phosphate,ip3,stress tolerance,transgenic tobacco","yang_lei,tang_renjie,zhu_jinqi,liu_hua,mueller-roeber_bernd,xia_huijun,zhang_hongxia"
WOS:000254754800010,Effect of cryoprotectants on the quality characteristics of chicken breast surimi manufactured by pH adjustment during freezing storage,Korean Journal For Food Science of Animal Resources,Korean Journal For...,2007,"ph adjustment,cryoprotectants,chicken breast,quality characteristics","jin_sang-keun,kim_il-suk,choi_yeung-joon,yang_han-sul,park_gu-boo"
