uid,title,journal_fix,journal_short,year_fix,keywords_fix,authors_fix,environment,category
WOS:000359833900015,Effect of a Humus Soil Side-Stream Reactor (HSR) on the Bacterial Characteristics in Enhanced Biological Phosphorus Removal Process,Journal of Chemical Engineering of Japan,Journal of Chemical...,2015,"polyphosphate accumulating organisms,glycogen accumulating organisms,humus soil side-stream reactor,polyphosphate kinase","wu_min,zhu_rui,ma_huirong,zhu_heguang,dai_xiaohu,yang_jian",soil,terrestrial
WOS:000316032100019,Phosphorus removal and simultaneous sludge reduction in humus soil sequencing batch reactor treating domestic wastewater,Chemical Engineering Journal,Chemical Engineering Journal,2013,"humus soil,sludge reduction,enhanced biological phosphorus removal,polyphosphate accumulating organisms,glycogen accumulating organisms","wu_min,zhu_rui,zhu_heguang,dai_xiaohu,yang_jian",soil,terrestrial
WOS:000310822200003,Deciphering the Genome of Polyphosphate Accumulating Actinobacterium Microlunatus phosphovorus,Dna Research,Dna Research,2012,"microlunatus phosphovorus,whole genome sequence,polyphosphate accumulating organism,polyphosphate,polyhydroxyalkanoate","kawakoshi_akatsuki,nakazawa_hidekazu,fukada_junji,sasagawa_machi,katano_yoko,nakamura_sanae,hosoyama_akira,sasaki_hiroki,ichikawa_natsuko,hanada_satoshi,kamagata_yoichi,nakamura_kazunori,yamazaki_shuji,fujita_nobuyuki",soil,terrestrial
WOS:000236738500016,Nutritional deprivation increases intracellular phosphate and polyphosphate in poultry litter microflora,Letters in Applied Microbiology,Letters in Applied...,2006,"microflora,nutritional stress,phosphate,polyphosphate,poultry litter","doerner_kc,mason_bp",soil,terrestrial
WOS:000287106800029,Enhanced phosphorus removal by a humus soil cooperated sequencing batch reactor using acetate as carbon source,Chemical Engineering Journal,Chemical Engineering Journal,2011,"humus soil,polyphosphate accumulating organisms,glycogen accumulating organisms,poly-beta-hydroxyalkanoates,phosphorus","zhu_rui,wu_min,zhu_heguang,wang_yayi,yang_jian",soil,terrestrial
WOS:000189304200005,"Resistance to, and accumulation of, uranium by bacteria from a uranium-contaminated site",Geomicrobiology Journal,Geomicrobiology Journal,2004,"arthrobacter,bacteria,deinococcus radiodurans,poly phosphate granules,resistance,toxicity,uranium,uranyl phosphates","suzuki_y,banfield_jf",soil,terrestrial
WOS:000464373000015,"Widespread detection of Candidatus Accumulibacter phosphatis, a polyphosphate-accumulating organism, in sediments of the Columbia River estuary",Environmental Microbiology,Environmental Microbiology,2019,NA,"watson_sheree_j,needoba_joseph_a,peterson_tawnya_d",soil,terrestrial
WOS:000306075100001,Molecular Characterization of Denitrifying Bacteria Isolated from the Anoxic Reactor of a Modified DEPHANOX Plant Performing Enhanced Biological Phosphorus Removal,Water Environment Research,Water Environment Research,2012,"denitrifying bacteria,dephanox,16s rrna gene","zafiriadis_ilias,ntougias_spyridon,mirelis_paraskevi,kapagiannidis_anastasios_g,aivasidis_alexander",soil,terrestrial
WOS:000292975600001,Enhancement of Nutrient Removal from Eutrophic Water by a Plant-Microorganisms Combined System,Environmental Engineering Science,Environmental Engineering Science,2011,"bioremediation,denitrifying polyphosphate-accumulating organisms (dpaos),eutrophication,perennial grasses","li_hong,zhao_he-ping,hao_hu-lin,liang_jun,zhao_feng-liang,xiang_lv-cheng,yang_xiao-e,he_zhen-li,stoffella_peter_j",soil,terrestrial
WOS:000256961300002,Appearance of novel G-bacteria belonging to Acidobacteria in a dairy wastewater treatment plant,Environmental Technology,Environmental Technology,2008,"dairy wastewater,enhanced biological phosphorus removal (ebpr),g-bacteria,clone library analysis,acidobacteria","ahn_c_h,park_h_-d,lee_y_o,park_j_k",soil,terrestrial
WOS:000326123600016,Phosphorus Removal in an Enhanced Biological Phosphorus Removal Process: Roles of Extracellular Polymeric Substances,Environmental Science and Technology,Environmental Science and...,2013,NA,"zhang_hai-ling,fang_wei,wan_yong-peng,sheng_guo-ping,zeng_raymond_j,li_wen-wei,yu_han-qing",soil,terrestrial
WOS:000184237700035,"Gemmatimonas aurantiaca gen. nov., sp nov., a gram-negative, aerobic, polyphosphate-accumulating micro-organism, the first cultured representative of the new bacterial phylum Gemmatimonadetes phyl. nov.",International Journal of Systematic and Evolutionary Microbiology,International Journal of...,2003,NA,"zhang_h,sekiguchi_y,hanada_s,hugenholtz_p,kim_h,kamagata_y,nakamura_k",soil,terrestrial
WOS:000440115600050,Aquatic plant debris changes sediment enzymatic activity and microbial community structure,Environmental Science and Pollution Research,Environmental Science and...,2018,"plant debris,high-throughput pyrosequencing,sediment,microbial community,enzymatic activity,polyphosphate-accumulating organisms","xue_wan-lei,pan_wei,lu_qi,xu_qian-ru,wu_cai-nan,du_shao-ting",soil,terrestrial
