uid,category_str,count
WOS:000071108600026,wwt,1
WOS:000071341000055,marine,1
WOS:000071489100012,wwt,1
WOS:000071577500007,wwt,1
WOS:000072158500016,wwt,1
WOS:000072292700027,wwt,1
WOS:000072426900007,terrestrial,1
WOS:000072427700016,wwt,1
WOS:000072793500003,wwt,1
WOS:000073289700012,freshwater,1
WOS:000073795400032,wwt,1
WOS:000073933300068,wwt,1
WOS:000073933300077,wwt,1
WOS:000073933300084,wwt,1
WOS:000073933300087,wwt,1
WOS:000073933300089,wwt,1
WOS:000073933300092,wwt,1
WOS:000073933300097,wwt,1
WOS:000074451100037,freshwater,1
WOS:000074487300009,terrestrial,1
WOS:000074504100018,wwt,1
WOS:000074735800003,"terrestrial,freshwater",2
WOS:000074811400011,"terrestrial,freshwater",2
WOS:000074923500007,freshwater,1
WOS:000074989400012,marine,1
WOS:000075127200025,wwt,1
WOS:000075837300005,wwt,1
WOS:000075920800021,wwt,1
WOS:000076609900020,freshwater,1
WOS:000076670400001,freshwater,1
WOS:000076804800010,wwt,1
WOS:000076804800015,wwt,1
WOS:000076804800026,wwt,1
WOS:000077341900010,"freshwater,marine",2
WOS:000077499200002,wwt,1
WOS:000077530300020,wwt,1
WOS:000077530300022,wwt,1
WOS:000077621600031,wwt,1
WOS:000077955400007,terrestrial,1
WOS:000077956000010,wwt,1
WOS:000078379000009,wwt,1
WOS:000078379000016,wwt,1
WOS:000078814700011,"terrestrial,freshwater",2
WOS:000079058900007,wwt,1
WOS:000079775500005,terrestrial,1
WOS:000079775500006,terrestrial,1
WOS:000079775500007,terrestrial,1
WOS:000079775500016,terrestrial,1
WOS:000079866700009,wwt,1
WOS:000079918700001,wwt,1
WOS:000080014900004,wwt,1
WOS:000080024500013,wwt,1
WOS:000080250600001,wwt,1
WOS:000080250600002,wwt,1
WOS:000080250600003,wwt,1
WOS:000080250600004,wwt,1
WOS:000080250600014,freshwater,1
WOS:000080948600005,terrestrial,1
WOS:000080959700006,wwt,1
WOS:000081003700006,"terrestrial,freshwater",2
WOS:000081516700011,freshwater,1
WOS:000081550200021,wwt,1
WOS:000082247900004,"wwt,terrestrial",2
WOS:000082421400025,"wwt,terrestrial",2
WOS:000083211200007,freshwater,1
WOS:000083229200017,wwt,1
WOS:000083241700004,terrestrial,1
WOS:000083352700005,wwt,1
WOS:000083692200002,marine,1
WOS:000084607800017,freshwater,1
WOS:000084653200005,"terrestrial,freshwater,marine",3
WOS:000084997400010,freshwater,1
WOS:000085233000004,marine,1
WOS:000085360800032,wwt,1
WOS:000085604800044,wwt,1
WOS:000085673600025,wwt,1
WOS:000086089700020,wwt,1
WOS:000086536000015,terrestrial,1
WOS:000086614600012,wwt,1
WOS:000086636300004,wwt,1
WOS:000087035400011,wwt,1
WOS:000087436600005,wwt,1
WOS:000087641000012,marine,1
WOS:000088016400035,wwt,1
WOS:000088288700002,marine,1
WOS:000088517600039,marine,1
WOS:000088842000003,terrestrial,1
WOS:000088847400012,terrestrial,1
WOS:000088958500012,wwt,1
WOS:000088958700001,wwt,1
WOS:000088958700014,wwt,1
WOS:000089233400014,freshwater,1
WOS:000089347800005,"terrestrial,freshwater",2
WOS:000089610900007,terrestrial,1
WOS:000089881000012,wwt,1
WOS:000090006400006,wwt,1
WOS:000090041400012,wwt,1
WOS:000165120700003,marine,1
WOS:000166139100033,"wwt,terrestrial,freshwater",3
WOS:000166198800025,freshwater,1
WOS:000166466700014,wwt,1
WOS:000167316800012,wwt,1
WOS:000167316800022,wwt,1
WOS:000167399100011,"wwt,freshwater",2
WOS:000167574900047,wwt,1
WOS:000167730000004,wwt,1
WOS:000167944600026,wwt,1
WOS:000167944600035,wwt,1
WOS:000168506200005,wwt,1
WOS:000168528100005,"terrestrial,freshwater",2
WOS:000168639400014,wwt,1
WOS:000168678400003,terrestrial,1
WOS:000169201600001,terrestrial,1
WOS:000169628100009,"terrestrial,agriculture",2
WOS:000169780700011,wwt,1
WOS:000170035000012,wwt,1
WOS:000170035100006,wwt,1
WOS:000170035100007,wwt,1
WOS:000170086500016,terrestrial,1
WOS:000170142600021,wwt,1
WOS:000170142600026,wwt,1
WOS:000170177300019,wwt,1
WOS:000170299900024,marine,1
WOS:000170425900012,wwt,1
WOS:000170574900009,wwt,1
WOS:000170652900030,"terrestrial,marine",2
WOS:000170681200003,freshwater,1
WOS:000170735000011,marine,1
WOS:000170779900002,wwt,1
WOS:000170806300011,"freshwater,marine",2
WOS:000170886000009,wwt,1
WOS:000170963600010,"terrestrial,freshwater,marine",3
WOS:000171009800022,freshwater,1
WOS:000171781800016,wwt,1
WOS:000172436800009,wwt,1
WOS:000172467300018,freshwater,1
WOS:000172510600006,wwt,1
WOS:000173007400002,wwt,1
WOS:000173049700011,freshwater,1
WOS:000173262400027,terrestrial,1
WOS:000173549800010,"wwt,terrestrial",2
WOS:000173559200015,wwt,1
WOS:000173644400021,freshwater,1
WOS:000174393900008,freshwater,1
WOS:000174919400003,wwt,1
WOS:000175148600012,wwt,1
WOS:000175350500005,wwt,1
WOS:000175441400010,wwt,1
WOS:000175786600019,freshwater,1
WOS:000175786600024,freshwater,1
WOS:000175824100027,wwt,1
WOS:000175836400006,wwt,1
WOS:000175859300010,"terrestrial,freshwater,marine",3
WOS:000176030100019,wwt,1
WOS:000176179700010,wwt,1
WOS:000176505200003,terrestrial,1
WOS:000176811800008,"terrestrial,freshwater,marine",3
WOS:000177132200010,agriculture,1
WOS:000177441400005,wwt,1
WOS:000177529800008,wwt,1
WOS:000177532300001,"freshwater,marine",2
WOS:000177772000003,wwt,1
WOS:000177925500002,wwt,1
WOS:000177989100021,wwt,1
WOS:000177989100023,wwt,1
WOS:000177989100024,wwt,1
WOS:000177989100025,wwt,1
WOS:000177989100026,wwt,1
WOS:000177989100027,wwt,1
WOS:000177989100028,wwt,1
WOS:000177989100029,wwt,1
WOS:000177989100030,wwt,1
WOS:000177989100031,wwt,1
WOS:000177989100068,wwt,1
WOS:000178004800009,terrestrial,1
WOS:000178081600021,"terrestrial,freshwater",2
WOS:000178380900037,wwt,1
WOS:000178390200063,wwt,1
WOS:000178390200064,wwt,1
WOS:000178394300016,"terrestrial,freshwater",2
WOS:000178434900023,wwt,1
WOS:000178434900024,wwt,1
WOS:000178434900025,wwt,1
WOS:000178481500001,wwt,1
WOS:000178644900003,terrestrial,1
WOS:000178794000005,wwt,1
WOS:000178976800014,freshwater,1
WOS:000179329400010,terrestrial,1
WOS:000179363300009,wwt,1
WOS:000179440400003,wwt,1
WOS:000179563500018,wwt,1
WOS:000180146800011,wwt,1
WOS:000180570600003,wwt,1
WOS:000180940600008,terrestrial,1
WOS:000181219800002,"terrestrial,freshwater,marine",3
WOS:000181461900014,terrestrial,1
WOS:000182237500002,wwt,1
WOS:000182421600024,wwt,1
WOS:000182728900013,terrestrial,1
WOS:000182997100031,"terrestrial,freshwater",2
WOS:000183015600015,terrestrial,1
WOS:000183229800014,wwt,1
WOS:000183355600002,wwt,1
WOS:000183605000005,"terrestrial,marine",2
WOS:000183605400005,terrestrial,1
WOS:000183758500005,wwt,1
WOS:000183839100020,wwt,1
WOS:000183919700011,wwt,1
WOS:000184160600009,wwt,1
WOS:000184237700035,"wwt,terrestrial",2
WOS:000184255000009,"terrestrial,freshwater,marine",3
WOS:000184507000071,marine,1
WOS:000184522700011,wwt,1
WOS:000184595400004,wwt,1
WOS:000184595400006,wwt,1
WOS:000184595400016,wwt,1
WOS:000184595400031,wwt,1
WOS:000184813200017,"wwt,terrestrial",2
WOS:000185155400024,"wwt,freshwater",2
WOS:000185444500005,wwt,1
WOS:000185773700013,terrestrial,1
WOS:000185785600028,terrestrial,1
WOS:000185891100006,"terrestrial,freshwater,marine",3
WOS:000185979500014,"terrestrial,freshwater",2
WOS:000186236800003,wwt,1
WOS:000186296600010,freshwater,1
WOS:000186322000016,terrestrial,1
WOS:000186636900031,"terrestrial,freshwater",2
WOS:000186649600004,wwt,1
WOS:000186649600009,wwt,1
WOS:000187208400008,wwt,1
WOS:000187413100006,"terrestrial,freshwater",2
WOS:000187431000002,wwt,1
WOS:000187634600006,wwt,1
WOS:000188115300073,"wwt,marine",2
WOS:000188381100001,"terrestrial,freshwater",2
WOS:000188550600005,"wwt,terrestrial,marine",3
WOS:000188611300014,wwt,1
WOS:000188701000015,wwt,1
WOS:000188829700004,freshwater,1
WOS:000188856600017,wwt,1
WOS:000189304200005,terrestrial,1
WOS:000203019100018,terrestrial,1
WOS:000208863600001,marine,1
WOS:000208996600008,marine,1
WOS:000209192600001,terrestrial,1
WOS:000220013400006,"wwt,marine",2
WOS:000220016300004,wwt,1
WOS:000220040700042,terrestrial,1
WOS:000220160000002,wwt,1
WOS:000220160000003,wwt,1
WOS:000220160000004,wwt,1
WOS:000220262100005,wwt,1
WOS:000220784200006,freshwater,1
WOS:000220840700009,terrestrial,1
WOS:000221587400011,freshwater,1
WOS:000221603500006,freshwater,1
WOS:000221776200024,wwt,1
WOS:000222001100003,wwt,1
WOS:000222215200006,wwt,1
WOS:000222815300026,freshwater,1
WOS:000222854300002,terrestrial,1
WOS:000222857900027,wwt,1
WOS:000223254700005,wwt,1
WOS:000223353000001,"terrestrial,freshwater,marine",3
WOS:000223569300002,wwt,1
WOS:000223791500116,marine,1
WOS:000223901100043,wwt,1
WOS:000223987000026,terrestrial,1
WOS:000224044000006,wwt,1
WOS:000224316600006,"freshwater,marine",2
WOS:000224871500003,marine,1
WOS:000224952400019,wwt,1
WOS:000224952400033,wwt,1
WOS:000225194700001,wwt,1
WOS:000225194700008,wwt,1
WOS:000225372700021,wwt,1
WOS:000226104200014,wwt,1
WOS:000226128100018,wwt,1
WOS:000226128100019,wwt,1
WOS:000226128100020,wwt,1
WOS:000226128100022,wwt,1
WOS:000226338900002,terrestrial,1
WOS:000226492300044,"terrestrial,marine",2
WOS:000226712600036,"terrestrial,freshwater,marine",3
WOS:000226928900012,"terrestrial,freshwater",2
WOS:000227454800002,marine,1
WOS:000227474400004,"terrestrial,freshwater",2
WOS:000227569000016,wwt,1
WOS:000227669000003,wwt,1
WOS:000227742900001,wwt,1
WOS:000227745700010,wwt,1
WOS:000228066900008,terrestrial,1
WOS:000228067800010,terrestrial,1
WOS:000228093500010,wwt,1
WOS:000228339200015,wwt,1
WOS:000228529200048,marine,1
WOS:000228901400014,freshwater,1
WOS:000229082200016,"terrestrial,freshwater,marine",3
WOS:000229201600005,wwt,1
WOS:000229691800004,wwt,1
WOS:000229745100002,freshwater,1
WOS:000229890300015,"wwt,terrestrial,marine",3
WOS:000230044800008,terrestrial,1
WOS:000230156300004,wwt,1
WOS:000230178900004,wwt,1
WOS:000230178900006,wwt,1
WOS:000230218500001,terrestrial,1
WOS:000230369900006,"terrestrial,freshwater",2
WOS:000230375300036,wwt,1
WOS:000230396900004,terrestrial,1
WOS:000230445700084,wwt,1
WOS:000230812300005,terrestrial,1
WOS:000230859900016,terrestrial,1
WOS:000231335500013,wwt,1
WOS:000231388700009,wwt,1
WOS:000231958400004,"terrestrial,freshwater",2
WOS:000232239600006,wwt,1
WOS:000232253100006,wwt,1
WOS:000232347600017,"terrestrial,freshwater,marine",3
WOS:000232417800031,wwt,1
WOS:000232585500015,wwt,1
WOS:000232661600001,"terrestrial,freshwater",2
WOS:000232815200004,wwt,1
WOS:000233235100008,terrestrial,1
WOS:000233294800022,wwt,1
WOS:000233500200010,"terrestrial,freshwater,marine",3
WOS:000234052600006,wwt,1
WOS:000234416700010,wwt,1
WOS:000234417600129,wwt,1
WOS:000234492000007,"terrestrial,freshwater",2
WOS:000234662800032,marine,1
WOS:000234669100011,freshwater,1
WOS:000234773400007,wwt,1
WOS:000234800200002,wwt,1
WOS:000234897300005,marine,1
WOS:000235153300002,wwt,1
WOS:000235220500007,freshwater,1
WOS:000235272400016,wwt,1
WOS:000235272900010,wwt,1
WOS:000235330900011,wwt,1
WOS:000235658700023,terrestrial,1
WOS:000235727700016,wwt,1
WOS:000235949200003,"terrestrial,agriculture",2
WOS:000236102300007,wwt,1
WOS:000236194300004,"freshwater,marine",2
WOS:000236296100006,wwt,1
WOS:000236628400009,wwt,1
WOS:000236738500016,terrestrial,1
WOS:000237344500018,terrestrial,1
WOS:000237525500038,terrestrial,1
WOS:000237540100003,wwt,1
WOS:000237540100013,wwt,1
WOS:000237772200013,"freshwater,marine",2
WOS:000237853400002,wwt,1
WOS:000237853400012,wwt,1
WOS:000238056000028,wwt,1
WOS:000238143000016,wwt,1
WOS:000238350700012,wwt,1
WOS:000238618700010,freshwater,1
WOS:000238677300004,terrestrial,1
WOS:000238859400019,wwt,1
WOS:000238920200009,terrestrial,1
WOS:000238932700020,wwt,1
WOS:000238946800022,wwt,1
WOS:000239076000010,wwt,1
WOS:000239196200007,wwt,1
WOS:000239287100004,terrestrial,1
WOS:000239498100005,wwt,1
WOS:000239498100008,wwt,1
WOS:000239498100009,wwt,1
WOS:000239498100011,wwt,1
WOS:000239498100013,wwt,1
WOS:000239498100014,wwt,1
WOS:000239498100015,wwt,1
WOS:000239498100022,wwt,1
WOS:000239498100024,wwt,1
WOS:000239498100026,wwt,1
WOS:000239498100030,wwt,1
WOS:000239498100031,wwt,1
WOS:000239498100032,wwt,1
WOS:000239543700004,wwt,1
WOS:000239543700007,wwt,1
WOS:000239655100003,"terrestrial,freshwater",2
WOS:000239818700004,"terrestrial,freshwater,marine",3
WOS:000239859900006,terrestrial,1
WOS:000240185200025,wwt,1
WOS:000240415300007,terrestrial,1
WOS:000240474000076,marine,1
WOS:000240673800036,"terrestrial,freshwater",2
WOS:000240693600026,wwt,1
WOS:000240935800001,wwt,1
WOS:000241459600004,wwt,1
WOS:000241654600004,wwt,1
WOS:000241706100009,freshwater,1
WOS:000241823000010,wwt,1
WOS:000242003800023,marine,1
WOS:000242007100004,terrestrial,1
WOS:000242170300004,terrestrial,1
WOS:000242431100035,terrestrial,1
WOS:000242677200010,wwt,1
WOS:000242793400067,"terrestrial,freshwater",2
WOS:000242988600005,"terrestrial,freshwater",2
WOS:000242988600021,wwt,1
WOS:000243146400003,terrestrial,1
WOS:000243402000012,marine,1
WOS:000243461200015,terrestrial,1
WOS:000243545300018,wwt,1
WOS:000243739700024,freshwater,1
WOS:000243743700016,wwt,1
WOS:000244070900002,"terrestrial,freshwater",2
WOS:000244392000004,"terrestrial,marine",2
WOS:000244467500036,wwt,1
WOS:000244629100010,"terrestrial,freshwater",2
WOS:000244883800015,wwt,1
WOS:000244992800019,freshwater,1
WOS:000245168000035,terrestrial,1
WOS:000245171400018,wwt,1
WOS:000245576300028,wwt,1
WOS:000245721800003,wwt,1
WOS:000245760300023,terrestrial,1
WOS:000246092100014,wwt,1
WOS:000246353300003,"terrestrial,marine",2
WOS:000246430500028,"terrestrial,freshwater,marine",3
WOS:000246454100014,wwt,1
WOS:000246491700006,wwt,1
WOS:000246588200006,wwt,1
WOS:000246708800004,wwt,1
WOS:000246732500012,wwt,1
WOS:000247169300018,wwt,1
WOS:000247294500003,"wwt,marine",2
WOS:000247382700011,wwt,1
WOS:000247571100001,terrestrial,1
WOS:000247585800012,wwt,1
WOS:000247607300010,terrestrial,1
WOS:000247896100016,wwt,1
WOS:000247960300009,wwt,1
WOS:000248266100001,"freshwater,marine",2
WOS:000248782300013,wwt,1
WOS:000248960500013,wwt,1
WOS:000249202500007,wwt,1
WOS:000249346400004,"terrestrial,freshwater,marine",3
WOS:000249550400021,wwt,1
WOS:000249693500008,terrestrial,1
WOS:000249916600031,"freshwater,marine",2
WOS:000249984400008,wwt,1
WOS:000249990400005,wwt,1
WOS:000250021400007,wwt,1
WOS:000250074700003,wwt,1
WOS:000250115200018,wwt,1
WOS:000250125800018,wwt,1
WOS:000250216900002,wwt,1
WOS:000250216900012,wwt,1
WOS:000250238500004,wwt,1
WOS:000250553500006,terrestrial,1
WOS:000250713700013,terrestrial,1
