uid,title,journal_fix,journal_short,year_fix,keywords_fix,authors_fix
WOS:000072426900007,"Xerocomus badius - Picea abies, an ectomycorrhiza of high activity and element storage capacity in acidic soil",Mycorrhiza,Mycorrhiza,1998,"ectomycorrhizas,eels,element accumulation,hyphal sheath,icp-aes,fda hydrolysing activity","kottke_i,qian_xm,pritsch_k,haug_i,oberwinkler_f"
WOS:000074487300009,"Controlled release of phosphorus fertilizers by small, frequent additions in water solution",Canadian Journal of Soil Science,Canadian Journal of...,1998,"barley,diammonium phosphate,monoammonium phosphate,p uptake,p yield,release of p","nyborg_m,solberg_ed,pauly_dg"
WOS:000077955400007,Direct and residual effects of liquid ammonium polyphosphate as a phosphorus source in wheat (Triticum aestivum) maize (Zea mays) cropping system in an Entisol of western Uttar Pradesh,Indian Journal of Agronomy,Indian Journal of...,1998,"wheat-maize cropping,ammonium polyphosphate,grain and stover yields,phosphorus uptake","sharma_rd,singh_ta"
WOS:000079775500005,Effects of poly- and orthophosphates on the dynamics of some macro- and micronutrient elements in soil material of varied pH. I. Comparison of nutrient element content in soil determined by the methods of Egner-Riehm-Domingo and Rinkis,Communications in Soil Science and Plant Analysis,Communications in Soil...,1999,NA,"zawartka_l,huszcza-ciolkowska_g,szumska_e"
WOS:000079775500006,Effects of poly- and orthophosphates on the dynamics of some macro- and micronutrient elements in soil material of varied pH. II. Phosphorus,Communications in Soil Science and Plant Analysis,Communications in Soil...,1999,NA,"zawartka_l,huszcza-ciolkowska_g,szumska_e"
WOS:000079775500007,Effects of poly- and orthophosphates on the dynamics of some macro- and micronutrient elements in soil material of varied pH. III. Potassium,Communications in Soil Science and Plant Analysis,Communications in Soil...,1999,NA,"zawartka_l,huszcza-ciolkowska_g,szumska_e"
WOS:000079775500016,Identification of soil organic phosphorus by P-31 nuclear magnetic resonance spectroscopy,Communications in Soil Science and Plant Analysis,Communications in Soil...,1999,NA,"pant_hk,warman_pr,nowak_j"
WOS:000080948600005,Aluminium and lead tolerance in ectomycorrhizal fungi,Journal of Plant Nutrition and Soil Science,Journal of Plant...,1999,"ectomycorrhizal fungi,lead,aluminium,tolerance","marschner_p,klam_a,jentschke_g,godbold_dl"
WOS:000083241700004,"Rapid laser fluorometric method for the determination of uranium in soil, ultrabasic rock, plant ash, coal fly ash and red mud samples",Journal of Radioanalytical and Nuclear Chemistry,Journal of Radioanalytical...,1999,NA,"premadas_a,srivastava_pk"
WOS:000086536000015,Ericoid mycorrhizal fungi from heavy metal polluted soils: their identification and growth in the presence of zinc ions,Mycological Research,Mycological Research,2000,NA,"martino_e,turnau_k,girlanda_m,bonfante_p,perotto_s"
