uid,title,journal_fix,journal_short,year_fix,keywords_fix,authors_fix
WOS:000071108600026,Impact of excessive aeration on biological phosphorus removal from wastewater,Water Research,Water Research,1998,"biological phosphorus removal,excessive aeration,aeration control,phb,polyphosphate,glycogen,rainfall,low loading,maintenance,decay","brdjanovic_d,slamet_a,van_loosdrecht_mcm,hooijmans_cm,alaerts_gj,heijnen_jj"
WOS:000071489100012,Application of enzymatic activity measurements to biological phosphate removal from wastewater,Water Science and Technology,Water Science and...,1997,"activated sludge,polyphosphates,p-removal,enzymatic activity","czerska_b,miksch_k,matsche_n,franz_a"
WOS:000071577500007,Phosphorus removal from nightsoil with sequencing batch reactor (SBR),Water Science and Technology,Water Science and...,1997,"biological phosphorus removal,hydroxyapatite,nightsoil,nitrogenous waste,phosphorus-fractionation,sbr,struvite","oa_sw,choi_e"
WOS:000072158500016,Engineering polyphosphate metabolism in Escherichia coli: Implications for bioremediation of inorganic contaminants,Biotechnology and Bioengineering,Biotechnology and Bioengineering,1998,"polyphosphate metabolism,metabolic engineering,escherichia coli,bioremediation","keasling_jd,van_dien_sj,pramanik_j"
WOS:000072292700027,Quinone profiling of bacterial communities in natural and synthetic sewage activated sludge for enhanced phosphate removal,Applied and Environmental Microbiology,Applied and Environmental...,1998,NA,"hiraishi_a,ueda_y,ishihara_j"
WOS:000072427700016,Metabolic transformations and characterisation of the sludge community in an enhanced biological phosphorus removal system,Applied Microbiology and Biotechnology,Applied Microbiology and...,1998,NA,"christensson_m,blackall_ll,welander_t"
WOS:000072793500003,Increasing substrate for polyphosphate-accumulating bacteria in municipal wastewater through hydrolysis and fermentation of sludge in primary clarifiers,Water Environment Research,Water Environment Research,1998,"hydrolysis,fermentation,primary sludge,volatile fatty acids,enhanced biological phosphorus removal","christensson_m,lie_e,jonsson_k,johansson_p,welander_t"
WOS:000073795400032,Relation between sludge carbohydrate content and biological phosphate removal,Water Research,Water Research,1998,"activated sludge,phosphate removal,sludge carbohydrate",liu_yh
WOS:000073933300068,Determination of the microbial diversity of anaerobic-aerobic activated sludge by a novel molecular biological technique,Water Science and Technology,Water Science and...,1998,"activated sludge,biological phosphorus removal,microbial diversity,polyphosphate,16s rdna,restriction fragment length polymorphism","liu_wt,marsh_tl,forney_lj"
WOS:000073933300077,Development and application of 16S rRNA-targeted oligonucleotide probe for detection of the phosphate-accumulating bacterium Microlunatus phosphovorus in an enhanced biological phosphorus removal process,Water Science and Technology,Water Science and...,1998,"community,dapi,ebpr,oligonucleotide probes,phosphate-accumulating bacterium,population,ribosomal rna","kawaharasaki_m,kanagawa_t,tanaka_h,nakamura_k"
WOS:000073933300084,Low temperature effects on phosphorus release and uptake by microorganisms in EBPR plants,Water Science and Technology,Water Science and...,1998,"acinetobacter sp.,biological phosphorus removal,polyphosphate storage,pure cultures,temperature","helmer_c,kunst_s"
WOS:000073933300087,The distribution and movement of polyphosphate and associated cations in sludges from NDEBPR plants in different configurations at pilot scale,Water Science and Technology,Water Science and...,1998,"activated sludge,enhanced biological phosphorus removal,intracellular polyphosphate,metal cations","lindrea_kc,lockwood_g,majone_m"
WOS:000073933300089,Characterisation of enhanced biological phosphorus removal activated sludges with dissimilar phosphorus removal performances,Water Science and Technology,Water Science and...,1998,"acinetobacter,activated sludge,bacterial population analysis,ebpr model,phosphorus removal","bond_pl,keller_j,blackall_ll"
WOS:000073933300092,Modeling of enhanced biological phosphorus removal in a sequencing batch biofilm reactor,Water Science and Technology,Water Science and...,1998,"enhanced biological phosphorus removal,sequencing batch biofilm reactor (sbbr),mathematical modeling,biofilm,iawq activated sludge model no. 2","morgenroth_e,wilderer_pa"
WOS:000073933300097,A flux-based stoichiometric model of enhanced biological phosphorus removal metabolism,Water Science and Technology,Water Science and...,1998,"enhanced biological phosphorus removal,metabolic pathways,kinetic,models","pramanik_j,trelstad_pl,keasling_jd"
WOS:000074504100018,Problems and chemical aspects of industrial and municipal wastewater treatment in Estonia,Critical Reviews in Analytical Chemistry,Critical Reviews in...,1998,NA,"tenno_t,orupold_k,pruks_a"
WOS:000075127200025,Inhibition of anaerobic phosphate release by nitric oxide in activated sludge,Applied and Environmental Microbiology,Applied and Environmental...,1998,NA,"van_niel_ewj,appeldoorn_kj,zehnder_ajb,kortstee_gjj"
