journal_rank,journal_fix,n
13,Applied and Environmental Microbiology,56
11,Biochemical and Biophysical Research Communications,63
12,Biochemical Journal,60
14,Biochemistry,52
20,Biochemistry-Moscow,39
19,Blood,40
15,Composites Part B-Engineering,50
17,Febs Letters,45
18,Fire and Materials,43
8,Industrial and Engineering Chemistry Research,80
3,Journal of Applied Polymer Science,215
7,Journal of Bacteriology,81
2,Journal of Biological Chemistry,258
10,Journal of Fire Sciences,66
4,Journal of Thermal Analysis and Calorimetry,119
10,Plos One,66
16,Polymer Composites,46
1,Polymer Degradation and Stability,325
17,Polymers,45
5,Polymers For Advanced Technologies,118
6,Proceedings of the National Academy of Sciences of the United States of America,106
9,Rsc Advances,77
