uid,title,journal,issue,volume,pages,date,year,authors,keywords,doi,article_no,isi_id,issn,isbn,environment,category
WOS:A1986F768000010,"ABOUT MANUFACTURE, PROCESSING AND MICROBIOLOGY OF FARCE OF FRESH-WATER FISHES",LEBENSMITTELINDUSTRIE,6,33,272-273,NOV-DEC,1986,"RAMM, I | WILKE, K | WASMUND, M",,NA,NA,F7680,0024-0028,NA,freshwater,freshwater
WOS:A1992JH85300009,THROUGH A DRINKING GLASS AND WHAT WAS FOUND THERE - PSEUDOCONTAMINATION OF A HOSPITALS DRINKING-WATER,INFECTION CONTROL AND HOSPITAL EPIDEMIOLOGY,8,13,477-481,AUG,1992,"KLOTZ, SA | NORMAND, RE | KALINSKY, RG",,NA,NA,JH853,0899-823X,NA,freshwater,freshwater
WOS:000263216700014,Bacterial ecology of tilapia fresh fillets and some factors that can influence their microbial quality,CIENCIA E TECNOLOGIA DE ALIMENTOS,4,28,863-867,OCT-DEC,2008,"Boari, Cleube Andrade | Pereira, Gisele Inocencio | Valeriano, Carolina | Silva, Belami Cassia | de Morais, Vinicius Mendes | Pereira Figueiredo, Henrique Cesar | Piccoli, Roberta Hilsdor",microbiology | aquaculture | tilapia | fillets | quality,NA,NA,405IO,0101-2061,NA,freshwater,freshwater
WOS:A1985APZ7700010,MICROBIOLOGY AT THE FRESHWATER-BIOLOGICAL-ASSOCIATION,MICROBIOLOGICAL SCIENCES,9,2,282-285,NA,1985,"JONES, JG",,NA,NA,APZ77,0265-1351,NA,freshwater,freshwater
WOS:000284170300036,Salmonella rarely detected in Mississippi coastal waters and sediment,JOURNAL OF APPLIED MICROBIOLOGY,6,109,2191-2199,DEC,2010,"Carr, M. R. | Wang, S. Y. | McLean, T. I. | Flood, C. J. | Ellender, R. D.",environmental water quality | Salmonella | sediment,10.1111/j.1365-2672.2010.04851.x,NA,679OI,1364-5072,NA,freshwater,freshwater
WOS:000258943400017,Origin of microbiological zoning in groundwater flows,GEOLOGY,9,36,739-742,SEP,2008,"Bethke, Craig M. | Ding, Dong | Jin, Qusheng | Sanford, Robert A.",aquifer microbiology | microbial communities | sulfate-reducing bacteria | iron-reducing bacteria | methanogens,10.1130/G24859A.1,NA,344QW,0091-7613,NA,freshwater,freshwater
WOS:000495598400034,Integrating Hydrogeological and Microbiological Data and Modelling to Characterize the Hydraulic Features and Behaviour of Coastal Carbonate Aquifers: A Case in Western Cuba,WATER,10,11,,OCT,2019,"Hernandez-Diaz, Rebeca | Petrella, Emma | Bucci, Antonio | Naclerio, Gino | Feo, Alessandra | Sferra, Gabriella | Chelli, Alessandro | Zanini, Andrea | Gonzalez-Hernandez, Patricia | Celico, Fulvio",hydrological behaviour | carbonate coastal aquifer | saltwater wedge | multidisciplinary approach | western Cuba,10.3390/w11101989,NA,JL5VD,NA,NA,freshwater,freshwater
WOS:A1993LK22600018,MICROBIOLOGY AND STORAGE LIFE OF FRESH EDIBLE SEAWEEDS,JOURNAL OF APPLIED PHYCOLOGY,2,5,243-247,APR,1993,"LIOT, F | COLIN, A | MABEAU, S",EDIBLE SEAWEEDS | MICROBIOLOGY | PALMARIA-PALMATA | STORAGE LIFE | ULVA-RIGIDA | WASHING,NA,NA,LK226,0921-8971,NA,freshwater,freshwater
WOS:000257388500030,Microbiology of broiler carcasses and chemistry of chiller water as affected by water reuse,POULTRY SCIENCE,7,87,1458-1463,JUL,2008,"Northcutt, J. K. | Smith, D. | Huezo, R. I. | Ingram, K. D.",broiler | chiller water microbiology | carcass microbiology | chlorine,10.3382/ps.2007-00480,NA,322PT,0032-5791,NA,freshwater,freshwater
WOS:000425392500001,Benthic Bacterial Community Composition in the Oligohaline-Marine Transition of Surface Sediments in the Baltic Sea Based on rRNA Analysis,FRONTIERS IN MICROBIOLOGY,NA,9,,FEB 19,2018,"Klier, Julia | Dellwig, Olaf | Leipe, Thomas | Juergens, Klaus | Herlemann, Daniel P. R.",brackish microbiology | estuarine ecology | Baltic Sea | bacteriobenthos | bacterial diversity and community composition,10.3389/fmicb.2018.00236,NA,FW5XL,1664-302X,NA,freshwater,freshwater
WOS:000370454200038,Saline Groundwater from Coastal Aquifers As a Source for Desalination,ENVIRONMENTAL SCIENCE & TECHNOLOGY,4,50,1955-1963,FEB 16,2016,"Stein, Shaked | Russak, Amos | Sivan, Orit | Yechieli, Yoseph | Rahav, Eyal | Oren, Yoram | Kasher, Roni",,10.1021/acs.est.5b03634,NA,DE2JS,0013-936X,NA,freshwater,freshwater
WOS:000254917000028,Effect of hot water surface pasteurization of whole fruit on shelf life and quality of fresh-cut cantaloupe,JOURNAL OF FOOD SCIENCE,3,73,M91-M98,APR,2008,"Fan, X. | Annous, B. A. | Beaulieu, J. C. | Sites, J. E.",cantaloupe | chlorine | hot water | microbial populations | quality,10.1111/j.1750-3841.2008.00695.x,NA,287KW,0022-1147,NA,freshwater,freshwater
WOS:000177064100048,"Postharvest microbiology of farm-reared, tropical freshwater prawn (Macrobrachium rosenbergii)",JOURNAL OF FOOD SCIENCE,5,67,1859-1861,JUN-JUL,2002,"Jeyasekaran, G | Ayyappan, S",microbiology | freshwater prawn | quality | Macrobrachium rosenbergii | shelflife,NA,NA,577MF,0022-1147,NA,freshwater,freshwater
WOS:000294065600022,"Anthropogenic pollutants affect ecosystem services of freshwater sediments: the need for a ""triad plus x"" approach",JOURNAL OF SOILS AND SEDIMENTS,6,11,1099-1114,SEP,2011,"Gerbersdorf, Sabine Ulrike | Hollert, Henner | Brinkmann, Markus | Wieprecht, Silke | Schuettrumpf, Holger | Manz, Werner",Biofilm | Freshwater | Interdisciplinary approach | Management of sediments | Pollutants | Risk assessment,10.1007/s11368-011-0373-0,NA,809OC,1439-0108,NA,freshwater,freshwater
