uid,title,journal,issue,volume,pages,date,year,authors,keywords,doi,article_no,isi_id,issn,isbn,environment,category
WOS:A1963WU65700004,MICROBIOLOGY OF DETRITUS OF LAKES,LIMNOLOGY AND OCEANOGRAPHY,4,8,388-393,NA,1963,"RODINA, AG",,NA,NA,WU657,0024-3590,NA,lake,freshwater
WOS:A1981LW28300008,MICROBIOLOGY OF THE GREAT SALT LAKE NORTH ARM,HYDROBIOLOGIA,JUN,81-2,59-69,NA,1981,"POST, FJ",,NA,NA,LW283,0018-8158,NA,lake,freshwater
WOS:A1980JQ56700001,SOME DIFFERENCES IN THE MICROBIOLOGY OF PROFUNDAL AND LITTORAL LAKE-SEDIMENTS,JOURNAL OF GENERAL MICROBIOLOGY,APR,117,285-292,NA,1980,"JONES, JG",,NA,NA,JQ567,0022-1287,NA,lake,freshwater
WOS:A1976CZ09700047,PHYSIOLOGY AND MICROBIOLOGY OF N2-FIXATION IN SLUDGE SAMPLES OF LAKE HARKORT (RUHR VALLEY),BERICHTE DER DEUTSCHEN BOTANISCHEN GESELLSCHAFT,2-3,89,609-630,NA,1976,"JAEGER, D | WERNER, D",,NA,NA,CZ097,0365-9631,NA,lake,freshwater
WOS:A1976BM56000012,MICROBIOLOGY AND DECOMPOSITION OF SESTON IN OPEN WATER AND EXPERIMENTAL ENCLOSURES IN A PRODUCTIVE LAKE,JOURNAL OF ECOLOGY,1,64,241-&,NA,1976,"JONES, JG",,NA,NA,BM560,0022-0477,NA,lake,freshwater
WOS:A1956WR62100014,"THE MICROBIOLOGY OF FLATHEAD AND ROGERS LAKES, MONTANA .1. PRELIMINARY SURVEY OF THE MICROBIAL-POPULATIONS",ECOLOGY,2,37,351-355,NA,1956,"POTTER, LF | BAKER, GE",,NA,NA,WR621,0012-9658,NA,lake,freshwater
WOS:A1993KY82400001,THE 3RD INTERNATIONAL WORKSHOP ON PHOSPHORUS IN SEDIMENTS - SUMMARY AND SYNTHESIS,HYDROBIOLOGIA,1-3,253,R11-R18,MAR 5,1993,"BOERS, PCM | CAPPENBERG, TE | VANRAAPHORST, W",PHOSPHORUS | SEDIMENTS | CHEMISTRY | MICROBIOLOGY | MODELING | LAKE RESTORATION,NA,NA,KY824,0018-8158,NA,lake,freshwater
WOS:A19611611400021,"MICROBIOLOGY OF FLATHEAD AND ROGERS LAKES, MONTANA .2. VERTICAL-DISTRIBUTION OF MICROBIAL-POPULATIONS AND CHEMICAL-ANALYSES OF THEIR ENVIRONMENTS",ECOLOGY,2,42,338-&,NA,1961,"POTTER, LF | BAKER, GE",,NA,NA,16114,0012-9658,NA,lake,freshwater
WOS:A1991FQ25400005,MICROBIOLOGY AND CHEMISTRY OF ACID LAKES IN FLORIDA .2. SEASONAL RELATIONSHIPS,HYDROBIOLOGIA,3,213,227-240,MAY 10,1991,"JAMES, RT",MICROBIOLOGY | LAKES | DISSOLVED ORGANIC CARBON (DOC) | PH | ACID PRECIPITATION | SUBSIDY-STRESS,NA,NA,FQ254,0018-8158,NA,lake,freshwater
WOS:000183651800014,Microbial biodiversity in the water of Lake Baikal,MICROBIOLOGY,2,72,203-212,MAR-APR,2003,"Bel'kova, NL | Parfenova, VV | Kostornova, TY | Denisova, LY | Zaichikov, EF",Lake Baikal | total bacterial number | biodiversity | 16S rRNA,NA,NA,692FZ,0026-2617,NA,lake,freshwater
