uid,title,journal,issue,volume,pages,date,year,authors,keywords,doi,article_no,isi_id,issn,isbn,environment,category
WOS:000202044600035,Microbiology and the marine limestone,TRANSACTIONS-AMERICAN GEOPHYSICAL UNION,NA,13,230-233,JUN,1932,"Fiold, RM",,NA,NA,V30GK,0002-8606,NA,marine,marine
WOS:000424026500005,When Pasteurian Science Went to Sea: The Birth of Marine Microbiology,JOURNAL OF THE HISTORY OF BIOLOGY,1,51,107-133,MAR,2018,"Adler, Antony | Ducker, Erik",Marine microbiology | Oceanography | Biogeography | Pasteur | Fieldwork,10.1007/s10739-017-9477-8,NA,FU7IT,0022-5010,NA,marine,marine
WOS:000201738500008,Microbiology and the marine limestones,BULLETIN OF THE GEOLOGICAL SOCIETY OF AMERICA,1/4,43,487-493,JAN-APR,1933,"Field, RM",,NA,NA,V25SR,1050-9747,NA,marine,marine
WOS:000079633800007,"Interest in marine microbiology is ""infectious""",ASM NEWS,4,65,190-191,APR,1999,"Holzman, D",,NA,NA,184VE,0044-7897,NA,marine,marine
WOS:A1996VL75000015,Marine microbiology institute dedicated in Bremen,ASM NEWS,10,62,524-525,OCT,1996,"Jannasch, HW",,NA,NA,VL750,0044-7897,NA,marine,marine
WOS:A1952UK09200002,THE MEMBRANE FILTER IN MARINE MICROBIOLOGY,JOURNAL OF BACTERIOLOGY,6,64,783-786,NA,1952,"OPPENHEIMER, CH",,NA,NA,UK092,0021-9193,NA,marine,marine
WOS:000188722700005,Investigations on the microbiology of marine air,JOURNAL OF MARINE RESEARCH,3,2,208-217,NA,1939,"Rittenberg, SC",,NA,NA,V9549,0022-2402,NA,marine,marine
WOS:A1990DK08000009,MARINE MICROBIOLOGY - A NEED FOR DEEP-SEA DIVING,MARINE TECHNOLOGY SOCIETY JOURNAL,2,24,38-41,JUN,1990,"JANNASCH, HW",,NA,NA,DK080,0025-3324,NA,marine,marine
WOS:000086119000039,Environmental microbiology - A tetrodotoxin-producing marine pathogen,NATURE,6776,404,354-354,MAR 23,2000,"Ritchie, KB | Nagelkerken, I | James, S | Smith, GW",,NA,NA,298BG,0028-0836,NA,marine,marine
WOS:000185970600018,History of marine microbiology in Russia (the soviet union) in the second half of the 20th century,BIOLOGY BULLETIN,5,30,525-529,SEP-OCT,2003,"Mishustina, IE",,NA,NA,732XJ,1062-3590,NA,marine,marine
WOS:000283766300016,Electrical Current Generation across a Black Smoker Chimney,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,42,49,7692-7694,NA,2010,"Nakamura, Ryuhei | Takashima, Toshihiro | Kato, Souichiro | Takai, Ken | Yamamoto, Masahiro | Hashimoto, Kazuhito",electrochemistry | microbiology | mineralogy | nanostructures | sustainable chemistry,10.1002/anie.201003311,NA,674RT,1433-7851,NA,marine,marine
