uid,title,journal,issue,volume,pages,date,year,authors,keywords,doi,article_no,isi_id,issn,isbn,environment,category
WOS:000270635700027,Ocean microbial metagenomics,DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY,19-20,56,1824-1829,SEP,2009,"Kerkhof, Lee J. | Goodman, Robert M.",Metagenomics | Ocean microbiology,10.1016/j.dsr2.2009.05.005,NA,504RT,0967-0645,NA,ocean,marine
WOS:000261638100024,Microbiology in Polar Oceans,OCEANOGRAPHY,2,20,140-145,JUN,2007,"Hollibaugh, James T. | Lovejoy, Connie | Murray, Alison E.",,NA,NA,382XG,1042-8275,NA,ocean,marine
WOS:000459631500007,Take to the high seas: microbiology labs below the ocean surface,ENVIRONMENTAL MICROBIOLOGY REPORTS,1,11,23-25,FEB,2019,"Huber, Julie A. | Preston, Christina",,10.1111/1758-2229.12714,NA,HM7BE,1758-2229,NA,ocean,marine
WOS:000276536000005,Biological Iron-Monosulfide Production for Efficient Electricity Harvesting from a Deep-Sea Metal-Reducing Bacterium,CHEMBIOCHEM,5,11,643-645,MAR 22,2010,"Nakamura, Ryuhei | Okamoto, Akihiro | Tajima, Nozomi | Newton, Greg J. | Kai, Fumiyoshi | Takashima, Toshihiro | Hashimoto, Kazuhito",biomineralization | electrochemistry | microbiology | sustainable chemistry,10.1002/cbic.200900775,NA,581PJ,1439-4227,NA,ocean,marine
WOS:000273833700022,Microbial Life in the Trenches,MARINE TECHNOLOGY SOCIETY JOURNAL,5,43,128-131,WIN,2009,"Bartlett, Douglas H.",Barophile | Challenger Deep | High pressure | Piezophile | Trench,NA,NA,546TB,0025-3324,NA,ocean,marine
WOS:000424026500005,When Pasteurian Science Went to Sea: The Birth of Marine Microbiology,JOURNAL OF THE HISTORY OF BIOLOGY,1,51,107-133,MAR,2018,"Adler, Antony | Ducker, Erik",Marine microbiology | Oceanography | Biogeography | Pasteur | Fieldwork,10.1007/s10739-017-9477-8,NA,FU7IT,0022-5010,NA,ocean,marine
WOS:000289113000001,"Genomics, metagenomics, and microbial oceanography-A sea of opportunities",SCIENCE CHINA-EARTH SCIENCES,4,54,473-480,APR,2011,Fang JiaSong | Zhang Li,microbial oceanography | genomics | metagenomics | genes | biomass | bacteria | archaea | eukarya | phylogeny | physiology | metabolism | ecology | biogeochemistry | microbiology | ecosystem function,10.1007/s11430-011-4179-0,NA,744RU,1674-7313,NA,ocean,marine
WOS:000233309800013,Wound infections in tsunami survivors: A commentary,ANNALS ACADEMY OF MEDICINE SINGAPORE,9,34,582-585,OCT,2005,"Lim, PL",antibiotic therapy | microbiology | natural disasters | traumatic injury,NA,NA,984MU,0304-4602,NA,ocean,marine
WOS:000274844600004,Stratospheric microbiology at 20 km over the Pacific Ocean,AEROBIOLOGIA,1,26,35-46,MAR,2010,"Smith, David J. | Griffin, Dale W. | Schuerger, Andrew C.",Upper atmosphere | Stratosphere | Microbiology | Pacific Ocean,10.1007/s10453-009-9141-7,NA,559RT,0393-5965,NA,ocean,marine
WOS:000275681300006,Tapping the Subsurface Ocean Crust Biosphere: Low Biomass and Drilling-Related Contamination Calls for Improved Quality Controls,GEOMICROBIOLOGY JOURNAL,2,27,158-169,NA,2010,"Santelli, Cara M. | Banerjee, Neil | Bach, Wolfgang | Edwards, Katrina J.",biogeochemical cycling | biomineralization | deep biosphere | molecular ecology | subsurface microbiology,10.1080/01490450903456780,NA,570MB,0149-0451,NA,ocean,marine
WOS:000071005400018,The discovery of chain-like ultra-microfossils in the manganese nodules from the Pacific Ocean,JOURNAL OF TRACE AND MICROPROBE TECHNIQUES,4,15,471-476,NA,1997,"Zhang, FS | Lin, CY | Bian, LZ | Chen, JL | Shen, HT | Han, XQ",manganese nodules | stromatolite | Minima | ultra-microfossil,NA,NA,YL896,0733-4680,NA,ocean,marine
WOS:000240547700007,"Airborne microorganisms in the African desert dust corridor over the mid-Atlantic ridge, Ocean Drilling Program, Leg 209",AEROBIOLOGIA,3,22,211-226,SEP,2006,"Griffin, Dale W. | Westphal, Douglas L. | Gray, Michael A.",aerobiology | microbiology | atmospheric microbiology | atmosphere | methods | survival | oceanic,10.1007/s10453-006-9033-z,NA,084PX,0393-5965,NA,ocean,marine
WOS:000321827000063,Prevalent genome streamlining and latitudinal divergence of planktonic bacteria in the surface ocean,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,28,110,11463-11468,JUL 9,2013,"Swan, Brandon K. | Tupper, Ben | Sczyrba, Alexander | Lauro, Federico M. | Martinez-Garcia, Manuel | Gonzalez, Jose M. | Luo, Haiwei | Wright, Jody J. | Landry, Zachary C. | Hanson, Niels W. | Thompson, Brian P. | Poulton, Nicole J. | Schwientek, Patrick | Acinas, Silvia G. | Giovannoni, Stephen J. | Moran, Mary Ann | Hallam, Steven J. | Cavicchioli, Ricardo | Woyke, Tanja | Stepanauskas, Ramunas",comparative genomics | marine microbiology | microbial ecology | microbial | microevolution | operational taxonomic unit,10.1073/pnas.1304246110,NA,183OT,0027-8424,NA,ocean,marine
WOS:000363090700017,Metaproteomics of aquatic microbial communities in a deep and stratified estuary,PROTEOMICS,20,15,3566-3579,OCT,2015,"Colatriano, David | Ramachandran, Arthi | Yergeau, Etienne | Maranger, Roxane | Gelinas, Yves | Walsh, David A.",Carbon cycle | Marine microbiology | Metagenomics | Microbiology | Nitrification | Ocean,10.1002/pmic.201500079,NA,CT8TZ,1615-9853,NA,ocean,marine
WOS:000405265800004,290 metagenome-assembled genomes from the Mediterranean Sea: a resource for marine microbiology,PEERJ,NA,5,,JUL 10,2017,"Tully, Benjamin J. | Sachdeva, Rohan | Graham, Elaina D. | Heidelberg, John F.",Metagenomics | Metagenome-assembled genomes | Mediterranean sea | Bacteria | Archaea | Tara oceans,10.7717/peerj.3558,NA,FA2JC,2167-8359,NA,ocean,marine
WOS:A1994PJ28500040,DEEP BACTERIAL BIOSPHERE IN PACIFIC-OCEAN SEDIMENTS,NATURE,6496,371,410-413,SEP 29,1994,"PARKES, RJ | CRAGG, BA | BALE, SJ | GETLIFF, JM | GOODMAN, K | ROCHELLE, PA | FRY, JC | WEIGHTMAN, AJ | HARVEY, SM",,NA,NA,PJ285,0028-0836,NA,ocean,marine
WOS:000474506700012,Anoxygenic photosynthesis and the delayed oxygenation of Earth's atmosphere,NATURE COMMUNICATIONS,NA,10,,JUL 9,2019,"Ozaki, Kazumi | Thompson, Katharine J. | Simister, Rachel L. | Crowe, Sean A. | Reinhard, Christopher T.",,10.1038/s41467-019-10872-z,NA,IH5BQ,2041-1723,NA,ocean,marine
WOS:000342407500002,The world's microbiology laboratories can be a global microbial sensor network,BIOMEDICA,NA,34,9-15,APR,2014,"O'Brien, Thomas F. | Stelling, John",Drug resistance | microbial | science and technology information networks,10.7705/biomedica.v34i0.2205,NA,AP9NW,0120-4157,NA,ocean,marine
WOS:000280767700011,Diverse styles of submarine venting on the ultraslow spreading Mid-Cayman Rise,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,32,107,14020-14025,AUG 10,2010,"German, C. R. | Bowen, A. | Coleman, M. L. | Honig, D. L. | Huber, J. A. | Jakuba, M. V. | Kinsey, J. C. | Kurz, M. D. | Leroy, S. | McDermott, J. M. | de Lepinay, B. Mercier | Nakamura, K. | Seewald, J. S. | Smith, J. L. | Sylva, S. P. | Van Dover, C. L. | Whitcomb, L. L. | Yoerger, D. R.",hydrothermal activity | mid-ocean ridge | microbiology | ocean chemistry | astrobiology,10.1073/pnas.1009205107,NA,636UD,0027-8424,NA,ocean,marine
WOS:000311183700002,Poseidon: An information retrieval and extraction system for metagenomic marine science,ECOLOGICAL INFORMATICS,NA,12,10-15,NOV,2012,"Radom, Marcin | Rybarczyk, Agnieszka | Kottmann, Renzo | Formanowicz, Piotr | Szachniuk, Marta | Gloeckner, Frank Oliver | Rebholz-Schuhmann, Dietrich | Blazewicz, Jacek",Marine | Metagenomes | Environmental | Freshwater | Data acquisition | Data mining,10.1016/j.ecoinf.2012.07.003,NA,038OJ,1574-9541,NA,ocean,marine
WOS:000321995500002,Experimental abiotic alteration of igneous and manufactured glasses,COMPTES RENDUS GEOSCIENCE,4,345,176-184,APR,2013,"Fisk, Martin R. | Crovisier, Jean-Louis | Honnorez, Jose",Natural basaltic glass | Man-made glass | Glass hydrolysis | Microbial alteration | Acid etching | Subsurface microbiology | Microchannel,10.1016/j.crte.2013.02.001,NA,185UJ,1631-0713,NA,ocean,marine
