uid,title,journal,issue,volume,pages,date,year,authors,keywords,doi,article_no,isi_id,issn,isbn,environment,category
WOS:A1981LN92200001,INVESTIGATION ON THE MICROBIOLOGY OF THE SAAR RIVER,ZEITSCHRIFT FUR WASSER UND ABWASSER FORSCHUNG-JOURNAL FOR WATER AND WASTEWATER RESEARCH,2,14,31-37,NA,1981,"SCHNEIDER, M | KALTWASSER, H",,NA,NA,LN922,0044-3727,NA,river,freshwater
WOS:A1982NE59100002,A PRAGMATIC APPROACH TO WATER-QUALITY MICROBIOLOGY IN A CLEAN RIVER AREA,ENVIRONMENTAL POLLUTION SERIES A-ECOLOGICAL AND BIOLOGICAL,2,27,97-118,NA,1982,"DUSSART, G",,NA,NA,NE591,0143-1471,NA,river,freshwater
WOS:A1979HN50700017,MICROBIOLOGY OF A NORTHERN RIVER - BACTERIAL DISTRIBUTION AND RELATIONSHIP TO SUSPENDED SEDIMENT AND ORGANIC-CARBON,CANADIAN JOURNAL OF MICROBIOLOGY,9,25,1058-1062,NA,1979,"GEESEY, GG | COSTERTON, JW",,NA,NA,HN507,0008-4166,NA,river,freshwater
WOS:A1986G612000004,"THE INFLUENCE OF RIVER VARIABILITY ON THE CIRCULATION, CHEMISTRY, AND MICROBIOLOGY OF THE DELAWARE ESTUARY",ESTUARIES,4A,9,261-269,DEC,1986,"SHARP, JH | CIFUENTES, LA | COFFIN, RB | PENNOCK, JR | WONG, KC",,NA,NA,G6120,0160-8347,NA,river,freshwater
WOS:A1989AN93400003,"GEOLOGY AND HYDROLOGY OF THE DEEP SUBSURFACE MICROBIOLOGY SAMPLING SITES AT THE SAVANNAH RIVER PLANT, SOUTH-CAROLINA",GEOMICROBIOLOGY JOURNAL,1-2,7,3-13,NA,1989,"SARGENT, KA | FLIERMANS, CB",,NA,NA,AN934,0149-0451,NA,river,freshwater
WOS:000075262700010,Ecology of aquatic bacterial populations: Lessons from applied microbiology,JOURNAL OF THE NORTH AMERICAN BENTHOLOGICAL SOCIETY,2,17,261-271,JUN,1998,"Leff, LG | Lemke, MJ",,NA,NA,108JL,0887-3593,NA,river,freshwater
WOS:A1985ANU1200011,PRE-IMPOUNDMENT AND POST-IMPOUNDMENT STUDIES (1978-1982) IN THE VOLTA RIVER BELOW THE AKOSOMBO-DAM WITH PARTICULAR EMPHASIS ON THE MICROBIOLOGY,HYDROBIOLOGIA,2,126,175-187,NA,1985,"BANNERMAN, RLK",,NA,NA,ANU12,0018-8158,NA,river,freshwater
WOS:000270794100018,First detection of genotype 3 hepatitis E virus RNA in river water in Cambodia,TRANSACTIONS OF THE ROYAL SOCIETY OF TROPICAL MEDICINE AND HYGIENE,9,103,955-957,SEP,2009,"Kitajima, Masaaki | Matsubara, Koichi | Sour, Sethy | Haramoto, Eiji | Katayama, Hiroyuki | Ohgaki, Shinichiro",Hepatitis E virus | Public health | Rivers | Environmental microbiology | RT-PCR | Cambodia,10.1016/j.trstmh.2009.04.004,NA,506RT,0035-9203,NA,river,freshwater
WOS:000283450200026,"New species of Monodictys and Veronaeo from soil in the Yellow River source area, China",MYCOTAXON,NA,113,259-262,JUL-SEP,2010,"Pan, Hao-Qin | Zhang, Tian-Yu",dematiaceous hyphomycetes | taxonomy | soil fungi,10.5248/113.259,NA,670TM,0093-4666,NA,river,freshwater
WOS:000360844200002,Environmental microbiology as a mosaic of explored ecosystems and issues,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,18,22,13577-13598,SEP,2015,"Faure, Denis | Bonin, Patricia | Duran, Robert | Amato, Pierre | Arsene-Ploetze, Florence | Auguet, Jean-Christophe | Bernard, Laetitia | Bertin, Philippe N. | Bettarel, Yvan | Bigot-Clivot, Aurelie | Blot, Nicolas | Blouin, Manuel | Bormans, Myriam | Bouvy, Marc | Brunee, Odile | Cebron, Aurelie | Christaki, Urania | Couee, Ivan | Cravo-Laureau, Cristiana | Danger, Michael | de Lorgeril, Julien | Desdevises, Yves | Dessaux, Yves | Destoumieux-Garzon, Delphine | Duprat, Elodie | Erauso, Gael | Haichar, Feth el Zahar | Fouilland, Eric | Francez, Andre-Jean | Fromin, Nathalie | Geffard, Alain | Ghiglione, Jean-Francois | Grossi, Vincent | Guizien, Katell | Hubas, Cedric | Huguet, Arnaud | Jardillier, Ludwig | Jouquet, Pascal | Joux, Fabien | Kaisermann, Aurore | Kaltz, Oliver | Lata, Jean-Christophe | Lecerf, Antoine | Leyva, Corinne | Luis, Patricia | Masseret, Estelle | Niboyet, Audrey | Normand, Philippe | Plewniak, Frederic | Poly, Franck | Prado, Soizic | Quaiser, Achim | Ratet, Pascal | Richaume, Agnes | Rolland, Jean-Luc | Rols, Jean-Luc | Rontani, Jean-Francois | Rossi, Francesca | Sable, Sophie | Sivadon, Pierre | Soudant, Philippe | Tamburini, Christian | Tribollet, Aline | Moro, Claire Valiente | Van Wambeke, France | Vandenkoornhuyse, Philippe | Vuilleumier, Stephane | Microbial Ecology EC2CO Consortium",Environmental microbiology | Microbial ecology | Critical zone | Microbial ecosystems,10.1007/s11356-015-5164-5,NA,CQ8GI,0944-1344,NA,river,freshwater
