uid,title,journal,issue,volume,pages,date,year,authors,keywords,doi,article_no,isi_id,issn,isbn,environment,category
WOS:A1993KY82400001,THE 3RD INTERNATIONAL WORKSHOP ON PHOSPHORUS IN SEDIMENTS - SUMMARY AND SYNTHESIS,HYDROBIOLOGIA,1-3,253,R11-R18,MAR 5,1993,"BOERS, PCM | CAPPENBERG, TE | VANRAAPHORST, W",PHOSPHORUS | SEDIMENTS | CHEMISTRY | MICROBIOLOGY | MODELING | LAKE RESTORATION,NA,NA,KY824,0018-8158,NA,sediment,terrestrial
WOS:A1947XT41200013,PROGRESS OF STUDIES RELATING TO MICROBIOLOGY OF SEDIMENTS,AAPG BULLETIN-AMERICAN ASSOCIATION OF PETROLEUM GEOLOGISTS,1,31,180-181,NA,1947,"ZOBELL, CE",,NA,NA,XT412,0149-1423,NA,sediment,terrestrial
WOS:A1975AE18700001,BIOCHEMISTRY AND MICROBIOLOGY OF SOME IRISH SEA SEDIMENTS .2. BACTERIOLOGICAL ANALYSES,MARINE BIOLOGY,2,30,97-103,NA,1975,"LITCHFIELD, CD | FLOODGATE, GD",,NA,NA,AE187,0025-3162,NA,sediment,terrestrial
WOS:A1980JQ56700001,SOME DIFFERENCES IN THE MICROBIOLOGY OF PROFUNDAL AND LITTORAL LAKE-SEDIMENTS,JOURNAL OF GENERAL MICROBIOLOGY,APR,117,285-292,NA,1980,"JONES, JG",,NA,NA,JQ567,0022-1287,NA,sediment,terrestrial
WOS:A1974U095100005,BIOCHEMISTRY AND MICROBIOLOGY OF SOME IRISH SEA SEDIMENTS .1. AMINO-ACID ANALYSES,MARINE BIOLOGY,3,26,249-260,NA,1974,"LITCHFIELD, CD | MUNRO, ALS | MASSIE, LC | FLOODGATE, GD",,NA,NA,U0951,0025-3162,NA,sediment,terrestrial
WOS:A1989T344900007,MICROBIOLOGY OF A HIGH-ENERGY BEACH SEDIMENT - EVIDENCE FOR AN ACTIVE AND GROWING COMMUNITY,MARINE ECOLOGY PROGRESS SERIES,1,52,71-75,FEB 16,1989,"NOVITSKY, JA | MACSWEEN, MC",,NA,NA,T3449,0171-8630,NA,sediment,terrestrial
WOS:A1979HN50700017,MICROBIOLOGY OF A NORTHERN RIVER - BACTERIAL DISTRIBUTION AND RELATIONSHIP TO SUSPENDED SEDIMENT AND ORGANIC-CARBON,CANADIAN JOURNAL OF MICROBIOLOGY,9,25,1058-1062,NA,1979,"GEESEY, GG | COSTERTON, JW",,NA,NA,HN507,0008-4166,NA,sediment,terrestrial
WOS:A1971K085700001,"SEDIMENT MICROBIOLOGY AND GRAIN-SIZE DISTRIBUTION, AS RELATED TO TIDAL MOVEMENT, DURING FIRST MISSION OF WEST GERMAN UNDERWATER LABORATORY HELGOLAND",MARINE BIOLOGY,2,10,101-&,NA,1971,"KRUMBEIN, WE",,NA,NA,K0857,0025-3162,NA,sediment,terrestrial
WOS:000075262700010,Ecology of aquatic bacterial populations: Lessons from applied microbiology,JOURNAL OF THE NORTH AMERICAN BENTHOLOGICAL SOCIETY,2,17,261-271,JUN,1998,"Leff, LG | Lemke, MJ",,NA,NA,108JL,0887-3593,NA,sediment,terrestrial
WOS:000294065600022,"Anthropogenic pollutants affect ecosystem services of freshwater sediments: the need for a ""triad plus x"" approach",JOURNAL OF SOILS AND SEDIMENTS,6,11,1099-1114,SEP,2011,"Gerbersdorf, Sabine Ulrike | Hollert, Henner | Brinkmann, Markus | Wieprecht, Silke | Schuettrumpf, Holger | Manz, Werner",Biofilm | Freshwater | Interdisciplinary approach | Management of sediments | Pollutants | Risk assessment,10.1007/s11368-011-0373-0,NA,809OC,1439-0108,NA,sediment,terrestrial
WOS:000283766300016,Electrical Current Generation across a Black Smoker Chimney,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,42,49,7692-7694,NA,2010,"Nakamura, Ryuhei | Takashima, Toshihiro | Kato, Souichiro | Takai, Ken | Yamamoto, Masahiro | Hashimoto, Kazuhito",electrochemistry | microbiology | mineralogy | nanostructures | sustainable chemistry,10.1002/anie.201003311,NA,674RT,1433-7851,NA,sediment,terrestrial
WOS:000245957000039,Molecular methodes in microbiology study of rocks: Microbial research in Chinese Continental Scientific Drilling (CCSD).,ACTA PETROLOGICA SINICA,7,22,2107-2111,JUL,2006,Li GuangYu | Wang YuanLiang | Dong HaiLiang | Dong XiuZhu | Dong ZhiYang,Chinese Continental Scientific Drilling | microbiology | molecular biotechniques,NA,NA,160QI,1000-0569,NA,sediment,terrestrial
WOS:A1994PJ28500040,DEEP BACTERIAL BIOSPHERE IN PACIFIC-OCEAN SEDIMENTS,NATURE,6496,371,410-413,SEP 29,1994,"PARKES, RJ | CRAGG, BA | BALE, SJ | GETLIFF, JM | GOODMAN, K | ROCHELLE, PA | FRY, JC | WEIGHTMAN, AJ | HARVEY, SM",,NA,NA,PJ285,0028-0836,NA,sediment,terrestrial
WOS:A1992LL56300024,ABSOLUTE QUANTITATIVE ESTIMATE OF BACTERIA IN BOTTOM SEDIMENTS,MICROBIOLOGY,6,61,763-766,NOV-DEC,1992,"GORBENKO, AY | DZYUBAN, AN | KRYLOVA, IN",,NA,NA,LL563,0026-2617,NA,sediment,terrestrial
WOS:000474694400019,Bibliometric profile of research on antibiotics in sediments during 1958-2016,CURRENT SCIENCE,1,117,37-45,JUL 10,2019,"Zheng, Chun-Li | Wang, Yi-Fei | Qiu, Qian-Ling-Lin | Li, Gang | Xu, Yao-Yang",Antibiotics | international collaborations | research hotspots | sediments | science categories,10.18520/cs/v117/i1/37-45,NA,IH7OR,0011-3891,NA,sediment,terrestrial
WOS:000285248700022,"Superficial distribution of aromatic compounds and geomicrobiology of sediments from Surui Mangrove, Guanabara Bay, RJ, Brazil",ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS,4,82,1013-1030,DEC,2010,"Fontana, Luiz F. | da Silva, Frederico S. | de Figueiredo, Natalia G. | Brum, Daniel M. | Pereira Netto, Annibal D. | de Figueiredo Junior, Alberto G. | Crapez, Mirian A. C.",microbiologic activity | Guanabara Bay | biopolymers | phenol | Aromatic Polycyclic Hydrocarbons and Monoaromatics,NA,NA,693TQ,0001-3765,NA,sediment,terrestrial
WOS:A1992HA52400005,PROCEDURES FOR SAMPLING DEEP SUBSURFACE MICROBIAL COMMUNITIES IN UNCONSOLIDATED SEDIMENTS,GROUND WATER MONITORING AND REMEDIATION,1,12,96-104,WIN,1992,"RUSSELL, BF | PHELPS, TJ | GRIFFIN, WT | SARGENT, KA",,NA,NA,HA524,1069-3629,NA,sediment,terrestrial
WOS:000080398500001,Myxobacteria in cave sediments of the French Jura Mountains,MICROBIOLOGICAL RESEARCH,1,154,1-8,MAY,1999,"Menne, B",geomicrobiology | Myxobacteria | karst system | subsurface microbiology,NA,NA,198AA,0944-5013,NA,sediment,terrestrial
WOS:000315679400008,Using Stable Isotope Probing to Characterize Differences Between Free-Living and Sediment-Associated Microorganisms in the Subsurface,GEOMICROBIOLOGY JOURNAL,4,30,362-370,FEB 1,2013,"Longnecker, Krista | Kujawinski, Elizabeth B.",microbial community structure | stable-isotope probing | subsurface microbiology | top-down control,10.1080/01490451.2012.689090,NA,100EQ,0149-0451,NA,sediment,terrestrial
WOS:000288784200025,Novel Application of Cyclolipopeptide Amphisin: Feasibility Study as Additive to Remediate Polycyclic Aromatic Hydrocarbon (PAH) Contaminated Sediments,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,3,12,1787-1806,MAR,2011,"Groboillot, Anne | Portet-Koltalo, Florence | Le Derf, Franck | Feuilloley, Marc J. G. | Orange, Nicole | Poc, Cecile Duclairoir",biosurfactant | solubility enhancement | polycyclic aromatic hydrocarbons | bioremediation | dredged sediments,10.3390/ijms12031787,NA,740HZ,1661-6596,NA,sediment,terrestrial
