uid,title,journal,issue,volume,pages,date,year,authors,keywords,doi,article_no,isi_id,issn,isbn,environment,category
WOS:A1996WC62000003,Soil microbiology's place into the soil science.,ANNALI DI MICROBIOLOGIA ED ENZIMOLOGIA,NA,46,187-198,NA,1996,"Favilli, F",soil microbiology | historical evolution | research | didactis,NA,NA,WC620,0003-4649,NA,soil,terrestrial
WOS:A1958XL69000005,SOIL EXTRACT IN SOIL MICROBIOLOGY,CANADIAN JOURNAL OF MICROBIOLOGY,4,4,363-370,NA,1958,"JAMES, N",,NA,NA,XL690,0008-4166,NA,soil,terrestrial
WOS:A1953YB67400006,DIVISION-III SOIL MICROBIOLOGY - AMMONIUM FIXATION IN SOILS,SOIL SCIENCE SOCIETY OF AMERICA PROCEEDINGS,2,17,107-110,NA,1953,"ALLISON, FE | KEFAUVER, M | ROLLER, EM",,NA,NA,YB674,NA,NA,soil,terrestrial
WOS:000169162000007,Developments in soil microbiology since the mid 1960s,GEODERMA,3-4,100,389-402,MAY,2001,"Insam, H",soil microbiology | review | enzymes | microbial biomass | N turnover | molecular ecology,NA,NA,440EB,0016-7061,NA,soil,terrestrial
WOS:000461406900008,Changes of paradigms in agriculture soil microbiology and new challenges in microbial ecology,ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,NA,95,68-73,FEB,2019,"Gabriel Wall, Luis | Andres Gabbarini, Luciano | Eugenio Ferrari, Alejandro | Pablo Frene, Juan | Covelli, Julieta | Reyna, Dalila | Belen Robledo, Natalia",,10.1016/j.actao.2019.02.001,NA,HP1DZ,1146-609X,NA,soil,terrestrial
WOS:000072230800034,Isolation of swarmer clostridia from soil samples,REVISTA DE BIOLOGIA TROPICAL,3,45,1243-1245,SEP,1997,"Hernandez, F | Rodriguez, E | Umana, M | Vargas, P",Clostridium sp. swarming phenomenon | isolation | soil microbiology,NA,NA,YZ205,0034-7744,NA,soil,terrestrial
WOS:A1986C343500003,THE MICROBIOLOGY OF SOIL STRUCTURE,BIOLOGICAL AGRICULTURE & HORTICULTURE,2-3,3,95-113,NA,1986,"BURNS, RG | DAVIES, JA",,NA,NA,C3435,0144-8765,NA,soil,terrestrial
WOS:A1976CJ12900005,ECOLOGICAL PROBLEMS OF SOIL MICROBIOLOGY,ZHURNAL OBSHCHEI BIOLOGII,5,37,691-706,NA,1976,"ZVYAGINTSEV, DG | KOZHEVIN, PA | MALAKHOV, VV",,NA,NA,CJ129,0044-4596,NA,soil,terrestrial
WOS:A1988R674100018,DIVISION S-3 - SOIL MICROBIOLOGY AND BIOCHEMISTRY - ACID-PHOSPHATASE ACTIVITY IN SOILS OF THE APPALACHIAN REGION,SOIL SCIENCE SOCIETY OF AMERICA JOURNAL,6,52,1612-1616,NOV-DEC,1988,"BALIGAR, VC | WRIGHT, RJ | SMEDLEY, MD",,NA,NA,R6741,0361-5995,NA,soil,terrestrial
WOS:000187810500007,Preliminary program of meetings of Third Commission on Soil Microbiology of International Society of Soil Science,SOIL SCIENCE,2,45,175-175,FEB,1938,,,NA,NA,V6085,0038-075X,NA,soil,terrestrial
WOS:000187773000007,Studies on tropical soil microbiology II The bacterial numbers in the soil of the malay peninsula,SOIL SCIENCE,5,38,407-416,NOV,1934,"Corbet, AS",,NA,NA,V6046,0038-075X,NA,soil,terrestrial
WOS:A1960ZQ13800056,MICROBIOLOGY OF SOME SOILS FROM ANTARCTICA,NATURE,4752,188,767-768,NA,1960,"FLINT, EA | STOUT, JD",,NA,NA,ZQ138,0028-0836,NA,soil,terrestrial
WOS:A1952XY96000005,THE MICROBIOLOGY OF 4 STEAMED SOILS,JOURNAL OF AGRICULTURAL SCIENCE,4,42,353-361,NA,1952,"OXLEY, CD | GRAY, EA",,NA,NA,XY960,0021-8596,NA,soil,terrestrial
WOS:A1977DL12900003,SOIL MICROBIOLOGY - ITS A SMALL WORLD,SOIL SCIENCE SOCIETY OF AMERICA JOURNAL,2,41,238-241,NA,1977,"CLARK, FE",,NA,NA,DL129,0361-5995,NA,soil,terrestrial
WOS:A1987P031100004,PROGRESS AND CURRENT PROBLEMS IN SOIL MICROBIOLOGY,SOVIET SOIL SCIENCE,6,19,32-40,NOV-DEC,1987,"ZVYAGINTSEV, DG",,NA,NA,P0311,0038-5832,NA,soil,terrestrial
WOS:A1986A736700001,MICROBIOLOGY OF TROPICAL SOILS - A HISTORICAL REVIEW,TROPICAL AGRICULTURE,2,63,90-94,APR,1986,"NUTMAN, PS",,NA,NA,A7367,0041-3216,NA,soil,terrestrial
WOS:A1962WR95400002,SOME RECENT ADVANCES IN SOIL MICROBIOLOGY,SCIENTIFIC HORTICULTURE,NA,16,15-21,NA,1962,"JENSEN, HL",,NA,NA,WR954,0080-7737,NA,soil,terrestrial
WOS:000187772100005,Studies on tropical soil microbiology I The evolution of carbon dioxide from the soil and the bacterial growth curve,SOIL SCIENCE,2,37,109-115,FEB,1934,"Corbet, AS",,NA,NA,V6037,0038-075X,NA,soil,terrestrial
WOS:A1973R801800058,ANALYSIS AND RELATED WORK ON ANTARCTIC SOIL MICROBIOLOGY,ANTARCTIC JOURNAL OF THE UNITED STATES,5,8,303-303,NA,1973,"VISHNIAC, WV",,NA,NA,R8018,0003-5335,NA,soil,terrestrial
WOS:A1972N479500004,MICROBIOLOGY OF SOILS CONTAMINATED WITH PETROLEUM HYDROCARBONS .1. EXTENT OF CONTAMINATION AND SOME SOIL AND MICROBIAL PROPERTIES AFTER CONTAMINATION,JOURNAL OF THE INSTITUTE OF PETROLEUM,562,58,201-&,NA,1972,"ODU, CTI",,NA,NA,N4795,NA,NA,soil,terrestrial
WOS:A19621239B00006,MICROBIOLOGY OF NITROGEN CYCLE IN SOME GHANA SOILS,EMPIRE JOURNAL OF EXPERIMENTAL AGRICULTURE,118,30,115-&,NA,1962,"MEIKLEJOHN, J",,NA,NA,1239B,NA,NA,soil,terrestrial
WOS:A1953XR42600009,A SIMPLE MACRORESPIROMETER FOR STUDIES IN SOIL MICROBIOLOGY,AUSTRALIAN JOURNAL OF AGRICULTURAL RESEARCH,3,4,334-339,NA,1953,"SWABY, RJ | PASSEY, BI",,NA,NA,XR426,0004-9409,NA,soil,terrestrial
WOS:A19611692B00007,CONTINUOUS FLOW METHOD IN SOIL MICROBIOLOGY .1. APPARATUS,FOLIA MICROBIOLOGICA,5,6,328-&,NA,1961,"MACURA, J",,NA,NA,1692B,0015-5632,NA,soil,terrestrial
WOS:A19656270200007,CONTINUOUS FLOW METHOD IN SOIL MICROBIOLOGY .V. NITRIFICATION,FOLIA MICROBIOLOGICA,2,10,125-&,NA,1965,"MACURA, J | KUNC, F",,NA,NA,62702,0015-5632,NA,soil,terrestrial
WOS:A1972O114400007,MICROBIOLOGY OF HYDROCARBON IMPREGNATED SOILS - CHANGES IN RESPIRATORY ACTIVITY,ANNALES DE L INSTITUT PASTEUR,6,123,805-+,NA,1972,"ANTONIEWSKI, J | SCHAEFER, R",,NA,NA,O1144,NA,NA,soil,terrestrial
WOS:A1953YE74400006,THE MICROBIOLOGY OF ACID SOILS .3. THE ANALYSIS OF SOIL PROFILES UNDER DESCHAMPSIA-FLEXUOSA (L) TRIN AND HOLCUS-MOLLIS L,NEW PHYTOLOGIST,2,52,178-185,NA,1953,"SCURFIELD, G | BOSWELL, JG",,NA,NA,YE744,0028-646X,NA,soil,terrestrial
WOS:A19656270200006,CONTINUOUS FLOW METHOD IN SOIL MICROBIOLOGY .4. DECOMPOSITION OF GLYCINE,FOLIA MICROBIOLOGICA,2,10,115-&,NA,1965,"MACURA, J | KUNC, F",,NA,NA,62702,0015-5632,NA,soil,terrestrial
WOS:A1947UW83200004,THE CHEMISTRY OF FUNGAL ANTIBIOTICS IN RELATION TO SOIL MICROBIOLOGY,CHEMISTRY & INDUSTRY,16,NA,205-207,NA,1947,"MCGOWAN, JC",,NA,NA,UW832,0009-3068,NA,soil,terrestrial
WOS:A1974T865200012,COMPARISON OF MICROBIOLOGY OF 4 SOILS IN FINNISH LAPLAND,OIKOS,2,25,209-215,NA,1974,"BAKER, JH",,NA,NA,T8652,0030-1299,NA,soil,terrestrial
WOS:A1972O594600008,"AERIAL, AQUATIC, AND SOIL MICROBIOLOGY OF DON JUAN POND, ANTARCTICA",ANTARCTIC JOURNAL OF THE UNITED STATES,6,7,254-258,NA,1972,"CAMERON, RE | MORELLI, FA | RANDALL, LP",,NA,NA,O5946,0003-5335,NA,soil,terrestrial
WOS:A1990DH37000015,MICROBIOLOGY AND CHEMISTRY OF NITROGEN TURNOVER IN SOILS - WORKSHOP REPORT,SOIL USE AND MANAGEMENT,2,6,92-93,JUN,1990,"BERINGER, JE",,NA,NA,DH370,0266-0032,NA,soil,terrestrial
WOS:A1978ET28600006,ADAPTATION OF LIGHT-MICROSCOPE TO FLUORESCENCE MICROSCOPY IN SOIL MICROBIOLOGY,BIOLOGIA,3,33,219-221,NA,1978,"SKOLEK, J",,NA,NA,ET286,0006-3088,NA,soil,terrestrial
WOS:A1974W295400007,TRENDS AND ADVANCES IN SOIL MICROBIOLOGY FROM 1924 TO 1974,SOVIET SOIL SCIENCE,5,6,559-568,NA,1974,"MACURA, J",,NA,NA,W2954,0038-5832,NA,soil,terrestrial
WOS:A1991HK30800005,ALGAL FLORA IN BUENOS-AIRES PROVINCE (ARGENTINA) GRASSLAND SOIL,REVUE D ECOLOGIE ET DE BIOLOGIE DU SOL,4,28,413-419,OCT,1991,"DREWES, SI | LAVADO, RS | CAMELO, LGD",ALGAE | SOIL | SOIL MICROFLORA | SOIL MICROBIOLOGY,NA,NA,HK308,0035-1822,NA,soil,terrestrial
WOS:A1972N488700020,SOIL MICROBIOLOGY STUDIED IN-SITU IN DRY VALLEYS OF ANTARCTICA,ANTARCTIC JOURNAL OF THE UNITED STATES,4,7,88-&,NA,1972,"VISHNIAC, WV | MAINZER, SE",,NA,NA,N4887,0003-5335,NA,soil,terrestrial
WOS:A19611693B00004,CONTINUOUS FLOW METHOD IN SOIL MICROBIOLOGY .2. OBSERVATIONS ON GLUCOSE METABOLISM,FOLIA MICROBIOLOGICA,6,6,398-&,NA,1961,"MACURA, J | KUNC, F",,NA,NA,1693B,0015-5632,NA,soil,terrestrial
WOS:000187776100004,The beginnings and development of soil microbiology in the United States,SOIL SCIENCE,1,40,49-58,JUL,1935,"Brown, PE",,NA,NA,V6054,0038-075X,NA,soil,terrestrial
WOS:A19679886400012,COMPARATIVE STUDIES ON MICROBIOLOGY OF 4 MOORLAND SOILS IN NORTHERN PENNINES,JOURNAL OF ECOLOGY,2,55,445-&,NA,1967,"LATTER, PM | CRAGG, JB | HEAL, OW",,NA,NA,98864,0022-0477,NA,soil,terrestrial
WOS:A1968E152000001,ROLE OF SOIL MICROBIOLOGY IN MAINTENANCE AND IMPROVEMENT OF LAND FERTILITY,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES INDIA SECTION A-PHYSICAL SCIENCES,NA,38,1-&,NA,1968,"SINGH, BN",,NA,NA,E1520,NA,NA,soil,terrestrial
WOS:000189367200004,The microbiology of farmyard manure decomposition in soil. II. Decomposition of cellulose.,JOURNAL OF AGRICULTURAL SCIENCE,NA,21,81-100,JAN,1931,"Jensen, HL",,NA,NA,W0223,0021-8596,NA,soil,terrestrial
WOS:A1991EV84100006,"SOIL MICROBIOLOGY IN THE NEXT 75 YEARS - FIXED, FLEXIBLE, OR MUTABLE",SOIL SCIENCE,1,151,35-40,JAN,1991,"ALEXANDER, M",,NA,NA,EV841,0038-075X,NA,soil,terrestrial
WOS:000171188700041,Microbiology - Cyanobacteria track water in desert soils,NATURE,6854,413,380-381,SEP 27,2001,"Garcia-Pichel, F | Pringault, O",,NA,NA,475UY,0028-0836,NA,soil,terrestrial
