uid,title,journal,issue,volume,pages,date,year,authors,keywords,doi,article_no,isi_id,issn,isbn,environment,category
WOS:000168112000032,Clinical microbiology in developing countries,EMERGING INFECTIOUS DISEASES,2,7,302-305,MAR-APR,2001,"Archibald, LK | Reller, LE",,NA,NA,422HG,1080-6040,NA,stream,freshwater
WOS:000376333900008,Blood cultures in the emergency department: Do we need a new approach?,MEDICINA CLINICA,10,146,455-459,MAY 20,2016,"Tudela, Pere | Gimenez, Montserrat | Maria Modol, Josep | Prat, Cristina",,10.1016/j.medcle.2016.06.043,NA,DM4RH,0025-7753,NA,stream,freshwater
WOS:000294052100004,Teaching Basic Lab Skills Using Diverse Microbial Communities in a Biologically Relevant Context,AMERICAN BIOLOGY TEACHER,8,72,490-494,OCT,2010,"Brooke, Joanna S. | Funk, Phillip E. | Silliker, Margaret E. | Sparkes, Timothy C.",Microbial communities | microbiology lab skills | fungi | cellulose-degrading microbes,10.1525/abt.2010.72.8.5,NA,809KC,0002-7685,NA,stream,freshwater
WOS:000322702900015,Early Onset versus Late Onset Peripherally Inserted Central Venous Catheter Infections: An Analysis of Risk Factors and Microbiology,INFECTION CONTROL AND HOSPITAL EPIDEMIOLOGY,9,34,980-983,SEP 1,2013,"Chittick, Paul | Azhar, Sobia | Movva, Kalyani | Keller, Paula | Boura, Judith A. | Band, Jeffrey",,10.1086/671726,NA,195LD,0899-823X,NA,stream,freshwater
WOS:000170324000004,Self-purification in upland and lowland streams,ACTA HYDROCHIMICA ET HYDROBIOLOGICA,1,29,22-33,JUL,2001,"Heidenwag, I | Langheinrich, U | Luderitz, V",water quality | faecal pollution | ecomorphology | stream,NA,NA,460TE,0323-4320,NA,stream,freshwater
WOS:000303595800008,Gastrointestinal Disease Outbreak Detection Using Multiple Data Streams from Electronic Medical Records,FOODBORNE PATHOGENS AND DISEASE,5,9,431-441,MAY,2012,"Greene, Sharon K. | Huang, Jie | Abrams, Allyson M. | Gilliss, Debra | Reed, Mary | Platt, Richard | Huang, Susan S. | Kulldorff, Martin",,10.1089/fpd.2011.1036,NA,936MZ,1535-3141,NA,stream,freshwater
WOS:000208550700009,Apoiado pela European Society of Clinical Microbiology and Infectious Diseases (ESCMID) e pela International Society of Chemotherapy (ISC) for Infection and Cancer,REVISTA PORTUGUESA DE CARDIOLOGIA,5,29,845-890,MAY,2010,"Habib, Gilbert | Hoen, Bruno | Tornos, Pilar | Thuny, Franck | Prendergast, Bernard | Vilacosta, Isidre | Moreillon, Philippe | Antunes, Manuel de Jesus | Thilen, Ulf | Lekakis, John | Lengyel, Maria | Mueller, Ludwig | Naber, Christoph K. | Nihoyannopoulos, Petros | Moritz, Anton | Luis Zamorano, Jose | Grp Trabalho European Soc",,NA,NA,V26MW,0870-2551,NA,stream,freshwater
WOS:000455518600028,Early central line-associated blood stream infections in children with cancer pose a risk for premature catheter removal,ACTA PAEDIATRICA,2,108,361-366,FEB,2019,"Moell, Jacob | Svenningsson, Anna | Af Sandeberg, Margareta | Larsson, Magnus | Heyman, Mats | Hada-Saari, Arja | Nilsson, Anna",Blood stream infections | Central venous catheters | Haematological malignancies | Paediatric cancer patients | Preventing infections,10.1111/apa.14432,NA,HH1ZO,0803-5253,NA,stream,freshwater
WOS:000305923600003,Bacterial identification based on protein mass spectrometry: A new insight at the microbiology of the 21st century,REVISTA CHILENA DE INFECTOLOGIA,3,29,263-272,JUN,2012,"Garcia, Patricia | Allende, Fidel | Legarraga, Paulette | Huilcaman, Marcos | Solari, Sandra",Bacterial identification | mass spectrometry,NA,NA,967QT,0716-1018,NA,stream,freshwater
WOS:000338206700003,"Non-typhoidal Salmonella in Children: Microbiology, Epidemiology and Treatment",HOT TOPICS IN INFECTION AND IMMUNITY IN CHILDREN IX,NA,764,13-26,NA,2013,"Haeusler, Gabrielle M. | Curtis, Nigel",,10.1007/978-1-4614-4726-9_2,NA,BA8JW,0065-2598,978-1-4614-4725-2,stream,freshwater
