uid,title,journal,issue,volume,pages,date,year,authors,keywords,doi,article_no,isi_id,issn,isbn,environment,category
WOS:000361480900004,"Effect of salt and fat reduction on the composition, lactose metabolism, water activity and microbiology of Cheddar cheese",DAIRY SCIENCE & TECHNOLOGY,5,95,587-611,SEP,2015,"McCarthy, Catherine M. | Wilkinson, Martin G. | Kelly, Philip M. | Guinee, Timothy P.",Cheese | Fat | Salt | Composition | pH | Microbiology,10.1007/s13594-015-0245-2,NA,CR6TQ,1958-5586,NA,saltwater,marine
WOS:000251871700015,Microbiology and physico-chemical changes of dry-cured ham during the post-salting stage as affected by partial replacement of NaCl by other salts,MEAT SCIENCE,1-2,78,135-142,JAN-FEB,2008,"Blesa, E. | Alino, A. | Barat, J. M. | Grau, R. | Toldra, F. | Pagan, M. J.",ham post-salting | partial substitution | microbiology | Spanish cured ham | sodium replacement,10.1016/j.meatsci.2007.07.008,NA,244ND,0309-1740,NA,saltwater,marine
WOS:000299302500020,Effect of salt on microbiology and proteolysis of Queso Fresco Cheese during storage,MILCHWISSENSCHAFT-MILK SCIENCE INTERNATIONAL,1,67,74-77,NA,2012,"Guo, L. | Van Hekken, D. L. | Tomasula, P. M. | Tunick, M. H. | Huo, G.","Queso Fresco cheese (salt content, microbiology, proteolysis)",NA,NA,879AQ,0026-3788,NA,saltwater,marine
WOS:000235371600008,"Effect of temperature, water-phase salt and phenolic contents on Listeria monocytogenes growth rates on cold-smoked salmon and evaluation of secondary models",INTERNATIONAL JOURNAL OF FOOD MICROBIOLOGY,2,106,159-168,FEB 1,2006,"Cornu, M | Beaufort, A | Rudelle, S | Laloux, L | Bergis, H | Miconnet, N | Serot, T | Delignette-Muller, ML",fishery products | L. monocytogenes | predictive microbiology | microbial exposure assessment | validation criteria | phenolic compounds,10.1016/j.ijfoodmicro.2005.06.017,NA,012WM,0168-1605,NA,saltwater,marine
WOS:A1996UL31400006,"Study of the differences between two salt qualities on microbiology, lipid and water-extractable components of momoni, a Ghanaian fermented fish product",JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE,1,71,33-40,MAY,1996,"Yankah, VV | Ohshima, T | Ushio, H | Fujii, T | Koizumi, C",crude solar salt | refined salt | lipid oxidation | cholesterol oxide | microbiological count | Momoni,NA,NA,UL314,0022-5142,NA,saltwater,marine
WOS:000182541300041,Effect of water activity on the growth kinetics of Staphylococcus aureus in ground bread crumb,JOURNAL OF FOOD SCIENCE,3,68,982-987,APR,2003,"Feeherry, FE | Doona, CJ | Taub, IA",Staphylococcus aureus | growth kinetics | predictive microbiology | intermediate moisture (IM) food | water activity (A(w)) | pH,NA,NA,672UM,0022-1147,NA,saltwater,marine
WOS:000372574900036,"An Unusual Inverted Saline Microbial Mat Community in an Interdune Sabkha in the Rub' al Khali (the Empty Quarter), United Arab Emirates",PLOS ONE,3,11,,MAR 16,2016,"McKay, Christopher P. | Rask, Jon C. | Detweiler, Angela M. | Bebout, Brad M. | Everroad, R. Craig | Lee, Jackson Z. | Chanton, Jeffrey P. | Mayer, Marisa H. | Caraballo, Adrian A. L. | Kapili, Bennett | Al-Awar, Meshgan | Al-Farraj, Asma",,10.1371/journal.pone.0150342,NA,DH1WF,1932-6203,NA,saltwater,marine
WOS:000071948600007,Development and evaluation of a predictive model for the effect of temperature and water activity on the growth rate of Vibrio parahaemolyticus,INTERNATIONAL JOURNAL OF FOOD MICROBIOLOGY,2-3,38,133-142,SEP 16,1997,"Miles, DW | Ross, T | Olley, J | McMeekin, TA",Vibrio parahaemolyticus | predictive microbiology | growth rate | temperature | water activity,NA,NA,YW560,0168-1605,NA,saltwater,marine
WOS:000386409700017,"Impact of salt reduction on biogenic amines, fatty acids, microbiota, texture and sensory profile in traditional blood dry-cured sausages",FOOD CHEMISTRY,NA,218,129-136,MAR 1,2017,"Laranjo, Marta | Gomes, Ana | Agulheiro-Santos, Ana Cristina | Potes, Maria Eduarda | Cabrita, Maria Joao | Garcia, Raquel | Rocha, Joao Miguel | Roseiro, Luisa Cristina | Fernandes, Maria Jose | Fraqueza, Maria Joao | Elias, Miguel",Dry-cured sausages | Blood | Biogenic amines | Fatty acids | Microbiology | Food safety | Texture profile analysis | Sensory evaluation,10.1016/j.foodchem.2016.09.056,NA,EA2GB,0308-8146,NA,saltwater,marine
WOS:000495598400034,Integrating Hydrogeological and Microbiological Data and Modelling to Characterize the Hydraulic Features and Behaviour of Coastal Carbonate Aquifers: A Case in Western Cuba,WATER,10,11,,OCT,2019,"Hernandez-Diaz, Rebeca | Petrella, Emma | Bucci, Antonio | Naclerio, Gino | Feo, Alessandra | Sferra, Gabriella | Chelli, Alessandro | Zanini, Andrea | Gonzalez-Hernandez, Patricia | Celico, Fulvio",hydrological behaviour | carbonate coastal aquifer | saltwater wedge | multidisciplinary approach | western Cuba,10.3390/w11101989,NA,JL5VD,NA,NA,saltwater,marine
WOS:A1996VQ27600009,Microbiological spoilage of fish and fish products,INTERNATIONAL JOURNAL OF FOOD MICROBIOLOGY,1,33,121-137,NOV,1996,"Gram, L | Huss, HH",fish | fish products | spoilage association,NA,NA,VQ276,0168-1605,NA,saltwater,marine
WOS:000370769700050,Tyrosine deposits in brines of salted natural sausage casings of bovine origin,LWT-FOOD SCIENCE AND TECHNOLOGY,NA,68,381-384,MAY,2016,"Kroeckel, Lothar | Schmidt, Heinar | Andree, Sabine",Small intestine | Tyrosine precipitate | Raman spectroscopy | Amino acid analysis | Microbiology,10.1016/j.lwt.2015.12.043,NA,DE6US,0023-6438,NA,saltwater,marine
WOS:000256650600013,Comparing the antimicrobial effectiveness of NaCl and KCl with a view to salt/sodium replacement,INTERNATIONAL JOURNAL OF FOOD MICROBIOLOGY,1,124,98-102,MAY 10,2008,"Bidlas, Eva | Lambert, Ronald J. W.",predictive modelling | hurdles | salt | potassium chloride | NaCl | KCl,10.1016/j.ijfoodmicro.2008.02.031,NA,312DZ,0168-1605,NA,saltwater,marine
WOS:000435554500010,Bacteria in tropical floodplain soils are sensitive to changes in saltwater,MARINE AND FRESHWATER RESEARCH,7,69,1110-1123,NA,2018,"Nelson, Tiffanie M. | Streten, Claire | Gibb, Karen S. | Chariton, Anthony A.",biogeochemistry | biomonitoring | hydrology | microbiology | tropics,10.1071/MF16033,NA,GJ7GS,1323-1650,NA,saltwater,marine
WOS:000296305700038,CONSIDERATIONS REGARDING THE QUALITY AND CHEMICAL STABILITY OF NEAR WATER DRINKS,JOURNAL OF ENVIRONMENTAL PROTECTION AND ECOLOGY,3,12,1110-1115,NA,2011,"Glevitzky, M. | Vica, M. | Popa, M. | Axinte, R. | Varvara, S.",near water drink | functional ingredients | preservatives | microbiology,NA,NA,838PW,1311-5065,NA,saltwater,marine
WOS:000363870500005,Molecular adaptation and salt stress response of Halobacterium salinarum cells revealed by neutron spectroscopy,EXTREMOPHILES,6,19,1099-1107,NOV,2015,"Vauclare, Pierre | Marty, Vincent | Fabiani, Elisa | Martinez, Nicolas | Jasnin, Marion | Gabel, Frank | Peters, Judith | Zaccai, Giuseppe | Franzetti, Bruno",Halophiles | Protein stability | Enzyme structure | Function of extremophiles | Macromolecular structure | Function,10.1007/s00792-015-0782-x,NA,CU9NF,1431-0651,NA,saltwater,marine
WOS:000239374300009,Two and a half centuries of qualitative and quantitative chemical analyses of Dead Sea water,ISRAEL JOURNAL OF CHEMISTRY,1,46,69-77,NA,2006,"Oren, Aharon",,NA,NA,068LC,0021-2148,NA,saltwater,marine
WOS:000073440600049,Factors influencing the microbial quality of cold-smoked salmon strips,JOURNAL OF FOOD SCIENCE,2,63,356-358,MAR-APR,1998,"Himelbloom, BH | Crapo, CA",microbiology | smoked salmon | Staphylococcus | contamination,NA,NA,ZL509,0022-1147,NA,saltwater,marine
WOS:000339852100006,"Salted lamb meat blanket of Petrolina-Pernambuco, Brazil: Process and quality",FOOD SCIENCE AND TECHNOLOGY,1,34,44-50,JAN-MAR,2014,"Pedrosa, Nely de Almeida | Madruga, Marta Suely | Costa, Roberto Germano | Medeiros, Geovergue Rodrigues | Duarte, Terezinha Fernandes | Voltolini, Tadeu Vinhas | Martins, Silvana Souza",good practices | geographical indication | microbiology,NA,NA,AM4UT,0101-2061,NA,saltwater,marine
WOS:A1991EN77500036,RECENT ADVANCES IN WATER REUSE RESEARCH IN SOUTH-AFRICA,WATER SCIENCE AND TECHNOLOGY,10-12,23,2061-2071,NA,1991,"ODENDAAL, PE",WATER REUSE | POTABLE REUSE | INDIRECT REUSE | INDUSTRIAL RECYCLING | EPIDEMIOLOGY | ACTIVATED CARBON | BIOASSAYS | REVERSE OSMOSIS | ORGANOHALOGENS | SALINATION,NA,NA,EN775,0273-1223,NA,saltwater,marine
WOS:000166522000013,"A survey on the microbiological changes during the manufacture of dry-cured lacon, a Spanish traditional meat product",JOURNAL OF APPLIED MICROBIOLOGY,6,89,1018-1026,DEC,2000,"Vilar, I | Fontan, MCG | Prieto, B | Tornadijo, ME | Carballo, J",,NA,NA,394JY,1364-5072,NA,saltwater,marine
WOS:000237276700012,Occurrence of Plesiomonas shigelloides in displayed portions of saltwater fish determined by a PCR assay based on the hugA gene,INTERNATIONAL JOURNAL OF FOOD MICROBIOLOGY,2,108,233-238,APR 25,2006,"Herrera, FC | Santos, JA | Otero, A | Garcia-Lopez, ML",Plesiomonas shigelloides | fish microbiology | PCR,10.1016/j.ijfoodmicro.2005.12.008,NA,039CD,0168-1605,NA,saltwater,marine
WOS:000079427900003,Association of micro-organisms with the inner surfaces of bottles of non-carbonated mineral waters,FOOD MICROBIOLOGY,2,16,115-128,APR,1999,"Jayasekara, NY | Heard, GM | Cox, JM | Fleet, GH",,NA,NA,181EJ,0740-0020,NA,saltwater,marine
WOS:A1996UP04900007,Survival of Shigella flexneri in artificial aquatic environment: Effects of different physicochemical stress factors,JOURNAL OF DIARRHOEAL DISEASES RESEARCH,1,14,37-40,MAR,1996,"Islam, MS | Rezwan, FB | Khan, SI","Shigella flexneri | dysentery, bacillary | water microbiology",NA,NA,UP049,0253-8768,NA,saltwater,marine
WOS:000278780400004,BIOLOGICAL AND TECHNOLOGICAL STRATEGIES AGAINST SOIL AND WATER SALINIZATION IRHIZOSPHERE,JOURNAL OF PLANT NUTRITION,9,33,1287-1300,NA,2010,"Zuccarini, Paolo",salinity | resistance | crops | rhizosphere,10.1080/01904167.2010.484090,NA,610ZQ,0190-4167,NA,saltwater,marine
WOS:000299731600004,"EFFECT OF SUGAR LEVEL ON PHYSICOCHEMICAL, BIOCHEMICAL CHARACTERISTICS AND PROTEOLYSIS PROPERTIES OF CANTONESE SAUSAGE DURING PROCESSING",JOURNAL OF FOOD QUALITY,1,35,34-42,FEB,2012,"Qiu, Chaoying | Sun, Weizheng | Cui, Chun | Zhao, Mouming",,10.1111/j.1745-4557.2011.00420.x,NA,884TL,0146-9428,NA,saltwater,marine
WOS:000382365200005,UV-Resistant Bacteria with Multiple-Stress Tolerance Isolated from Desert Areas in Iran,GEOMICROBIOLOGY JOURNAL,7,33,592-598,NA,2016,"Etemadifar, Zahra | Gholami, Mahmoud | Derikvand, Peyman",Bioremediation | community structure | polyextremotolerant bacteria | subsurface microbiology | UV-resistance,10.1080/01490451.2015.1063025,NA,DU7AH,0149-0451,NA,saltwater,marine
WOS:000341124000004,Microbial Dynamics Following the Macondo Oil Well Blowout across Gulf of Mexico Environments,BIOSCIENCE,9,64,766-777,SEP,2014,"Joye, Samantha B. | Teske, Andreas P. | Kostka, Joel E.",microbiology | oceanography | bioremediation,10.1093/biosci/biu121,NA,AO2CV,0006-3568,NA,saltwater,marine
WOS:000415019500006,The modeling of time to enterotoxin detection of Staphylococcus aureus in chicken meat,JOURNAL OF FOOD SAFETY,4,37,,NOV,2017,"Chaves, Rafael D. | Silva, Alessandra R. | Alvarenga, Veronica O. | Pereira, Jose L. | Khaneghah, Amin Mousavi",,10.1111/jfs.12342,NA,FM4UR,0149-6085,NA,saltwater,marine
WOS:000244953300006,Biofilm ecology of wooden shelves used in ripening the French raw milk smear cheese Reblochon de Savoie,JOURNAL OF DAIRY SCIENCE,4,90,1653-1661,APR,2007,"Mariani, C. | Briandet, R. | Chamba, J. -F. | Notz, E. | Carnet-Pantiez, A. | Eyoug, R. N. | Oulahal, N.",wooden shelf | biofilm | ecology | ripening,10.3168/jds.2006-190,NA,146RV,0022-0302,NA,saltwater,marine
WOS:000344390200002,Microbial weeds in hypersaline habitats: the enigma of the weed-like Haloferax mediterranei,FEMS MICROBIOLOGY LETTERS,2,359,134-142,OCT,2014,"Oren, Aharon | Hallsworth, John E.",Haloferax | Haloquadratum | Salinibacter | Archaea | halophilic,10.1111/1574-6968.12571,NA,AS6RN,0378-1097,NA,saltwater,marine
WOS:000230491100022,Ionization equilibria at high pressure,EUROPEAN FOOD RESEARCH AND TECHNOLOGY,1-2,221,151-156,JUL,2005,"Stippl, VM | Delgado, A | Becker, TM",high-pressure thermodynamics | pH value | ionization | volume change | electric permittivity | equilibrium constants,10.1007/s00217-004-1130-z,NA,945GN,1438-2377,NA,saltwater,marine
WOS:000280146000003,Comparison of hurdle treatments for buffalo meat,INTERNATIONAL JOURNAL OF FOOD SCIENCE AND TECHNOLOGY,8,45,1552-1563,AUG,2010,"Malik, Altaf H. | Sharma, Brahma Deo",Chemical composition | chemical preservatives | cooking | drying | electrophoresis | foods of animal origin | honey | lipid oxidation | microbiology | organic acids,10.1111/j.1365-2621.2010.02291.x,NA,628TU,0950-5423,NA,saltwater,marine
