uid,title,journal,issue,volume,pages,date,year,authors,keywords,doi,article_no,isi_id,issn,isbn,environment,category
WOS:000256961300002,Appearance of novel G-bacteria belonging to Acidobacteria in a dairy wastewater treatment plant,ENVIRONMENTAL TECHNOLOGY,5,29,497-504,MAY,2008,"Ahn, C. H. | Park, H. -D. | Lee, Y. O. | Park, J. K.",dairy wastewater | enhanced biological phosphorus removal (EBPR) | G-bacteria | clone library analysis | Acidobacteria,NA,NA,316PD,0959-3330,NA,wwt,wwt
WOS:000086636300004,Anaerobic uptake of different organic substrates by an enhanced biological phosphorus removal sludge,ENVIRONMENTAL TECHNOLOGY,4,21,397-405,APR,2000,"Canizares, P | De Lucas, A | Rodriguez, L | Villasenor, J",bological phosphorus removal | sequencing batch reactor | anaerobic substrate uptake | phosphorus accumulating organisms | glycogen accumulating organisms,NA,NA,307CR,0959-3330,NA,wwt,wwt
WOS:000255321100004,Detection and prevention of enhanced biological phosphorus removal deterioration caused by zoogloea overabundance,ENVIRONMENTAL TECHNOLOGY,1,29,35-42,JAN,2008,"Montoya, T. | Borras, L. | Aguado, D. | Ferrer, J. | Seco, A.",enhanced biological phosphorus removal | exocellular polymeric material | glycogen accumulating organisms | polyphosphate accumulating organisms | Zoogloea ramigera,NA,NA,293FP,0959-3330,NA,wwt,wwt
WOS:000271559100019,Enhanced Biological Nutrients Removal in Modified Step-feed Anaerobic/Anoxic/Oxic Process,CHINESE JOURNAL OF CHEMICAL ENGINEERING,5,17,840-848,OCT,2009,Wang Wei | Wang Shuying | Peng Yongzhen | Zhang Shanfeng | Yin Fangfang,nutrients removal | nitrogen | phosphorus | anaerobic/anoxic/oxic | step-feed,NA,NA,516RC,1004-9541,NA,wwt,wwt
WOS:A1991GR47900005,THE APPLIED MICROBIOLOGY OF ENHANCED BIOLOGICAL PHOSPHATE REMOVAL - ACCOMPLISHMENTS AND NEEDS,WATER RESEARCH,12,25,1471-1478,DEC,1991,"JENKINS, D | TANDOI, V",WASTE-WATER TREATMENT | ENHANCED BIOLOGICAL PHOSPHORUS REMOVAL | MICROBIOLOGY | ACINETOBACTER,NA,NA,GR479,0043-1354,NA,wwt,wwt
WOS:000340894500004,Improving biological phosphorus removal in membrane bioreactors - a pilot study,JOURNAL OF WATER REUSE AND DESALINATION,1,4,25-33,NA,2014,"Smith, S. | Kim, G. | Doan, L. | Roh, H.",enhanced biological phosphorus removal (EBPR) | membrane bioreactor | phosphorus removal | water reuse,10.2166/wrd.2013.119,NA,AN8ZI,2220-1319,NA,wwt,wwt
WOS:000179440400003,Microbiology of enhanced biological phosphorus removal in aerated-anoxic orbal processes,WATER ENVIRONMENT RESEARCH,5,74,428-436,SEP-OCT,2002,"Zilles, JL | Peccia, J | Noguera, DR",aerated-anoxic processes | Candidatus Accumulibacter phosphates | enhanced biological phosphorus removal | orbal process | phosphorus removal | polyphosphate | Rhodocyclus,NA,NA,618WM,1061-4303,NA,wwt,wwt
WOS:000187634600006,Enhanced biological phosphorus removal in a sequencing batch reactor using propionate as the sole carbon source,BIOTECHNOLOGY AND BIOENGINEERING,1,85,56-67,JAN 5,2004,"Pijuan, M | Saunders, AM | Guisasola, A | Baeza, JA | Casas, C | Blackall, LL",polyphosphate accumulating organisms (PAO) | enhanced biological phosphorus removal (EBPR) | volatile fatty acids (VFA) | propionate | fluorescence in situ hybridization (FISH) | modeling,10.1002/bit.10813,NA,758KY,0006-3592,NA,wwt,wwt
WOS:000286499600023,"Long-term operation of a reactor enriched in Accumulibacter clade I DPAOs: performance with nitrate, nitrite and oxygen",WATER SCIENCE AND TECHNOLOGY,2,63,352-359,NA,2011,"Lanham, A. B. | Moita, R. | Lemos, P. C. | Reis, M. A. M.",Candidatus Accumulibacter phosphatis | denitrifying polyphosphate accumulating organisms | EBPR | nitrate,10.2166/wst.2011.063,NA,710GT,0273-1223,NA,wwt,wwt
WOS:000239498100026,Towards exposure of elusive metabolic mixed-culture processes: the application of metaproteomic analyses to activated sludge,WATER SCIENCE AND TECHNOLOGY,1,54,217-226,NA,2006,"Wilmes, P. | Bond, P. L.",2D-PAGE | activated sludge | enhanced biological phosphorus removal | metaproteomics | mixed microbial community | polyphosphate accumulating organism,10.2166/wst.2006.390,NA,070CO,0273-1223,NA,wwt,wwt
WOS:000373607100010,Performance evaluation of a modified step-feed anaerobic/anoxic/oxic process for organic and nutrient removal,CHINESE JOURNAL OF CHEMICAL ENGINEERING,3,24,394-403,MAR,2016,"Nasab, A. R. Majdi | Soleymani, S. M. | Nosrati, M. | Mousavi, S. M.",Biological nutrient removal | Step-feed bioreactor | Nitrification | Denitrification | Phosphorus removal,10.1016/j.cjche.2015.10.010,NA,DI6KG,1004-9541,NA,wwt,wwt
WOS:000266924700002,Biomass granulation in an aerobic:anaerobic-enhanced biological phosphorus removal process in a sequencing batch reactor with varying pH,JOURNAL OF INDUSTRIAL MICROBIOLOGY & BIOTECHNOLOGY,7,36,885-893,JUL,2009,"Ahn, Johwan | McIlroy, Simon | Schroeder, Sarah | Seviour, Robert",Enhanced biological phosphorus removal | Glycogen accumulating organisms | Aerobic granules | Accumulibacter,10.1007/s10295-009-0566-3,NA,457JQ,1367-5435,NA,wwt,wwt
WOS:000178390200064,A review and update of the microbiology of enhanced biological phosphorus removal in wastewater treatment plants,ANTONIE VAN LEEUWENHOEK INTERNATIONAL JOURNAL OF GENERAL AND MOLECULAR MICROBIOLOGY,1-4,81,681-691,NA,2002,"Blackall, LL | Crocetti, G | Saunders, AM | Bond, PL",Accumulibacter | activated sludge microbiology | EBPR | GAO | PAO | phosphorus removal,NA,NA,600KY,0003-6072,NA,wwt,wwt
WOS:000264176800005,Critical Factors Affecting Biological Phosphorus Removal in Dairy Wastewater Treatment Plants,KSCE JOURNAL OF CIVIL ENGINEERING,2,12,99-107,MAR,2008,"Ahn, Chang Hoon | Park, Jae Kwang",dairy wastewater | biological phosphorus removal (BPR) | COD/P ratio | equalization tank | pH,10.1007/s12205-008-0099-8,NA,418VF,1226-7988,NA,wwt,wwt
WOS:000411760000010,Dominant Candidatus Accumulibacter phosphatis Enriched in Response to Phosphate Concentrations in EBPR Process,MICROBES AND ENVIRONMENTS,3,32,260-267,SEP 27,2017,"Nurmiyanto, Awaluddin | Kodera, Hiroya | Kindaichi, Tomonori | Ozaki, Noriatsu | Aoi, Yoshiteru | Ohashi, Akiyoshi",Candidatus Accumulibacter phosphatis | enhanced biological phosphorus removal (EBPR) | microbial diversity | phosphate concentration | polyphosphate-accumulating organisms (PAOs),10.1264/jsme2.ME17020,NA,FI2HP,1342-6311,NA,wwt,wwt
WOS:000275999800027,Biological nutrient removal in an MBR treating municipal wastewater with special focus on biological phosphorus removal,BIORESOURCE TECHNOLOGY,11,101,3984-3991,JUN,2010,"Monclus, Hector | Sipma, Jan | Ferrero, Giuliana | Rodriguez-Roda, Ignasi | Comas, Joaquim",Biological nutrient removal (BNR) | Enhanced biological phosphorus removal (EBPR) | Membrane bioreactor (MBR) | Poly-phosphate accumulating organisms (PAOs) | UCT configuration,10.1016/j.biortech.2010.01.038,NA,574OI,0960-8524,NA,wwt,wwt
WOS:000325088800076,Investigation of Denitrifying Phosphorus Removal Organisms in a Two-Sludge Denitrifying Phosphorus Removal Process,ASIAN JOURNAL OF CHEMISTRY,12,25,6826-6830,SEP,2013,"Zou, Haiming | Lu, Xiwu | Shi, Jing",Denitrifying phosphorus removal organisms | Two-sludge | Fluorescence in situ hybridization,NA,NA,227DK,0970-7077,NA,wwt,wwt
WOS:000290406200008,Phosphate uptake performance of bacteria isolated from a full-scale Izmir municipal wastewater treatment plant,ENVIRONMENTAL TECHNOLOGY,5,32,543-549,NA,2011,"Pasayeva, P. | Gezgin, Y. | Pekin, G. | Eltem, R.",phosphate uptake | activated sludge | enhanced biological phosphorus removal | EBPR | Acinetobacter,10.1080/09593330.2010.505250,NA,761OB,0959-3330,NA,wwt,wwt
WOS:000321313800026,Biological nutrient removal in a continuous anaerobic-aerobic-anoxic process treating synthetic domestic wastewater,CHEMICAL ENGINEERING JOURNAL,NA,225,223-229,JUN 1,2013,"Liu, Gang | Xu, Xiangyang | Zhu, Liang | Xing, Shuo | Chen, Jianyu",AOA process | Domestic wastewater | Biological nutrient removal | Low dissolved oxygen | Poly-beta-hydroxybutyrate,10.1016/j.cej.2013.01.098,NA,176OK,1385-8947,NA,wwt,wwt
WOS:000400235800001,A Critical Assessment of the Microorganisms Proposed to be Important to Enhanced Biological Phosphorus Removal in Full-Scale Wastewater Treatment Systems,FRONTIERS IN MICROBIOLOGY,NA,8,,APR 27,2017,"Stokholm-Bjerregaard, Mikkel | McIlroy, Simon J. | Nierychlo, Marta | Karst, Soren M. | Albertsen, Mads | Nielsen, Per H.",16S rRNA amplicon sequencing | Accumulibacter | activated sludge | EBPR | GAO | PAO | Micropruina | Tetrasphaera,10.3389/fmicb.2017.00718,NA,ET4FX,1664-302X,NA,wwt,wwt
WOS:000235330900011,Ecophysiology of a group of uncultured Gammaproteobacterial glycogen-accumulating organisms in full-scale enhanced biological phosphorus removal wastewater treatment plants,ENVIRONMENTAL MICROBIOLOGY,3,8,479-489,MAR,2006,"Kong, YH | Xia, Y | Nielsen, JL | Nielsen, PH",,10.1111/j.1462-2920.2005.00914.x,NA,012ID,1462-2912,NA,wwt,wwt
WOS:000294686300015,Effect of phosphorus concentration on phosphorus removal and biomass,WATER SCIENCE AND TECHNOLOGY,4,64,887-891,NA,2011,"Choi, Hee-Jeong | Lee, Hanna | Lee, Seung-Mok",enhanced biological phosphorus removal (EBPR) | membrane bioreactor (MBR) | phosphorus accumulating organisms (PAO) | total solid (TS) | total volatile solid (TVS),10.2166/wst.2011.656,NA,817PM,0273-1223,NA,wwt,wwt
WOS:000252769500007,Progress toward understanding the distribution of Accumulibacter among full-scale enhanced biological phosphorus removal systems,MICROBIAL ECOLOGY,2,55,229-236,FEB,2008,"He, Shaomei | Gu, April Z. | McMahon, Katherine D.",,10.1007/s00248-007-9270-x,NA,256ZX,0095-3628,NA,wwt,wwt
WOS:000348689500003,Culturable Bacterial Community in a High Temperature EBPR Reactor,CHIANG MAI JOURNAL OF SCIENCE,5.1,41,970-980,OCT,2014,"Ong, Ying Hui | Chua, Adeline Seak May | Tan, Geok Yuan Annie | Ngoh, Gek Cheng",enhanced biological phosphorus removal | temperature | isolation | bacterial community | polyphosphate accumulating organisms | Candidatus 'Accumulibacter phosphatis',NA,NA,CA1RO,0125-2526,NA,wwt,wwt
