uid,title,journal,issue,volume,pages,date,year,authors,keywords,doi,article_no,isi_id,issn,isbn,environment,category
WOS:000362845800019,Phosphate removal mechanism in an airlift-loop reactor under limited filamentous bulking conditions,DESALINATION AND WATER TREATMENT,5,56,1299-1308,OCT 30,2015,"Su, Yiming | Zhou, Xuefei | Dai, Chaomeng | Jiang, Ming | Zhang, Yalei",Airlift-loop reactor | Limited filamentous bulking | Polyphosphate-accumulating micro-organisms | Polyphosphate metabolism,10.1080/19443994.2014.934720,NA,CT5JP,1944-3994,NA,freshwater,freshwater
WOS:000358805000001,Microbiological study of bacteriophage induction in the presence of chemical stress factors in enhanced biological phosphorus removal (EBPR),WATER RESEARCH,NA,81,1-14,SEP 15,2015,"Motlagh, Amir Mohaghegh | Bhattacharjee, Ananda S. | Goel, Ramesh",Biological phosphorus removal | EBPR upset | Bacteriophage induction | Heavy metal | Cyanide | Antibiotic,10.1016/j.watres.2015.04.023,NA,CN9XS,0043-1354,NA,freshwater,freshwater
WOS:000340837600028,Impact of salinity on the anaerobic metabolism of phosphate-accumulating organisms (PAO) and glycogen-accumulating organisms (GAO),APPLIED MICROBIOLOGY AND BIOTECHNOLOGY,17,98,7609-7622,SEP,2014,"Welles, L. | Lopez-Vazquez, C. M. | Hooijmans, C. M. | van Loosdrecht, M. C. M. | Brdjanovic, D.",Water scarcity | Saline wastewater | Enhanced biological phosphorus removal (EBPR) | Phosphate-accumulating organisms (PAO) | Glycogen-accumulating organisms (GAO) | Competition,10.1007/s00253-014-5778-4,NA,AN8FB,0175-7598,NA,freshwater,freshwater
WOS:A1992HM29100007,BIOLOGICAL PHOSPHATE REMOVAL BY ACTIVATED-SLUDGE UNDER DEFINED CONDITIONS,WATER RESEARCH,4,26,453-460,APR,1992,"APPELDOORN, KJ | KORTSTEE, GJJ | ZEHNDER, AJB",ACTIVATED SLUDGE | BIOLOGICAL PHOSPHATE REMOVAL | PHOSPHATE | POLYPHOSPHATE | WASTE-WATER TREATMENT,NA,NA,HM291,0043-1354,NA,freshwater,freshwater
WOS:000401114200003,Evidence for polyphosphate accumulating organism (PAO)-mediated phosphorus cycling in stream biofilms under alternating aerobic/anaerobic conditions,FRESHWATER SCIENCE,2,36,284-296,JUN,2017,"Saia, Sheila M. | Sullivan, Patrick J. | Regan, John M. | Carrick, Hunter J. | Buda, Anthony R. | Locke, Nicholas A. | Walter, M. Todd",polyphosphate accumulating organisms | stream biofilms | biogeochemistry | phosphorus,10.1086/691439,NA,EU5ZU,2161-9549,NA,freshwater,freshwater
WOS:000440115600050,Aquatic plant debris changes sediment enzymatic activity and microbial community structure,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,22,25,21801-21810,AUG,2018,"Xue, Wan-Lei | Pan, Wei | Lu, Qi | Xu, Qian-Ru | Wu, Cai-Nan | Du, Shao-Ting",Plant debris | High-throughput pyrosequencing | Sediment | Microbial community | Enzymatic activity | Polyphosphate-accumulating organisms,10.1007/s11356-018-2310-x,NA,GO6AE,0944-1344,NA,freshwater,freshwater
WOS:000406137200008,Sulfide effects on the anaerobic metabolism of polyphosphate-accumulating organisms,CHEMICAL ENGINEERING JOURNAL,NA,326,68-77,OCT 15,2017,"Saad, Sondos A. | Welles, Laurens | Lopez-Vazquez, Carlos M. | van Loosdrecht, Mark C. M. | Brdjanovic, Damir",'Candidatus Accumulibacter phosphatis' | Sulfide inhibition | Anaerobic | Modelling | EBPR | PAO,10.1016/j.cej.2017.05.074,NA,FB4UM,1385-8947,NA,freshwater,freshwater
WOS:000468253500034,Extraction and quantification of polyphosphates in activated sludge from waste water treatment plants by P-31 NMR spectroscopy,WATER RESEARCH,NA,157,346-355,JUN 15,2019,"Staal, Line Boisen | Petersen, Anne Boisen | Jorgensen, Charlotte A. | Nielsen, Ulla Gro | Nielsen, Per Halkaejr | Reitzel, Kasper",Polyphosphate | Identification | Quantification | P-31 | Solid state NMR | EBPR | Biological waste water treatment,10.1016/j.watres.2019.03.065,NA,HY6PZ,0043-1354,NA,freshwater,freshwater
WOS:000254814300032,"Identification and ecophysiological characterization of epiphytic protein-hydrolyzing Saprospiraceae (""Candidatus epiflobacter"" spp.) in activated sludge",APPLIED AND ENVIRONMENTAL MICROBIOLOGY,7,74,2229-2238,APR,2008,"Xia, Yun | Kong, Yunhong | Thomsen, Trine Rolighed | Nielsen, Per Halkjaer",,10.1128/AEM.02502-07,NA,285ZI,0099-2240,NA,freshwater,freshwater
WOS:000378864300033,"Microbial diversity in lake-river ecotone of Poyang Lake, China",ENVIRONMENTAL EARTH SCIENCES,11,75,,JUN,2016,"Huang, Xiaolan | Hu, Baoqing | Wang, Peng | Chen, Xiaoling | Xu, Bing",Poyang Lake | Lake-river ecotone | Microbial groups | Diversity,10.1007/s12665-016-5473-0,NA,DQ0CA,1866-6280,NA,freshwater,freshwater
WOS:000259147900020,"Environmental distribution and population biology of Candidatus Accumulibacter, a primary agent of biological phosphorus removal",ENVIRONMENTAL MICROBIOLOGY,10,10,2692-2703,OCT,2008,"Peterson, S. Brook | Warnecke, Falk | Madejska, Julita | McMahon, Katherine D. | Hugenholtz, Philip",,10.1111/j.1462-2920.2008.01690.x,NA,347NI,1462-2912,NA,freshwater,freshwater
WOS:000371371700052,UV/H2O2 and UV/PDS Treatment of Trimethoprim and Sulfamethoxazole in Synthetic Human Urine: Transformation Products and Toxicity,ENVIRONMENTAL SCIENCE & TECHNOLOGY,5,50,2573-2583,MAR 1,2016,"Zhang, Ruochun | Yang, Yongkui | Huang, Ching-Hua | Li, Na | Liu, Hang | Zhao, Lin | Sun, Peizhe",,10.1021/acs.est.5b05604,NA,DF5DJ,0013-936X,NA,freshwater,freshwater
WOS:000350322700008,Evaluation of Simultaneous Nutrient and COD Removal with Polyhydroxybutyrate (PHB) Accumulation Using Mixed Microbial Consortia under Anoxic Condition and Their Bioinformatics Analysis,PLOS ONE,2,10,,FEB 17,2015,"Jena, Jyotsnarani | Kumar, Ravindra | Dixit, Anshuman | Pandey, Sony | Das, Trupti",,10.1371/journal.pone.0116230,NA,CC4KQ,1932-6203,NA,freshwater,freshwater
