uid,title,journal,issue,volume,pages,date,year,authors,keywords,doi,article_no,isi_id,issn,isbn,environment,category
WOS:000362845800019,Phosphate removal mechanism in an airlift-loop reactor under limited filamentous bulking conditions,DESALINATION AND WATER TREATMENT,5,56,1299-1308,OCT 30,2015,"Su, Yiming | Zhou, Xuefei | Dai, Chaomeng | Jiang, Ming | Zhang, Yalei",Airlift-loop reactor | Limited filamentous bulking | Polyphosphate-accumulating micro-organisms | Polyphosphate metabolism,10.1080/19443994.2014.934720,NA,CT5JP,1944-3994,NA,lake,freshwater
WOS:000401114200003,Evidence for polyphosphate accumulating organism (PAO)-mediated phosphorus cycling in stream biofilms under alternating aerobic/anaerobic conditions,FRESHWATER SCIENCE,2,36,284-296,JUN,2017,"Saia, Sheila M. | Sullivan, Patrick J. | Regan, John M. | Carrick, Hunter J. | Buda, Anthony R. | Locke, Nicholas A. | Walter, M. Todd",polyphosphate accumulating organisms | stream biofilms | biogeochemistry | phosphorus,10.1086/691439,NA,EU5ZU,2161-9549,NA,lake,freshwater
WOS:000293684700017,Structure and activity of lacustrine sediment bacteria involved in nutrient and iron cycles,FEMS MICROBIOLOGY ECOLOGY,3,77,666-679,SEP,2011,"Martins, Gilberto | Terada, Akihiko | Ribeiro, Daniel C. | Corral, Anuska M. | Brito, Antonio G. | Smets, Barth F. | Nogueira, Regina",sediments | quantitative PCR | bacterial community | bacterial activity | biogeochemical cycles,10.1111/j.1574-6941.2011.01145.x,NA,804WJ,0168-6496,NA,lake,freshwater
WOS:000326768300032,Nutrient removal performance and microbial community analysis of a combined ABR-MBR (CAMBR) process,CHEMICAL ENGINEERING JOURNAL,NA,232,273-279,OCT,2013,"Wu, Peng | Ji, Xiaoming | Song, Xiaokang | Shen, Yaoliang",Anaerobic processes | Aerobic processes | Membrane bioreactors | Optimization | Municipal wastewater | Nutrient removal,10.1016/j.cej.2013.07.085,NA,249HM,1385-8947,NA,lake,freshwater
WOS:000440115600050,Aquatic plant debris changes sediment enzymatic activity and microbial community structure,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,22,25,21801-21810,AUG,2018,"Xue, Wan-Lei | Pan, Wei | Lu, Qi | Xu, Qian-Ru | Wu, Cai-Nan | Du, Shao-Ting",Plant debris | High-throughput pyrosequencing | Sediment | Microbial community | Enzymatic activity | Polyphosphate-accumulating organisms,10.1007/s11356-018-2310-x,NA,GO6AE,0944-1344,NA,lake,freshwater
WOS:000378864300033,"Microbial diversity in lake-river ecotone of Poyang Lake, China",ENVIRONMENTAL EARTH SCIENCES,11,75,,JUN,2016,"Huang, Xiaolan | Hu, Baoqing | Wang, Peng | Chen, Xiaoling | Xu, Bing",Poyang Lake | Lake-river ecotone | Microbial groups | Diversity,10.1007/s12665-016-5473-0,NA,DQ0CA,1866-6280,NA,lake,freshwater
WOS:000329274900008,Seasonal bacterial community dynamics in a full-scale enhanced biological phosphorus removal plant,WATER RESEARCH,19,47,7019-7031,DEC 1,2013,"Flowers, Jason J. | Cadkin, Tracey A. | McMahon, Katherine D.","Enhanced biological phosphorus removal | ""Candidatus Accumulibacter phosphatis"" | Activated sludge",10.1016/j.watres.2013.07.054,NA,283VK,0043-1354,NA,lake,freshwater
WOS:000329504800006,"Biomineralization of iron-phosphates in the water column of Lake Pavin (Massif Central, France)",GEOCHIMICA ET COSMOCHIMICA ACTA,NA,126,78-96,FEB 1,2014,"Cosmidis, Julie | Benzerara, Karim | Morin, Guillaume | Busigny, Vincent | Lebeau, Oanez | Jezequel, Didier | Noel, Vincent | Dublet, Gabrielle | Othmane, Guillaume",,10.1016/j.gca.2013.10.037,NA,286YI,0016-7037,NA,lake,freshwater
WOS:000468253500034,Extraction and quantification of polyphosphates in activated sludge from waste water treatment plants by P-31 NMR spectroscopy,WATER RESEARCH,NA,157,346-355,JUN 15,2019,"Staal, Line Boisen | Petersen, Anne Boisen | Jorgensen, Charlotte A. | Nielsen, Ulla Gro | Nielsen, Per Halkaejr | Reitzel, Kasper",Polyphosphate | Identification | Quantification | P-31 | Solid state NMR | EBPR | Biological waste water treatment,10.1016/j.watres.2019.03.065,NA,HY6PZ,0043-1354,NA,lake,freshwater
WOS:000287589700005,Biological removal of phosphate from synthetic wastewater using bacterial consortium,IRANIAN JOURNAL OF BIOTECHNOLOGY,1,9,37-49,NA,2011,"Krishnaswamy, Usharani | Muthuchamy, Muthukumar | Perumalsamy, Lakshmanaperumalsamy",Phosphate removal | Synthetic waste water | Consortium-Bacillus sp RS-1 | Pseudomonas sp YLW-7 | Enterobacter sp KLW-2,NA,NA,724PW,1728-3043,NA,lake,freshwater
WOS:000458224000016,An integrated mechanistic modeling of a facultative pond: Parameter estimation and uncertainty analysis,WATER RESEARCH,NA,151,170-182,MAR 15,2019,"Ho, Long T. | Alvarado, Andres | Larriva, Josue | Pompeu, Cassia | Goethals, Peter",Waste stabilization pond | Integrated mechanistic model | Sensitivity analysis | Identifiability analysis | Parameter estimation | Uncertainty analysis,10.1016/j.watres.2018.12.018,NA,HK8FE,0043-1354,NA,lake,freshwater
