uid,title,journal,issue,volume,pages,date,year,authors,keywords,doi,article_no,isi_id,issn,isbn,environment,category
WOS:000229890300015,Characterization of denitrifying polyphosphate-accumulating organisms in activated sludge based on nitrite reductase gene,JOURNAL OF BIOSCIENCE AND BIOENGINEERING,4,99,403-407,APR,2005,"Tsuneda, S | Miyauchi, R | Ohno, T | Hirata, A",activated sludge | enhanced biological phosphorus removal (EBPR) | denitrifying polyphosphate-accumulating organisms (DNPAOs) | polyphosphate-accumulating organisms (PAOs) | nitrite reductase gene (nirS) | polymerase chain reaction (PCR) | restriction fragment length polymorphism (RFLP)],10.1263/jbb.99.403,NA,936YA,1389-1723,NA,sediment,terrestrial
WOS:000464373000015,"Widespread detection of Candidatus Accumulibacter phosphatis, a polyphosphate-accumulating organism, in sediments of the Columbia River estuary",ENVIRONMENTAL MICROBIOLOGY,4,21,1369-1382,APR,2019,"Watson, Sheree J. | Needoba, Joseph A. | Peterson, Tawnya D.",,10.1111/1462-2920.14576,NA,HT2DI,1462-2912,NA,sediment,terrestrial
WOS:000401114200003,Evidence for polyphosphate accumulating organism (PAO)-mediated phosphorus cycling in stream biofilms under alternating aerobic/anaerobic conditions,FRESHWATER SCIENCE,2,36,284-296,JUN,2017,"Saia, Sheila M. | Sullivan, Patrick J. | Regan, John M. | Carrick, Hunter J. | Buda, Anthony R. | Locke, Nicholas A. | Walter, M. Todd",polyphosphate accumulating organisms | stream biofilms | biogeochemistry | phosphorus,10.1086/691439,NA,EU5ZU,2161-9549,NA,sediment,terrestrial
WOS:000352287800057,Phosphorus sequestration in the form of polyphosphate by microbial symbionts in marine sponges,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,14,112,4381-4386,APR 7,2015,"Zhang, Fan | Blasiak, Leah C. | Karolin, Jan O. | Powell, Ryan J. | Geddes, Chris D. | Hill, Russell T.",phosphorus sequestration | sponge | microbial symbionts | polyphosphate,10.1073/pnas.1423768112,NA,CF1EZ,0027-8424,NA,sediment,terrestrial
WOS:000440115600050,Aquatic plant debris changes sediment enzymatic activity and microbial community structure,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,22,25,21801-21810,AUG,2018,"Xue, Wan-Lei | Pan, Wei | Lu, Qi | Xu, Qian-Ru | Wu, Cai-Nan | Du, Shao-Ting",Plant debris | High-throughput pyrosequencing | Sediment | Microbial community | Enzymatic activity | Polyphosphate-accumulating organisms,10.1007/s11356-018-2310-x,NA,GO6AE,0944-1344,NA,sediment,terrestrial
WOS:000293684700017,Structure and activity of lacustrine sediment bacteria involved in nutrient and iron cycles,FEMS MICROBIOLOGY ECOLOGY,3,77,666-679,SEP,2011,"Martins, Gilberto | Terada, Akihiko | Ribeiro, Daniel C. | Corral, Anuska M. | Brito, Antonio G. | Smets, Barth F. | Nogueira, Regina",sediments | quantitative PCR | bacterial community | bacterial activity | biogeochemical cycles,10.1111/j.1574-6941.2011.01145.x,NA,804WJ,0168-6496,NA,sediment,terrestrial
WOS:000329504800006,"Biomineralization of iron-phosphates in the water column of Lake Pavin (Massif Central, France)",GEOCHIMICA ET COSMOCHIMICA ACTA,NA,126,78-96,FEB 1,2014,"Cosmidis, Julie | Benzerara, Karim | Morin, Guillaume | Busigny, Vincent | Lebeau, Oanez | Jezequel, Didier | Noel, Vincent | Dublet, Gabrielle | Othmane, Guillaume",,10.1016/j.gca.2013.10.037,NA,286YI,0016-7037,NA,sediment,terrestrial
WOS:000259147900020,"Environmental distribution and population biology of Candidatus Accumulibacter, a primary agent of biological phosphorus removal",ENVIRONMENTAL MICROBIOLOGY,10,10,2692-2703,OCT,2008,"Peterson, S. Brook | Warnecke, Falk | Madejska, Julita | McMahon, Katherine D. | Hugenholtz, Philip",,10.1111/j.1462-2920.2008.01690.x,NA,347NI,1462-2912,NA,sediment,terrestrial
WOS:000287852900013,Extracellular DNA is abundant and important for microcolony strength in mixed microbial biofilms,ENVIRONMENTAL MICROBIOLOGY,3,13,710-721,MAR,2011,"Dominiak, Dominik Marek | Nielsen, Jeppe Lund | Nielsen, Per Halkjaer",,10.1111/j.1462-2920.2010.02375.x,NA,728CY,1462-2912,NA,sediment,terrestrial
WOS:000468253500034,Extraction and quantification of polyphosphates in activated sludge from waste water treatment plants by P-31 NMR spectroscopy,WATER RESEARCH,NA,157,346-355,JUN 15,2019,"Staal, Line Boisen | Petersen, Anne Boisen | Jorgensen, Charlotte A. | Nielsen, Ulla Gro | Nielsen, Per Halkaejr | Reitzel, Kasper",Polyphosphate | Identification | Quantification | P-31 | Solid state NMR | EBPR | Biological waste water treatment,10.1016/j.watres.2019.03.065,NA,HY6PZ,0043-1354,NA,sediment,terrestrial
WOS:000378864300033,"Microbial diversity in lake-river ecotone of Poyang Lake, China",ENVIRONMENTAL EARTH SCIENCES,11,75,,JUN,2016,"Huang, Xiaolan | Hu, Baoqing | Wang, Peng | Chen, Xiaoling | Xu, Bing",Poyang Lake | Lake-river ecotone | Microbial groups | Diversity,10.1007/s12665-016-5473-0,NA,DQ0CA,1866-6280,NA,sediment,terrestrial
