uid,title,journal,issue,volume,pages,date,year,authors,keywords,doi,article_no,isi_id,issn,isbn,environment,category
WOS:000359833900015,Effect of a Humus Soil Side-Stream Reactor (HSR) on the Bacterial Characteristics in Enhanced Biological Phosphorus Removal Process,JOURNAL OF CHEMICAL ENGINEERING OF JAPAN,6,48,498-505,JUN,2015,"Wu, Min | Zhu, Rui | Ma, HuiRong | Zhu, Heguang | Dai, Xiaohu | Yang, Jian",Polyphosphate Accumulating Organisms | Glycogen Accumulating Organisms | Humus Soil Side-Stream Reactor | Polyphosphate Kinase,10.1252/jcej.14we069,NA,CP4ED,0021-9592,NA,soil,terrestrial
WOS:000316032100019,Phosphorus removal and simultaneous sludge reduction in humus soil sequencing batch reactor treating domestic wastewater,CHEMICAL ENGINEERING JOURNAL,NA,215,136-143,JAN 15,2013,"Wu, Min | Zhu, Rui | Zhu, Heguang | Dai, Xiaohu | Yang, Jian",Humus soil | Sludge reduction | Enhanced biological phosphorus removal | Polyphosphate accumulating organisms | Glycogen accumulating organisms,10.1016/j.cej.2012.11.066,NA,104YG,1385-8947,NA,soil,terrestrial
WOS:000287106800029,Enhanced phosphorus removal by a humus soil cooperated sequencing batch reactor using acetate as carbon source,CHEMICAL ENGINEERING JOURNAL,2,166,687-692,JAN 15,2011,"Zhu, Rui | Wu, Min | Zhu, Heguang | Wang, Yayi | Yang, Jian",Humus soil | Polyphosphate accumulating organisms | Glycogen accumulating organisms | Poly-beta-hydroxyalkanoates | Phosphorus,10.1016/j.cej.2010.11.048,NA,718FP,1385-8947,NA,soil,terrestrial
WOS:000310822200003,Deciphering the Genome of Polyphosphate Accumulating Actinobacterium Microlunatus phosphovorus,DNA RESEARCH,5,19,383-394,OCT,2012,"Kawakoshi, Akatsuki | Nakazawa, Hidekazu | Fukada, Junji | Sasagawa, Machi | Katano, Yoko | Nakamura, Sanae | Hosoyama, Akira | Sasaki, Hiroki | Ichikawa, Natsuko | Hanada, Satoshi | Kamagata, Yoichi | Nakamura, Kazunori | Yamazaki, Shuji | Fujita, Nobuyuki",Microlunatus phosphovorus | whole genome sequence | polyphosphate accumulating organism | polyphosphate | polyhydroxyalkanoate,10.1093/dnares/dss020,NA,033SU,1340-2838,NA,soil,terrestrial
WOS:000236738500016,Nutritional deprivation increases intracellular phosphate and polyphosphate in poultry litter microflora,LETTERS IN APPLIED MICROBIOLOGY,5,42,527-531,MAY,2006,"Doerner, KC | Mason, BP",microflora | nutritional stress | phosphate | polyphosphate | poultry litter,10.1111/j.1472-765X.2006.01883.x,NA,031XM,0266-8254,NA,soil,terrestrial
WOS:000464373000015,"Widespread detection of Candidatus Accumulibacter phosphatis, a polyphosphate-accumulating organism, in sediments of the Columbia River estuary",ENVIRONMENTAL MICROBIOLOGY,4,21,1369-1382,APR,2019,"Watson, Sheree J. | Needoba, Joseph A. | Peterson, Tawnya D.",,10.1111/1462-2920.14576,NA,HT2DI,1462-2912,NA,soil,terrestrial
WOS:000306075100001,Molecular Characterization of Denitrifying Bacteria Isolated from the Anoxic Reactor of a Modified DEPHANOX Plant Performing Enhanced Biological Phosphorus Removal,WATER ENVIRONMENT RESEARCH,6,84,475-484,JUN,2012,"Zafiriadis, Ilias | Ntougias, Spyridon | Mirelis, Paraskevi | Kapagiannidis, Anastasios G. | Aivasidis, Alexander",denitrifying bacteria | DEPHANOX | 16S rRNA gene,10.2175/106143012X13280358613543,NA,969RR,1061-4303,NA,soil,terrestrial
WOS:000292975600001,Enhancement of Nutrient Removal from Eutrophic Water by a Plant-Microorganisms Combined System,ENVIRONMENTAL ENGINEERING SCIENCE,8,28,543-554,AUG,2011,"Li, Hong | Zhao, He-Ping | Hao, Hu-Lin | Liang, Jun | Zhao, Feng-Liang | Xiang, Lv-Cheng | Yang, Xiao-E | He, Zhen-Li | Stoffella, Peter J.",bioremediation | denitrifying polyphosphate-accumulating organisms (DPAOs) | eutrophication | perennial grasses,10.1089/ees.2011.0026,NA,795LL,1092-8758,NA,soil,terrestrial
WOS:000189304200005,"Resistance to, and accumulation of, uranium by bacteria from a uranium-contaminated site",GEOMICROBIOLOGY JOURNAL,2,21,113-121,MAR,2004,"Suzuki, Y | Banfield, JF",Arthrobacter | bacteria | Deinococcus radiodurans | poly phosphate granules | resistance | toxicity | uranium | uranyl phosphates,10.1080/01490450490266361,NA,779MK,0149-0451,NA,soil,terrestrial
WOS:000440115600050,Aquatic plant debris changes sediment enzymatic activity and microbial community structure,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,22,25,21801-21810,AUG,2018,"Xue, Wan-Lei | Pan, Wei | Lu, Qi | Xu, Qian-Ru | Wu, Cai-Nan | Du, Shao-Ting",Plant debris | High-throughput pyrosequencing | Sediment | Microbial community | Enzymatic activity | Polyphosphate-accumulating organisms,10.1007/s11356-018-2310-x,NA,GO6AE,0944-1344,NA,soil,terrestrial
