uid,title,journal,issue,volume,pages,date,year,authors,keywords,doi,article_no,isi_id,issn,isbn,environment,category
WOS:000359833900015,Effect of a Humus Soil Side-Stream Reactor (HSR) on the Bacterial Characteristics in Enhanced Biological Phosphorus Removal Process,JOURNAL OF CHEMICAL ENGINEERING OF JAPAN,6,48,498-505,JUN,2015,"Wu, Min | Zhu, Rui | Ma, HuiRong | Zhu, Heguang | Dai, Xiaohu | Yang, Jian",Polyphosphate Accumulating Organisms | Glycogen Accumulating Organisms | Humus Soil Side-Stream Reactor | Polyphosphate Kinase,10.1252/jcej.14we069,NA,CP4ED,0021-9592,NA,stream,freshwater
WOS:000327911700007,A novel post denitrification configuration for phosphorus recovery using polyphosphate accumulating organisms,WATER RESEARCH,17,47,6488-6495,NOV 1,2013,"Wong, Pan Yu | Cheng, Ka Yu | Kaksonen, Anna H. | Sutton, David C. | Ginige, Maneesha P.",Phosphorus removal | Phosphorus recovery | Enhanced biological phosphorus removal | Polyphosphate accumulating organisms | Denitrifying polyphosphate accumulating organisms | Wastewater treatment | Post denitrification,10.1016/j.watres.2013.08.023,NA,264WM,0043-1354,NA,stream,freshwater
WOS:000401114200003,Evidence for polyphosphate accumulating organism (PAO)-mediated phosphorus cycling in stream biofilms under alternating aerobic/anaerobic conditions,FRESHWATER SCIENCE,2,36,284-296,JUN,2017,"Saia, Sheila M. | Sullivan, Patrick J. | Regan, John M. | Carrick, Hunter J. | Buda, Anthony R. | Locke, Nicholas A. | Walter, M. Todd",polyphosphate accumulating organisms | stream biofilms | biogeochemistry | phosphorus,10.1086/691439,NA,EU5ZU,2161-9549,NA,stream,freshwater
WOS:000464296400005,"Simultaneous nitrification, denitrification and phosphorus recovery (SNDPr) - An opportunity to facilitate full-scale recovery of phosphorus from municipal wastewater",JOURNAL OF ENVIRONMENTAL MANAGEMENT,NA,238,41-48,MAY 15,2019,"Salehi, Sara | Cheng, Ka Yu | Heitz, Anna | Ginige, Maneesha P.",Phosphorus recovery | Polyphosphate accumulating organisms (PAOs) | Denitrifying polyphosphate accumulating organisms (DPAOs) | Simultaneous nitrification denitrification and phosphorus removal (SNDPR),10.1016/j.jenvman.2019.02.063,NA,HT1AM,0301-4797,NA,stream,freshwater
WOS:000350869700008,EBPR Using Crude Glycerol: Assessing Process Resiliency and Exploring Metabolic Anomalies,WATER ENVIRONMENT RESEARCH,1,87,68-79,JAN,2015,"Coats, Erik R. | Dobroth, Zachary T. | Brinkman, Cynthia K.",enhanced biological phosphorus removal (EBPR) | crude glycerol | polyphosphate accumulating organisms (PAOs) | glycogen accumulating organisms (GAOs) | volatile fatty acids (VFAs) | polyphosphate,10.2175/106143014X14062131179113,NA,CD1YD,1061-4303,NA,stream,freshwater
WOS:000353729100052,The metabolic versatility of PAOs as an opportunity to obtain a highly P-enriched stream for further P-recovery,CHEMICAL ENGINEERING JOURNAL,NA,270,459-467,JUN 15,2015,"Acevedo, B. | Camino, C. | Corona, J. E. | Borras, L. | Barat, R.",Phosphorus recovery | Polyphosphate (poly-P) | Polyphosphate accumulating metabolism (PAM) | Glycogen accumulating metabolism (GAM) | Enhanced biological phosphorus removal (EBPR) | Sequencing batch reactor (SBR),10.1016/j.cej.2015.02.063,NA,CH0RC,1385-8947,NA,stream,freshwater
WOS:000433649800055,Improvement of carbon usage for phosphorus recovery in EBPR-r and the shift in microbial community,JOURNAL OF ENVIRONMENTAL MANAGEMENT,NA,218,569-578,JUL 15,2018,"Wong, Pan Yu | Cheng, Ka Yu | Krishna, K. C. Bal | Kaksonen, Anna H. | Sutton, David C. | Ginige, Maneesha P.",Nutrient removal | Phosphorus recovery | Post-denitrification | Phosphorus removal | Polyphosphate accumulating organisms | Denitrifying polyphosphate accumulating organisms,10.1016/j.jenvman.2018.03.130,NA,GH7QZ,0301-4797,NA,stream,freshwater
WOS:000412211300007,A comparative study of microbial dynamics and phosphorus removal for a two side-stream wastewater treatment processes,RSC ADVANCES,73,7,45938-45948,NA,2017,"Zhang, Yanyan | Islam, Md. Shahinoor | McPhedran, Kerry N. | Dong, Shimiao | Rashed, Ehab M. | El-Shafei, Maha M. | Noureldin, Ahmed M. | El-Din, Mohamed Gamal",,10.1039/c7ra07610j,NA,FI7WW,2046-2069,NA,stream,freshwater
WOS:000438658800035,The ability of PAOs to conserve their storage-driven phosphorus uptake activities during prolonged aerobic starvation conditions,JOURNAL OF WATER PROCESS ENGINEERING,NA,23,320-326,JUN,2018,"Wong, Pan Yu | Ginige, Maneesha P. | Kaksonen, Anna H. | Sutton, David C. | Cheng, Ka Yu",Denitrifying polyphosphate accumulating organism | Phosphorus recovery | Phosphorus removal | Polyphosphate accumulating organisms | Post-denitrification,10.1016/j.jwpe.2018.04.014,NA,GN0LF,2214-7144,NA,stream,freshwater
WOS:000403987500033,Dynamics of microbial community structure and nutrient removal from an innovative side-stream enhanced biological phosphorus removal process,JOURNAL OF ENVIRONMENTAL MANAGEMENT,NA,198,300-307,AUG 1,2017,"Islam, Md. Shahinoor | Zhang, Yanyan | Dong, Shimiao | McPhedran, Kerry N. | Rashed, Ehab M. | El-Shafei, Maha M. | Noureldin, Ahmed M. | El-Din, Mohamed Gamal",Side-stream EBPR | Phosphate accumulating organisms | Real time PCR | Next generation sequencing,10.1016/j.jenvman.2017.04.074,NA,EY4ZR,0301-4797,NA,stream,freshwater
WOS:000329274900009,Metabolic versatility in full-scale wastewater treatment plants performing enhanced biological phosphorus removal,WATER RESEARCH,19,47,7032-7041,DEC 1,2013,"Lanham, Ana B. | Oehmen, Adrian | Saunders, Aaron M. | Carvalho, Gilda | Nielsen, Per H. | Reis, Maria A. M.",Polyphosphate accumulating organisms (PAO) | Glycogen accumulating organisms (GAO) | TCA cycle | Glycolysis | Glycogen | Return sludge side-stream hydrolysis (RSS),10.1016/j.watres.2013.08.042,NA,283VK,0043-1354,NA,stream,freshwater
WOS:000493220400025,Side-stream enhanced biological phosphorus removal (S2EBPR) process improves system performance - A full-scale comparative study,WATER RESEARCH,NA,167,,DEC 15,2019,"Wang, Dongqi | Tooker, Nicholas B. | Srinivasan, Varun | Li, Guangyu | Fernandez, Loretta A. | Schauer, Peter | Menniti, Adrienne | Maher, Chris | Bott, Charles B. | Dombrowski, Paul | Barnard, James L. | Onnis-Hayden, Annalisa | Gu, April Z.",EBPR | Side-stream | Performance comparison | Microbial ecology | Activity,10.1016/j.watres.2019.115109,NA,JI1IZ,0043-1354,NA,stream,freshwater
WOS:000265787500005,A sequencing batch reactor system for high-level biological nitrogen and phosphorus removal from abattoir wastewater,BIODEGRADATION,3,20,339-350,JUN,2009,"Lemaire, Romain | Yuan, Zhiguo | Bernet, Nicolas | Marcos, Marcelino | Yilmaz, Gulsum | Keller, Juerg",Biological nutrient removal | EBPR | Pre-fermentation | SBR | Slaughterhouse | Step-feed | PAO,10.1007/s10532-008-9225-z,NA,441RG,0923-9820,NA,stream,freshwater
WOS:000262571700014,Polyhydroxyalkanoate synthesis using different carbon sources by two enhanced biological phosphorus removal microbial communities,PROCESS BIOCHEMISTRY,1,44,97-105,JAN,2009,"Pijuan, Maite | Casas, Carles | Baeza, Juan Antonio",Volatile fatty acid (VFA) | Enhanced biological phosphorus removal (EBPR) Polyhydroxyalkanoate (PHA) | Polyphosphate accumulating organisms (PAO),10.1016/j.procbio.2008.09.017,NA,396DF,1359-5113,NA,stream,freshwater
WOS:000375186700012,Phosphorus removal and recovery from domestic wastewater in a novel process of enhanced biological phosphorus removal coupled with crystallization,BIORESOURCE TECHNOLOGY,NA,211,87-92,JUL,2016,"Zou, Haiming | Wang, Yan",Enhanced biological phosphorus removal | Crystallization phosphorus recovery | Denitrifying polyphosphate accumulating organisms (DPAO) | Hydroxyapatite (HAP) | Domestic wastewater treatment,10.1016/j.biortech.2016.03.073,NA,DK8ON,0960-8524,NA,stream,freshwater
WOS:000271664600031,Production of polyhydroxybutyrate by activated sludge performing enhanced biological phosphorus removal,BIORESOURCE TECHNOLOGY,3,101,1049-1053,FEB,2010,"Rodgers, Michael | Wu, Guangxue",Activated sludge | Biodegradable plastics | Enhanced biological phosphorus removal | Polyhydroxybutyrate,10.1016/j.biortech.2009.08.107,NA,518BJ,0960-8524,NA,stream,freshwater
WOS:000353560300014,Integrated side-stream reactor for biological nutrient removal and minimization of sludge production,WATER SCIENCE AND TECHNOLOGY,7,71,1056-1064,NA,2015,"Coma, M. | Rovira, S. | Canals, J. | Colprim, J.",activated sludge | biomass production | energy uncoupling | side-stream reactor (SSR) | sludge reduction | yield,10.2166/wst.2015.067,NA,CG8LU,0273-1223,NA,stream,freshwater
WOS:000430969800023,"Correlation of microbial community structure with pollutants removal, sludge reduction and sludge characteristics in micro-aerobic side-stream reactor coupled membrane bioreactors under different hydraulic retention times",BIORESOURCE TECHNOLOGY,NA,260,177-185,JUL,2018,"Cheng, Cheng | Zhou, Zhen | Pang, Hongjian | Zheng, Yue | Chen, Liuyu | Jiang, Lu-Man | Zhao, Xiaodan",Sludge reduction | Side-stream reactor | Micro-aerobic | Wastewater treatment | Microbial community,10.1016/j.biortech.2018.03.088,NA,GE1IK,0960-8524,NA,stream,freshwater
