uid,title,journal,issue,volume,pages,date,year,authors,keywords,doi,article_no,isi_id,issn,isbn,environment,category
WOS:000239498100031,Applicability of experience from laboratory reactors with biological phosphorus removal in full-scale plants,WATER SCIENCE AND TECHNOLOGY,1,54,267-275,NA,2006,"Tykesson, E. | Blackall, L. L. | Kong, Y. | Nielsen, P. H. | Jansen, J. la Cour",acetate | enhanced biological phosphorus removal | glycogen-accumulating organisms | polyphosphate-accumulating organisms | propionate | wastewater,10.2166/wst.2006.395,NA,070CO,0273-1223,NA,wwt,wwt
WOS:000342314700013,Effect of different carbon sources on the biological phosphorus removal by a sequencing batch reactor using pressurized pure oxygen,BIOTECHNOLOGY & BIOTECHNOLOGICAL EQUIPMENT,3,28,471-477,NA,2014,"Wei, Jie | Imai, Tsuyoshi | Higuchi, Takaya | Arfarita, Novi | Yamamoto, Koichi | Sekine, Masahiko | Kanno, Ariyo",pressurized pure oxygen sequencing batch reactor (POSBR) | polyphosphate-accumulating organisms (PAOs) | carbon source | biological phosphorus removal,10.1080/13102818.2014.924200,NA,AP8FQ,1310-2818,NA,wwt,wwt
WOS:000300304100001,An Observation on Sludge Granulation in an Enhanced Biological Phosphorus Removal Process,WATER ENVIRONMENT RESEARCH,1,84,3-8,JAN,2012,"Ong, Ying Hui | Chua, Adeline Seak May | Lee, Boon Pin | Ngoh, Gek Cheng | Hashim, Mohd Ali",Enhanced biological phosphorus removal | sequencing batch reactor | polyphosphate accumulating organisms | sludge granules | Candidatus Accumulibacter phosphatis,10.2175/106143011X13184219229335,NA,892RU,1061-4303,NA,wwt,wwt
WOS:000262750000013,Robustness of sludge enriched with short SBR cycles for biological nutrient removal,BIORESOURCE TECHNOLOGY,6,100,1969-1976,MAR,2009,"Freitas, Filomena | Temudo, Margarida F. | Carvalho, Gilda | Oehmen, Adrian | Reis, Maria A. M.",Enhanced biological phosphorus removal (EBPR) | Polyphosphate accumulating organisms (PAO) | Glycogen accumulating organisms (GAO) | Nitrogen removal | Temperature,10.1016/j.biortech.2008.10.031,NA,398RU,0960-8524,NA,wwt,wwt
WOS:000220160000002,"Enhanced biological phosphorus removal from wastewater by biomass with different phosphorus contents, part I: Experimental results and comparison with metabolic models",WATER ENVIRONMENT RESEARCH,6,75,485-498,NOV-DEC,2003,"Schuler, AJ | Jenkins, D",enhanced biological phosphorus removal | activated sludge | bacterial storage products | polyphosphate | glycogen,NA,NA,802JO,1061-4303,NA,wwt,wwt
WOS:000462588700035,Granulation of activated sludge using butyrate and valerate as additional carbon source and granular phosphorus removal capacity during wastewater treatment,BIORESOURCE TECHNOLOGY,NA,282,269-274,JUN,2019,"Cai, Wei | Huang, Wenli | Lei, Zhongfang | Zhang, Zhenya | Lee, Duu-Jong | Adachi, Yasuhisa",Enhanced biological phosphorus removal (EBPR) | Aerobic granular sludge (AGS) | Butyrate | Valerate | Polyphosphate-accumulating organisms (PAOs),10.1016/j.biortech.2019.03.017,NA,HQ7GT,0960-8524,NA,wwt,wwt
WOS:000327911700007,A novel post denitrification configuration for phosphorus recovery using polyphosphate accumulating organisms,WATER RESEARCH,17,47,6488-6495,NOV 1,2013,"Wong, Pan Yu | Cheng, Ka Yu | Kaksonen, Anna H. | Sutton, David C. | Ginige, Maneesha P.",Phosphorus removal | Phosphorus recovery | Enhanced biological phosphorus removal | Polyphosphate accumulating organisms | Denitrifying polyphosphate accumulating organisms | Wastewater treatment | Post denitrification,10.1016/j.watres.2013.08.023,NA,264WM,0043-1354,NA,wwt,wwt
WOS:000222215200006,Effects of pH and substrate on the competition between glycogen and phosphorus accumulating organisms,JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART A-TOXIC/HAZARDOUS SUBSTANCES & ENVIRONMENTAL ENGINEERING,7,39,1695-1704,NA,2004,"Cokgor, EU | Yagci, NO | Randall, CW | Artan, N | Orhon, D",biological phosphorus removal | phosphate accumulating organism | glycogen accumulating organism,10.1081/ESE-120037870,NA,831SA,1093-4529,NA,wwt,wwt
WOS:000177989100021,Presence of Rhodocyclus in a full-scale wastewater treatment plant and their participation in enhanced biological phosphorus removal,WATER SCIENCE AND TECHNOLOGY,1-2,46,123-128,NA,2002,"Zilles, JL | Hung, CH | Noguera, DR",DAPI | EBPR | FISH | phosphorus removal | polyphosphate | Rhodocyclus,NA,NA,593JY,0273-1223,NA,wwt,wwt
WOS:000316032100019,Phosphorus removal and simultaneous sludge reduction in humus soil sequencing batch reactor treating domestic wastewater,CHEMICAL ENGINEERING JOURNAL,NA,215,136-143,JAN 15,2013,"Wu, Min | Zhu, Rui | Zhu, Heguang | Dai, Xiaohu | Yang, Jian",Humus soil | Sludge reduction | Enhanced biological phosphorus removal | Polyphosphate accumulating organisms | Glycogen accumulating organisms,10.1016/j.cej.2012.11.066,NA,104YG,1385-8947,NA,wwt,wwt
WOS:000294277100010,Assessment of a bioaugmentation strategy with polyphosphate accumulating organisms in a nitrification/denitrification sequencing batch reactor,BIORESOURCE TECHNOLOGY,17,102,7678-7684,SEP,2011,"Taya, Carlota | Guisasola, Albert | Baeza, Juan A.",Activated sludge | Bioaugmentation | Enhanced biological phosphorus removal (EBPR) | Nitrogen removal | Polyphosphate accumulating organisms (PAO),10.1016/j.biortech.2011.05.041,NA,812FS,0960-8524,NA,wwt,wwt
WOS:000170035100007,Enhanced biological phosphorus removal in an anaerobic-aerobic sequencing batch reactor: Effect of pH,WATER ENVIRONMENT RESEARCH,3,73,301-306,MAY-JUN,2001,"Jeon, CO | Lee, DS | Lee, MW | Park, JM",enhanced biological phosphorus removal | sequencing batch reactors | microbial competition | glycogen-accumulating organisms | polyphosphate-accumulating organisms | pH | glycogen,NA,NA,455PK,1061-4303,NA,wwt,wwt
WOS:000362308200019,Long-term effect of Cu (II) on the phosphorous removal performance in enhanced biological phosphorous removal systems,CHEMICAL ENGINEERING JOURNAL,NA,281,164-173,DEC 1,2015,"Wu, Min | Jiang, Xiaolin | Lv, Yaoling | Zhou, Jie | Yuan, Lu | Jia, Yulei | Wang, Yayi",Enhanced biological phosphorus removal | Cu (II) | Phosphorus accumulating organisms | Glycogen accumulating organisms,10.1016/j.cej.2015.06.070,NA,CS8AN,1385-8947,NA,wwt,wwt
WOS:000289837000009,Effect of Anaerobic HRT on Biological Phosphorus Removal and the Enrichment of Phosphorus Accumulating Organisms,WATER ENVIRONMENT RESEARCH,5,83,461-469,MAY,2011,"Coats, Erik R. | Watkins, David L. | Brinkman, Cynthia K. | Loge, Frank J.",enhanced biological phosphorus removal | volatile fatty acids | polyphosphate | qPCR | DGGE | polyphosphate accumulating organisms,10.2175/106143010X12851009156402,NA,754ES,1061-4303,NA,wwt,wwt
WOS:000168506200005,Effect of operating parameters on anoxic biological phosphorus removal in anaerobic anoxic sequencing batch reactor,ENVIRONMENTAL TECHNOLOGY,4,22,397-408,APR,2001,"Merzouki, M | Bernet, N | Delgenes, JP | Moletta, R | Benlemlih, M",activated sludge | biological phosphorus removal | polyphosphate | sequencing batch reactor | sludge retention time,NA,NA,429FW,0959-3330,NA,wwt,wwt
WOS:000177441400005,Characterization of an acetate-degrading sludge without intracellular accumulation of polyphosphate and glycogen,WATER RESEARCH,13,36,3211-3218,JUL,2002,"Fang, HHP | Zhang, T | Liu, Y",acetate | glycogen | polyphosphate | wastewater | 16S rDNA,NA,NA,583ZF,0043-1354,NA,wwt,wwt
WOS:000319652400016,Microbial community changes during the start-up of an anaerobic/aerobic/anoxic-type sequencing batch reactor,ENVIRONMENTAL TECHNOLOGY,9,34,1211-1217,MAY 1,2013,"Zhang, Qian | He, Jiajie | Wang, Hongyu | Ma, Fang | Yang, Kai | Wang, Jingbo",enhanced biological phosphorus removal | glycogen-accumulating organisms | polyphosphate-accumulating organisms | polymerase chain reaction-denaturing gradient gel electrophoresis | 16S ribosomal RNA,10.1080/09593330.2012.743595,NA,154DT,0959-3330,NA,wwt,wwt
WOS:000414817900005,A novel A-B process for enhanced biological nutrient removal in municipal wastewater reclamation,CHEMOSPHERE,NA,189,39-45,DEC,2017,"Xu, Guangjing | Wang, Han | Gu, Jun | Shen, Nan | Qiu, Zheng | Zhou, Yan | Liu, Yu",A-B process | Mainstream nitritation-denitritation | Enhanced biological phosphorus removal | Nitrous oxide,10.1016/j.chemosphere.2017.09.049,NA,FM2MC,0045-6535,NA,wwt,wwt
WOS:000177989100025,Polyphosphate kinase genes from activated sludge carrying out enhanced biological phosphorus removal,WATER SCIENCE AND TECHNOLOGY,1-2,46,155-162,NA,2002,"McMahon, KD | Jenkins, D | Keasling, JD",activated sludge | biological phosphorus removal | polyphosphate kinase | Rhodocyclus,NA,NA,593JY,0273-1223,NA,wwt,wwt
