uid,title,journal,issue,volume,pages,date,year,authors,keywords,doi,article_no,isi_id,issn,isbn,environment,category
WOS:000314144300010,Regional Differences in Phosphorus Budgets in Intensive Soybean Agriculture,BIOSCIENCE,1,63,49-54,JAN,2013,"Riskin, Shelby H. | Porder, Stephen | Schipanski, Meagan E. | Bennett, Elena M. | Neill, Christopher",phosphorus | fertilizer | soybean | agriculture | environment,10.1525/bio.2013.63.1.10,NA,079BD,0006-3568,NA,agriculture,agriculture
WOS:000310866600009,Phosphorus Flows to and from Swedish Agriculture and Food Chain,AMBIO,8,41,883-893,DEC,2012,"Linderholm, Kersti | Mattsson, Jan Erik | Tillman, Anne-Marie",Fertilizer | Manure | Material flow analysis | Sewage sludge | Waste | Wastewater,10.1007/s13280-012-0294-1,NA,034IP,0044-7447,NA,agriculture,agriculture
WOS:000300528800003,Modeling an Improvement in Phosphorus Utilization in Tropical Agriculture,JOURNAL OF SUSTAINABLE AGRICULTURE,1-2,36,18-35,JAN-FEB,2012,"Edelstein, David M. | Tonjes, David J.",phosphorus | biochar | entropy | agricultural systems | nutrient cycles,10.1080/10440046.2011.627993,NA,895XA,1044-0046,NA,agriculture,agriculture
WOS:000366239100011,Phosphorus in the Agriculture,AGRARFORSCHUNG SCHWEIZ,6,6,294-296,JUN,2015,"Jarosch, Klaus",,NA,NA,CY2LC,1663-7852,NA,agriculture,agriculture
WOS:A1960WC79500017,POISONING FROM ORGANO-PHOSPHORUS COMPOUNDS USED IN AGRICULTURE AND HORTICULTURE,BMJ-BRITISH MEDICAL JOURNAL,JUL16,2,215-216,NA,1960,,,NA,NA,WC795,1756-1833,NA,agriculture,agriculture
WOS:A1982PC56800033,AGRICULTURE AND WATER-QUALITY IN THE CANADIAN GREAT-LAKES BASIN .3. PHOSPHORUS,JOURNAL OF ENVIRONMENTAL QUALITY,3,11,487-493,NA,1982,"MILLER, MH | ROBINSON, JB | COOTE, DR | SPIRES, AC | DRAPER, DW",,NA,NA,PC568,0047-2425,NA,agriculture,agriculture
WOS:000073528200004,Nitrogen and phosphorus losses from agriculture into surface waters; The effects of policies and measures in The Netherlands,WATER SCIENCE AND TECHNOLOGY,3,37,19-30,NA,1998,"Oenema, O | Roest, CWJ",agriculture | budgets | nitrogen | phosphorus | nutrient losses | controls | policy,NA,NA,ZM335,0273-1223,NA,agriculture,agriculture
WOS:000185292800004,Recycling of wastewater-derived phosphorus in Swedish agriculture - a proposal,WATER SCIENCE AND TECHNOLOGY,1,48,19-25,NA,2003,"Kvarnstrom, E | Schonning, C | Carlsson-Reich, M | Gustafsson, M | Enocksson, E",hygiene | nutrient recycling | phosphorus | regulation | sludge | wastewater,NA,NA,720ZP,0273-1223,NA,agriculture,agriculture
WOS:A1990EM73000008,A NOTE ON A BALANCE-SHEET APPROACH TO ESTIMATING THE PHOSPHORUS-FERTILIZER NEEDS OF AGRICULTURE,IRISH JOURNAL OF AGRICULTURAL RESEARCH,2,29,149-154,NA,1990,"TUNNEY, H",,NA,NA,EM730,0578-7483,NA,agriculture,agriculture
WOS:000436515100147,Phosphorus Fluxes from Three Coastal Watersheds under Varied Agriculture Intensities to the Northern Gulf of Mexico,WATER,6,10,,JUN,2018,"He, Songjie | Xu, Y. Jun",river biogeochemistry | total phosphorus | dissolved inorganic phosphorus | estuarine rivers | land use | Gulf of Mexico,10.3390/w10060816,NA,GK8XL,2073-4441,NA,agriculture,agriculture
WOS:000080458700022,Phosphorus,HOUILLE BLANCHE-REVUE INTERNATIONALE DE L EAU,3-4,54,121-131,NA,1999,"Balland, P",,NA,NA,199BC,0018-6368,NA,agriculture,agriculture
WOS:000256153100008,"Phosphorus release from agriculture to surface waters: past, present and future in China",WATER SCIENCE AND TECHNOLOGY,9,57,1355-1361,NA,2008,"Chen, M. | Chen, J.",agriculture | elementary unit | Eubolism | nutrient balance | phosphorus,10.2166/wst.2008.256,NA,305BP,0273-1223,NA,agriculture,agriculture
WOS:000078616500004,Best management practices to enable the coexistence of agriculture and the everglades environment,HORTSCIENCE,1,34,27-33,FEB,1999,"Izuno, FT | Rice, RW | Capone, LT",,NA,NA,167DC,0018-5345,NA,agriculture,agriculture
WOS:000388734500022,Managing Phosphorus in Polish Agriculture - Production and Environmental Aspects,POLISH JOURNAL OF ENVIRONMENTAL STUDIES,6,25,2461-2468,NA,2016,"Kopinski, Jerzy | Jurga, Beata",management of phosphorus | mineral fertilizers | soil resources | phosphorus balance | regional differentiation,10.15244/pjoes/64159,NA,ED3FI,1230-1485,NA,agriculture,agriculture
WOS:000347510700035,Magnitude of Nitrogen and Phosphorus Delivered to Baltic Sea via Polish Rivers,POLISH JOURNAL OF ENVIRONMENTAL STUDIES,6,23,2191-2198,NA,2014,"Sapek, Andrzej",Baltic Sea | water pollution | nitro gen load | phosphorus load | impact of agriculture,NA,NA,AY3WQ,1230-1485,NA,agriculture,agriculture
WOS:000379504900004,The phosphorus cost of agricultural intensification in the tropics,NATURE PLANTS,5,2,,MAY,2016,"Roy, Eric D. | Richards, Peter D. | Martinelli, Luiz A. | Della Coletta, Luciana | Machado Lins, Silvia Rafaela | Vazquez, Felipe Ferraz | Willig, Edwin | Spera, Stephanie A. | VanWey, Leah K. | Porder, Stephen",,10.1038/NPLANTS.2016.43,NA,DQ9BH,2055-026X,NA,agriculture,agriculture
WOS:000273127000003,Estimating costs and potentials of different methods to reduce the Swedish phosphorus load from agriculture to surface water,SCIENCE OF THE TOTAL ENVIRONMENT,3,408,473-479,JAN 1,2010,"Malmaeus, J. M. | Karlsson, O. M.",Phosphorus | Agriculture | Remedial measures | Cost | Potential,10.1016/j.scitotenv.2009.10.021,NA,537QA,0048-9697,NA,agriculture,agriculture
WOS:A1994NF87800009,MINIMIZING SURFACE-WATER EUTROPHICATION FROM AGRICULTURE BY PHOSPHORUS MANAGEMENT,JOURNAL OF SOIL AND WATER CONSERVATION,2,49,30-38,MAR-APR,1994,"DANIEL, TC | SHARPLEY, AN | EDWARDS, DR | WEDEPOHL, R | LEMUNYON, JL",,NA,NA,NF878,0022-4561,NA,agriculture,agriculture
WOS:000365602300007,Legacy phosphorus and no tillage agriculture in tropical oxisols of the Brazilian savanna,SCIENCE OF THE TOTAL ENVIRONMENT,NA,542,1050-1061,JAN 15,2016,"Rodrigues, Marcos | Pavinato, Paulo Sergio | Withers, Paul John Anthony | Bettoni Teles, Ana Paula | Bejarano Herrera, Wilfrand Ferney",Phosphorus fractionation | Inorganic P | Organic P | No tillage | Cerrado | Brazilian savanna,10.1016/j.scitotenv.2015.08.118,NA,CX3ME,0048-9697,NA,agriculture,agriculture
WOS:000185076100004,Legumes: Importance and constraints to greater use,PLANT PHYSIOLOGY,3,131,872-877,MAR,2003,"Graham, PH | Vance, CP",,10.1104/pp.017004,NA,717FM,0032-0889,NA,agriculture,agriculture
WOS:000291774600014,Understanding the anthropogenic phosphorus pathway with substance flow analysis at the city level,JOURNAL OF ENVIRONMENTAL MANAGEMENT,8,92,2021-2028,AUG,2011,"Yuan, Zengwei | Shi, Junkui | Wu, Huijun | Zhang, Ling | Bi, Jun",Chaohu | Industrial metabolism | Phosphorus | Substance flow analysis | Environmental management,10.1016/j.jenvman.2011.03.025,NA,779JT,0301-4797,NA,agriculture,agriculture
WOS:000166733100018,"Productivity of maize (Zea mays) as influenced by different levels of phosphorus, zinc and irrigation",INDIAN JOURNAL OF AGRICULTURAL SCIENCES,1,71,57-59,JAN,2001,"Arya, KC | Singh, SN",sustainable agriculture | plant nutrients | metabolism | water-use efficiency,NA,NA,398BD,0019-5022,NA,agriculture,agriculture
WOS:A1996UV52500011,"The supply of phosphorus from native, inorganic phosphorus pools in continuously cultivated Mexican agroecosystems",AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2-3,57,197-208,MAY,1996,"Crews, TE",particle size fractions | pH | phosphorus fractionation | soil weathering | sustainable agriculture,NA,NA,UV525,0167-8809,NA,agriculture,agriculture
