uid,title,journal,issue,volume,pages,date,year,authors,keywords,doi,article_no,isi_id,issn,isbn,environment,category
WOS:000072864900003,Comparison of brown trout (Salmo trutta) reared in fresh water and sea water to freshwater rainbow trout (Oncorhynchus mykiss): II. Phosphorus balance,AQUATIC LIVING RESOURCES,1,11,21-28,JAN-FEB,1998,"Dosdat, A | Metailler, R | Desbruyeres, E | Huelvan, C",phosphorus intake | digestibility | excretion | Salmo trutta | Oncorhynchus mykiss,NA,NA,ZF123,0990-7440,NA,freshwater,freshwater
WOS:000258218200005,Influence of soft rush (Juncus effusus) on phosphorus flux in grazed seasonal wetlands,ECOLOGICAL ENGINEERING,3-4,33,242-251,JUL 3,2008,"Tweel, Andrew W. | Bohlen, Patrick J.",phosphorus | grazing | cattle pastures | freshwater wetlands | eutrophication | redox potential,10.1016/j.ecoleng.2008.05.003,NA,334JN,0925-8574,NA,freshwater,freshwater
WOS:000398004200003,Estimation of the phosphorus loading with consideration for the planetary boundaries (for the Russian Federation as an example),PURE AND APPLIED CHEMISTRY,3,89,287-292,MAR,2017,"Tarasova, Natalia P. | Makarova, Anna S. | Vasileva, Evgeniya G. | Savelova, Diana D.",freshwater eutrophication | ICPC-21 | phosphorus | phosphorus loading | planetary boundaries | regional estimation | water quality,10.1515/pac-2016-0904,NA,EQ3WM,0033-4545,NA,freshwater,freshwater
WOS:A1992JY24600011,PHOSPHORUS RELEASE AND ASSIMILATORY CAPACITY OF 2 LOWER MISSISSIPPI VALLEY FRESH-WATER WETLAND SOILS,WATER RESOURCES BULLETIN,4,28,763-773,JUL-AUG,1992,"MASSCHELEYN, PH | PARDUE, JH | DELAUNE, RD | PATRICK, WH",WETLANDS | PHOSPHORUS | SORPTION | BIOGEOCHEMISTRY,NA,NA,JY246,0043-1370,NA,freshwater,freshwater
WOS:000241296700004,Responses of estuarine and coastal marine phytoplankton to nitrogen and phosphorus enrichment,LIMNOLOGY AND OCEANOGRAPHY,1,51,377-384,JAN,2006,"Smith, Val H.",,NA,NA,095GR,0024-3590,NA,freshwater,freshwater
WOS:000225441800004,Nutrient export from freshwater ecosystems by anadromous sockeye salmon (Oncorhynchus nerka),CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,9,61,1582-1589,SEP,2004,"Moore, JW | Schindler, DE",,10.1139/F04-103,NA,875SK,0706-652X,NA,freshwater,freshwater
WOS:A1994MZ68300007,GROWTH-KINETICS OF AEROMONAS-HYDROPHILA IN FRESH-WATERS SUPPLEMENTED WITH VARIOUS ORGANIC AND INORGANIC NUTRIENTS,WORLD JOURNAL OF MICROBIOLOGY & BIOTECHNOLOGY,2,10,159-164,MAR,1994,"RIPPEY, SR | TROY, MA | CABELLI, VJ",AEROMONAS-HYDROPHILA | FRESH-WATER | GROWTH | NUTRIENTS,NA,NA,MZ683,0959-3993,NA,freshwater,freshwater
WOS:000509620900028,"Dynamics of phosphorus fractions in surface soils of different flooding wetlands before and after flow-sediment regulation in the Yellow River Estuary, China",JOURNAL OF HYDROLOGY,NA,580,,JAN,2020,"Bai, Junhong | Yu, Lu | Ye, Xiaofei | Yu, Zibo | Wang, Dawei | Guan, Yanan | Cui, Baoshan | Liu, Xinhui",Phosphorus fractions | Influencing factors | Flow-sediment regulation | Freshwater input | Estuarine wetlands,10.1016/j.jhydrol.2019.124256,NA,KG0GY,0022-1694,NA,freshwater,freshwater
WOS:A1995RE33000019,VIRAL ABUNDANCE IN AQUATIC SYSTEMS - A COMPARISON BETWEEN MARINE AND FRESH-WATERS,MARINE ECOLOGY PROGRESS SERIES,1-3,121,217-226,MAY,1995,"MARANGER, R | BIRD, DF",VIRUS | BACTERIA | CHLOROPHYLL A | BACTERIAL PRODUCTION | MARINE | FRESH-WATER | EMPIRICAL RELATIONSHIPS,NA,NA,RE330,0171-8630,NA,freshwater,freshwater
WOS:A1990EW45800002,NUTRIENT DYNAMICS AND PELAGIC FOOD WEB INTERACTIONS IN OLIGOTROPHIC AND EUTROPHIC ENVIRONMENTS - AN OVERVIEW,HYDROBIOLOGIA,NA,207,1-14,NOV 22,1990,"CAPBLANCQ, J",TROPHIC STATE | NUTRIENT CYCLING | PHYTOPLANKTON DYNAMICS | BACTERIA | ZOOPLANKTON | FRESH AND MARINE WATERS,NA,NA,EW458,0018-8158,NA,freshwater,freshwater
WOS:000088389100007,Chemical composition and biomass parameters of a population of Craspedacusta sowerbii Lank1880 (Cnidaria : Limnomedusa),JOURNAL OF PLANKTON RESEARCH,7,22,1329-1340,JUL,2000,"Jankowski, T",,NA,NA,337XT,0142-7873,NA,freshwater,freshwater
WOS:000416524200011,The rise and fall of dissolved phosphate in South African rivers,SOUTH AFRICAN JOURNAL OF SCIENCE,11-12,113,57-63,NOV-DEC,2017,"Griffin, Neil J.",eutrophication | nutrients | fresh water | pollution,10.17159/sajs.2017/20170020,NA,FO1MA,0038-2353,NA,freshwater,freshwater
WOS:A1992HZ33700031,P-31-NMR ANALYSIS OF PHOSPHOLOMBRICINE AND OTHER PHOSPHORUS-CONTAINING METABOLITES IN SELECTED FRESH-WATER AND TERRESTRIAL OLIGOCHAETES,COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY B-BIOCHEMISTRY & MOLECULAR BIOLOGY,2,102,389-396,JUN,1992,"BROWN, GG | DREWES, CD",,NA,NA,HZ337,1096-4959,NA,freshwater,freshwater
WOS:000183246200013,Annual variation of fresh water quality in the Gachang Dam reservoir,KOREAN JOURNAL OF CHEMICAL ENGINEERING,3,20,487-491,MAY,2003,"Park, JK | Kim, SK",algae population | freshwater | Gachang Dam | total nitrogen | total phosphorus,NA,NA,685DU,0256-1115,NA,freshwater,freshwater
WOS:000404621000013,Decline in Chinese lake phosphorus concentration accompanied by shift in sources since 2006,NATURE GEOSCIENCE,7,10,507-+,JUL,2017,"Tong, Yindong | Zhang, Wei | Wang, Xuejun | Couture, Raoul-Marie | Larssen, Thorjorn | Zhao, Yue | Li, Jing | Liang, Huijiao | Liu, Xueyan | Bu, Xiaoge | He, Wei | Zhang, Qianggong | Lin, Yan",,10.1038/NGEO2967,NA,EZ3OT,1752-0894,NA,freshwater,freshwater
WOS:000336246500007,Improving automated phosphorus measurements in freshwater: an analytical approach to eliminating silica interference,LIMNOLOGY AND OCEANOGRAPHY-METHODS,NA,12,223-231,APR,2014,"Koenig, Lauren E. | Baumann, Adam J. | McDowell, William H.",,10.4319/lom.2014.12.223,NA,AH6NB,1541-5856,NA,freshwater,freshwater
WOS:000494828300008,"Bacterial community structure and response to nitrogen amendments in Lake Shenandoah (VA, USA)",WATER SCIENCE AND TECHNOLOGY,4,80,675-684,AUG 15,2019,"Reynoso, G. | Smith, M. R. | Holmes, C. P., II | Keelan, C. R. | McGrath, S. E. | Alvarez, G. H. | Coceano, M. A. | Eldridge, K. A. | Fried, H., I | Gilbert, N. E. | Harris, M. T. | Kohler, L. R. | Modolo, C. M. | Murray, E. A. | Polisetti, S. M. | Sales, D. J. | Walsh, E. S. | Steffen, M. M.",bacterial community | lake | nitrogen,10.2166/wst.2019.311,NA,JK4QI,0273-1223,NA,freshwater,freshwater
WOS:000413378400075,"Phosphorus sorption-desorption and effects of temperature, pH and salinity on phosphorus sorption in marsh soils from coastal wetlands with different flooding conditions",CHEMOSPHERE,NA,188,677-688,DEC,2017,"Bai, Junhong | Ye, Xiaofei | Jia, Jia | Zhang, Guangliang | Zhao, Qingqing | Cui, Baoshan | Liu, Xinhui",Phosphorus sorption capacity | Isotherm models | Phosphorus forms | Freshly adsorbed phosphorus | Calcareous soils,10.1016/j.chemosphere.2017.08.117,NA,FK3II,0045-6535,NA,freshwater,freshwater
WOS:A1995RW86700023,PHOSPHORUS AND NITROGEN LIMITATION OF PRIMARY PRODUCTION IN A SIMULATED ESTUARINE GRADIENT,MARINE ECOLOGY PROGRESS SERIES,1-3,124,271-287,AUG,1995,"DOERING, PH | OVIATT, CA | NOWICKI, BL | KLOS, EG | REED, LW",ESTUARIES | PRIMARY PRODUCTION | NUTRIENT LIMITATION | NITROGEN | PHOSPHORUS,NA,NA,RW867,0171-8630,NA,freshwater,freshwater
WOS:000390734100066,"Dynamic characteristics of sulfur, iron and phosphorus in coastal polluted sediments, north China",ENVIRONMENTAL POLLUTION,NA,219,588-595,DEC,2016,"Sun, Qiyao | Sheng, Yanqing | Yang, Jian | Di Bonito, Marcello | Mortimer, Robert J. G.",Sulfur | Iron | Phosphorus | Sediment | DGT,10.1016/j.envpol.2016.06.019,NA,EG0PG,0269-7491,NA,freshwater,freshwater
WOS:000256498500015,Changes in phosphorus biogeochemistry along an estuarine salinity gradient: The iron conveyer belt,LIMNOLOGY AND OCEANOGRAPHY,1,53,172-184,JAN,2008,"Jordan, Thomas E. | Cornwell, Jeffrey C. | Boynton, Walter R. | Anderson, Jon T.",,NA,NA,309ZK,0024-3590,NA,freshwater,freshwater
WOS:000178252700031,Nutrients related to the hydrologic regime in the coastal lagoons of Viladecans (NE Spain),HYDROBIOLOGIA,1,475,413-422,MAY,2002,"Lucena, JR | Hurtado, J | Comin, FA",coastal lagoons | eutrophication | phosphorus loading | water quality management,NA,NA,598AJ,0018-8158,NA,freshwater,freshwater
WOS:000229594600001,A new perspective on the importance of marine-derived nutrients to threatened stocks of Pacific salmon (Oncorhynchus spp.),CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,5,62,961-964,MAY,2005,"Scheuerell, MD | Levin, PS | Zabel, RW | Williams, JG | Sanderson, BL",,10.1139/F05-113,NA,932ZX,0706-652X,NA,freshwater,freshwater
WOS:A1992HW62500003,ULTIMOBRANCHIAL BODY AND PARATHYROID-GLANDS OF THE FRESH-WATER SNAKE NATRIX-PISCATOR IN RESPONSE TO VITAMIN-D3 ADMINISTRATION,JOURNAL OF EXPERIMENTAL ZOOLOGY,3,262,255-262,JUN 1,1992,"SRIVASTAV, AK | RANI, L",,NA,NA,HW625,0022-104X,NA,freshwater,freshwater
WOS:A1981LL00500017,PHOSPHORUS DYNAMICS OF A FLORIDA FRESH-WATER MARSH RECEIVING TREATED WASTE-WATER,JOURNAL OF APPLIED ECOLOGY,1,18,205-219,NA,1981,"DOLAN, TJ | BAYLEY, SE | ZOLTEK, J | HERMANN, AJ",,NA,NA,LL005,0021-8901,NA,freshwater,freshwater
WOS:000171077400008,Nutrient and energy content of freshwater fishes,JOURNAL OF APPLIED ICHTHYOLOGY,3,17,142-144,JUN,2001,"Schreckenbach, K | Knosche, R | Ebert, K",,NA,NA,473YQ,0175-8659,NA,freshwater,freshwater
WOS:A1988P014700051,ON NONAPATITE PHOSPHORUS OF FRESH-WATER SEDIMENTS,DOKLADY AKADEMII NAUK SSSR,4,300,961-964,NA,1988,"MARTYNOVA, MV",,NA,NA,P0147,0002-3264,NA,freshwater,freshwater
WOS:000249866100018,Dissolved phosphorus levels in fresh municipal wastewater,JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART A-TOXIC/HAZARDOUS SUBSTANCES & ENVIRONMENTAL ENGINEERING,11,42,1681-1683,NA,2007,"Sallanko, Jarmo T. | Sarpola, Arja T.",wastewater | phosphorus | solubility | municipal wastewater | mobilization | dissolving,10.1080/10934520701518257,NA,216GI,1093-4529,NA,freshwater,freshwater
WOS:000340945300004,"Effect of water column phosphorus reduction on competitive outcome and traits of Ludwigia grandiflora and L. peploides, invasive species in Europe",AQUATIC INVASIONS,2,9,157-166,JUN,2014,"Gerard, Joelle | Brion, Natacha | Triest, Ludwig",macrophyte | alien | eutrophication | growth | freshwater | competition | RGR,10.3391/ai.2014.9.2.04,NA,AN9RK,1798-6540,NA,freshwater,freshwater
WOS:000392946900037,Phosphate and ATP uptake by lake bacteria: does taxonomical identity matter?,ENVIRONMENTAL MICROBIOLOGY,12,18,4782-4793,DEC,2016,"Rofner, Carina | Sommaruga, Ruben | Perez, Maria Teresa",,10.1111/1462-2920.13368,NA,EJ1CD,1462-2912,NA,freshwater,freshwater
WOS:000264957700008,Anadromous alewives (Alosa pseudoharengus) contribute marine-derived nutrients to coastal stream food webs,CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,3,66,439-448,MAR,2009,"Walters, Annika W. | Barnes, Rebecca T. | Post, David M.",,10.1139/F09-008,NA,429ZD,0706-652X,NA,freshwater,freshwater
WOS:000175937500008,Nitrogen in aquatic ecosystems,AMBIO,2,31,102-112,MAR,2002,"Rabalais, NN",,10.1579/0044-7447-31.2.102,NA,557YW,0044-7447,NA,freshwater,freshwater
WOS:A1992HT40500004,ARSENIC INTRODUCED INTO A LITTORAL FRESH-WATER MODEL ECOSYSTEM,SCIENCE OF THE TOTAL ENVIRONMENT,3,115,219-237,APR 30,1992,"REUTHER, R",ARSENIC | PHOSPHORUS | MODEL ECOSYSTEM | FRESH-WATER | ECOTOXICOLOGY,NA,NA,HT405,0048-9697,NA,freshwater,freshwater
WOS:000174055500009,Phosphorus bioavailability monitoring by a bioluminescent cyaniobacterial sensor strain,JOURNAL OF PHYCOLOGY,1,38,107-115,FEB,2002,"Gillor, O | Hadas, O | Post, AF | Belkin, S",alkaline phosphatase | biolummiescence | phoA | phosphorus bioavailability | phytoplankton | Synechococcus sp PCC 7942,NA,NA,525EJ,0022-3646,NA,freshwater,freshwater
WOS:A1986E626500014,IS PROTEOLYSIS DEPENDENT ON PHOSPHORUS IN FRESH-WATER,FEMS MICROBIOLOGY LETTERS,2,37,199-202,NOV,1986,"CHROST, RJ | HALEMEJKO, GZ | OVERBECK, J",,NA,NA,E6265,0378-1097,NA,freshwater,freshwater
WOS:000225482800017,"An authigenic iron phosphate phase in estuarine sediments: composition, formation and chemical reactivity",MARINE CHEMISTRY,1-4,91,227-251,NOV 15,2004,"Hyacinthe, C | Van Cappellen, P",phosphorus | iron | early diagenesis | chemical extractions | microprobe | environmental mineralogy,10.1016/j.marchem.2004.04.006,NA,876FV,0304-4203,NA,freshwater,freshwater
WOS:A1992JM30800050,DISSOLVED REACTIVE PHOSPHORUS RELEASE FROM SEDIMENTS BENEATH A FRESH-WATER CAGE AQUACULTURE DEVELOPMENT IN WEST SCOTLAND,HYDROBIOLOGIA,NA,235,569-572,JUL 17,1992,"KELLY, LA",DISSOLVED REACTIVE PHOSPHORUS | AQUACULTURE | NUTRIENT CYCLING,NA,NA,JM308,0018-8158,NA,freshwater,freshwater
WOS:000442690600005,Nutrient modeling of an urban lake using best subset method,INTERNATIONAL JOURNAL OF ENVIRONMENTAL SCIENCE AND TECHNOLOGY,9,15,1867-1878,SEP,2018,"Biswas, J. K. | Bera, B. | Chanda, R. | Sarkar, S. K. | Majumdar, J. | Majumder, S. | Hazra, S.",Nutrient modeling | Saheb Bundh Lake | Phosphorus | Nitrogen | Productivity | Best subset method | Cultural eutrophication,10.1007/s13762-017-1540-7,NA,GR5PX,1735-1472,NA,freshwater,freshwater
WOS:A1983QT11200004,COMPETITION FOR PHOSPHORUS AMONG CO-OCCURRING FRESH-WATER PHYTOPLANKTON,LIMNOLOGY AND OCEANOGRAPHY,3,28,448-464,NA,1983,"SMITH, REH | KALFF, J",,NA,NA,QT112,0024-3590,NA,freshwater,freshwater
WOS:000298226700030,Shifts in the relative availability of phosphorus and nitrogen along estuarine salinity gradients,BIOGEOCHEMISTRY,1-3,107,489-500,FEB,2012,"Hartzell, Jeanne L. | Jordan, Thomas E.",Phosphorus | Salinity | Pore water | Iron | Estuaries | Nitrogen,10.1007/s10533-010-9548-9,NA,864GV,0168-2563,NA,freshwater,freshwater
WOS:A1985AKB6300029,MECHANISMS CONTROLLING PHOSPHORUS RETENTION CAPACITY IN FRESH-WATER WETLANDS,SCIENCE,4706,228,1424-1427,NA,1985,"RICHARDSON, CJ",,NA,NA,AKB63,0036-8075,NA,freshwater,freshwater
