uid,title,journal,issue,volume,pages,date,year,authors,keywords,doi,article_no,isi_id,issn,isbn,environment,category
WOS:A1979HW94400009,PHOSPHORUS IN MARINE AND NON-MARINE HUMIC SUBSTANCES,GEOCHIMICA ET COSMOCHIMICA ACTA,12,43,1973-1978,NA,1979,"NISSENBAUM, A",,NA,NA,HW944,0016-7037,NA,marine,marine
WOS:000329906200025,Utilization of phosphate diesters by phosphodiesterase-producing marine diatoms,JOURNAL OF PLANKTON RESEARCH,1,36,281-285,JAN-FEB,2014,"Yamaguchi, Haruo | Arisaka, Hiroshi | Otsuka, Naoki | Tomaru, Yuji",marine diatoms | phosphate diester | phosphodiesterase | phosphorus,10.1093/plankt/fbt091,NA,292MO,0142-7873,NA,marine,marine
WOS:000087822200014,Apatite weathering and the Phanerozoic phosphorus cycle,GEOLOGY,7,28,631-634,JUL,2000,"Guidry, MW | Mackenzie, FT",phosphorus | apatite | weathering | marine productivity,NA,NA,327YN,0091-7613,NA,marine,marine
WOS:000298872300003,Phosphorus sorption on marine carbonate sediment: Phosphonate as Model Organic Compounds,CHEMOSPHERE,8,85,1227-1232,NOV,2011,"Huang, Xiao-Lan | Zhang, Jia-Zhong",Phosphonate | Phosphorus | Marine sediment | Seawater | Sorption | Phosphate,10.1016/j.chemosphere.2011.07.016,NA,873HS,0045-6535,NA,marine,marine
WOS:A1973O546000009,PHOSPHORUS IN MARINE ZOOPLANKTON,WATER RESEARCH,1-2,7,93-110,NA,1973,"CORNER, EDS",,NA,NA,O5460,0043-1354,NA,marine,marine
WOS:A1982NL33100004,THE MARINE PHOSPHORUS CYCLE,AMERICAN JOURNAL OF SCIENCE,4,282,474-511,NA,1982,"FROELICH, PN | BENDER, ML | LUEDTKE, NA | HEATH, GR | DEVRIES, T",,NA,NA,NL331,0002-9599,NA,marine,marine
WOS:A1991FZ57000011,ALKALINE-PHOSPHATASE ACTIVITY OF PARTICULATE MATTER AS AN INTENSITY INDEX OF PRODUCTION-DESTRUCTION PROCESSES OF SEA-COAST MARINE ECOSYSTEMS,IZVESTIYA AKADEMII NAUK SSSR SERIYA BIOLOGICHESKAYA,3,NA,421-429,MAY-JUN,1991,"AGATOVA, AI | LAPINA, NM | SAPOZNIKOV, VV",,NA,NA,FZ570,0002-3329,NA,marine,marine
WOS:000427917700004,Phosphate insensitive aminophosphonate mineralisation within oceanic nutrient cycles,ISME JOURNAL,4,12,973-980,APR,2018,"Chin, Jason P. | Quinn, John P. | McGrath, John W.",,10.1038/s41396-017-0031-7,NA,FZ9GJ,1751-7362,NA,marine,marine
WOS:000447105300005,Complete genome sequence of Erythrobacter seohaensis SW-135(T) sheds light on the ecological role of the genus Erythrobacter for phosphorus cycle in the marine environment,MARINE GENOMICS,NA,40,21-24,JUL,2018,"Xu, Lin | Wu, Yue-Hong | Cheng, Hong | Sun, Cong | Han, Bing-Nan | Xu, Xue-Wei",Erythrobacter | Marine environment | Phosphorus cycle | Alkaline phosphatase | phoD | phoX,10.1016/j.margen.2018.03.001,NA,GW6WN,1874-7787,NA,marine,marine
WOS:A1970G029000002,DISSOLVED ORGANIC PHOSPHORUS EXCRETION BY MARINE PHYTOPLANKTON,JOURNAL OF PHYCOLOGY,1,6,7-&,NA,1970,"KUENZLER, EJ",,NA,NA,G0290,0022-3646,NA,marine,marine
WOS:A1987H723800002,ORGANIC PHOSPHORUS AND CARBON IN MARINE-SEDIMENTS,AMERICAN JOURNAL OF SCIENCE,5,287,429-441,MAY,1987,"MACH, DL | RAMIREZ, A | HOLLAND, HD",,NA,NA,H7238,0002-9599,NA,marine,marine
WOS:000255454300042,Marine polyphosphate: A key player in geologic phosphorus sequestration,SCIENCE,5876,320,652-655,MAY 2,2008,"Diaz, Julia | Ingall, Ellery | Benitez-Nelson, Claudia | Paterson, David | de Jonge, Martin D. | McNulty, Ian | Brandes, Jay A.",,10.1126/science.1151751,NA,295DD,0036-8075,NA,marine,marine
WOS:000432723000012,Nitrogen and phosphorus treatment of marine wastewater by a laboratory-scale sequencing batch reactor with eco-friendly marine high-efficiency sediment,ENVIRONMENTAL TECHNOLOGY,13,39,1721-1732,NA,2018,"Cho, Seonghyeon | Kim, Jinsoo | Kim, Sungchul | Lee, Sang-Seob",Biological marine wastewater treatment | nitrogen and phosphorus removal | marine bacteria | eco-friendly marine sediment sludge | land-based fish farms | sequencing batch reactor,10.1080/09593330.2017.1337234,NA,GG5GG,0959-3330,NA,marine,marine
WOS:000285636500001,Phosphorus imbalance in the global ocean?,GLOBAL BIOGEOCHEMICAL CYCLES,NA,24,,DEC 21,2010,"Wallmann, Klaus",,10.1029/2009GB003643,NA,699AO,0886-6236,NA,marine,marine
WOS:A1984TW20700001,PHOSPHORUS VERSUS NITROGEN LIMITATION IN THE MARINE-ENVIRONMENT,LIMNOLOGY AND OCEANOGRAPHY,6,29,1149-1160,NA,1984,"SMITH, SV",,NA,NA,TW207,0024-3590,NA,marine,marine
WOS:000456553400015,Silicon increases the phosphorus availability of Arctic soils,SCIENTIFIC REPORTS,NA,9,,JAN 24,2019,"Schaller, Joerg | Faucherre, Samuel | Joss, Hanna | Obst, Martin | Goeckede, Mathias | Planer-Friedrich, Britta | Peiffer, Stefan | Gilfedder, Benjamin | Elberling, Bo",,10.1038/s41598-018-37104-6,NA,HI6GY,2045-2322,NA,marine,marine
WOS:A1971I688900017,"NITROGEN,PHOSPHORUS, AND EUTROPHICATION IN COASTAL MARINE ENVIRONMENT",SCIENCE,3975,171,1008-&,NA,1971,"RYTHER, JH | DUNSTAN, WM",,NA,NA,I6889,0036-8075,NA,marine,marine
WOS:A1965CLA5300018,RESPIRATION AND PHOSPHORUS EXCRETION IN SOME MARINE POPULATIONS,ECOLOGY,6,46,877-881,NA,1965,"SATOMI, M | POMEROY, LR",,NA,NA,CLA53,0012-9658,NA,marine,marine
WOS:A1987G788000004,LOW PHOSPHORUS SEDIMENTS IN A HYPERSALINE MARINE BAY,ESTUARINE COASTAL AND SHELF SCIENCE,3,24,335-347,MAR,1987,"ATKINSON, MJ",,NA,NA,G7880,0272-7714,NA,marine,marine
