uid,title,journal,issue,volume,pages,date,year,authors,keywords,doi,article_no,isi_id,issn,isbn,environment,category
WOS:000394399800030,Ocean acidification: One potential driver of phosphorus eutrophication,MARINE POLLUTION BULLETIN,1-2,115,149-153,FEB 15,2017,"Ge, Changzi | Chai, Yanchao | Wang, Haiqing | Kan, Manman",Eutrophication | Exchangeable phosphorus | Inorganic phosphorus | Ocean acidification,10.1016/j.marpolbul.2016.12.016,NA,EL1RX,0025-326X,NA,ocean,marine
WOS:000224785100008,"Open ocean originated phosphorus and nitrogen in the Seto Inland Sea, Japan",JOURNAL OF OCEANOGRAPHY,6,60,1001-1005,DEC,2004,"Yanagi, T | Ishii, D",phosphorus | nitrogen | residence time | nutrient load,NA,NA,866PJ,0916-8370,NA,ocean,marine
WOS:A1996TR32200038,Redox stabilization of the atmosphere and oceans by phosphorus-limited marine productivity,SCIENCE,5248,271,493-496,JAN 26,1996,"VanCappellen, P | Ingall, ED",,NA,NA,TR322,0036-8075,NA,ocean,marine
WOS:000169742100007,Global hydrological cycle and geochemical balance of phosphorus in the ocean,OCEANOLOGY,3,41,360-366,MAY-JUN,2001,"Savenko, VS",,NA,NA,450KM,0001-4370,NA,ocean,marine
WOS:000315093000019,Glacial-interglacial variability in ocean oxygen and phosphorus in a global biogeochemical model,BIOGEOSCIENCES,2,10,945-958,NA,2013,"Palastanga, V. | Slomp, C. P. | Heinze, C.",,10.5194/bg-10-945-2013,NA,092BE,1726-4170,NA,ocean,marine
WOS:000285636500001,Phosphorus imbalance in the global ocean?,GLOBAL BIOGEOCHEMICAL CYCLES,NA,24,,DEC 21,2010,"Wallmann, Klaus",,10.1029/2009GB003643,NA,699AO,0886-6236,NA,ocean,marine
WOS:000352804300027,Atmospheric deposition of phosphorus to the Northern Indian Ocean,CURRENT SCIENCE,7,108,1300-1305,APR 10,2015,"Srinivas, Bikkina | Sarin, M. M.",Air-sea deposition | aerosol-P | atmospheric deposition | Northern Indian Ocean,NA,NA,CF8JL,0011-3891,NA,ocean,marine
WOS:000429498100008,Archean phosphorus liberation induced by iron redox geochemistry,NATURE COMMUNICATIONS,NA,9,,APR 9,2018,"Herschy, Barry | Chang, Sae Jung | Blake, Ruth | Lepland, Aivo | Abbott-Lyon, Heather | Sampson, Jacqueline | Atlas, Zachary | Kee, Terence P. | Pasek, Matthew A.",,10.1038/s41467-018-03835-3,NA,GC0WH,2041-1723,NA,ocean,marine
WOS:000352095800010,"Iron oxides, divalent cations, silica, and the early earth phosphorus crisis",GEOLOGY,2,43,135-138,FEB,2015,"Jones, C. | Nomosatryo, S. | Crowe, S. A. | Bjerrum, C. J. | Canfield, D. E.",,10.1130/G36044.1,NA,CE8ME,0091-7613,NA,ocean,marine
WOS:000418002000055,Biomass recycling and Earth's early phosphorus cycle,SCIENCE ADVANCES,11,3,,NOV,2017,"Kipp, Michael A. | Stueken, Eva E.",,10.1126/sciadv.aao4795,NA,FP9XG,2375-2548,NA,ocean,marine
WOS:A1994QG31100005,"BENTHIC PHOSPHORUS REGENERATION, NET PRIMARY PRODUCTION, AND OCEAN ANOXIA - A MODEL OF THE COUPLED MARINE BIOGEOCHEMICAL CYCLES OF CARBON AND PHOSPHORUS",PALEOCEANOGRAPHY,5,9,677-692,OCT,1994,"VANCAPPELLEN, P | INGALL, ED",,NA,NA,QG311,0883-8305,NA,ocean,marine
WOS:000167202800019,Phosphorus in the ocean and the Earth's climate,OCEANOLOGY,1,41,133-141,JAN-FEB,2001,"Baturin, GN",,NA,NA,406EW,0001-4370,NA,ocean,marine
WOS:A1988P775300007,ORGANIC PHOSPHORUS IN THE PACIFIC-OCEAN,OKEANOLOGIYA,4,28,571-576,JUL-AUG,1988,"SAPOZHNIKOV, VV",,NA,NA,P7753,0030-1574,NA,ocean,marine
WOS:000261144100001,"Evidence for the linked biogeochemical cycling of zinc, cobalt, and phosphorus in the western North Atlantic Ocean",GLOBAL BIOGEOCHEMICAL CYCLES,4,22,,NOV 22,2008,"Jakuba, R. Wisniewski | Moffett, J. W. | Dyhrman, S. T.",,10.1029/2007GB003119,NA,375WI,0886-6236,NA,ocean,marine
WOS:000083913600043,"Oceanography - Iron, nitrogen and phosphorus in the ocean",NATURE,6760,402,372-372,NOV 25,1999,"Cullen, JJ",,NA,NA,259VA,0028-0836,NA,ocean,marine
WOS:A1986C696100007,PHOSPHORUS IN SEDIMENTS OF THE INDIAN-OCEAN,GEOKHIMIYA,5,NA,636-644,MAY,1986,"BATURIN, GN | SEVASTYANOVA, ES",,NA,NA,C6961,0016-7525,NA,ocean,marine
WOS:A1987M262300018,PLANKTONIC ANIMALS AND PHOSPHORUS REGENERATION IN THE OCEAN,OKEANOLOGIYA,6,27,980-984,NOV-DEC,1987,"LEBEDEVA, LP",,NA,NA,M2623,0030-1574,NA,ocean,marine
WOS:000208863600281,"The ""White Ocean"" hypothesis: a late Pleistocene Southern Ocean governed by coccolithophores and driven by phosphorus",FRONTIERS IN MICROBIOLOGY,NA,3,,NA,2012,"Flores, Jose-Abel | Filippelli, Gabriel M. | Sierro, Francisco J. | Latimer, Jennifer",Southern Ocean | Pleistocene | coccolithophores | phosphorus | paleoecology | paleoproductivity | geo-chemistry | ocean drilling program,10.3389/fmicb.2012.00233,NA,V31DF,1664-302X,NA,ocean,marine
WOS:000083913600044,"Oceanography - Iron, nitrogen and phosphorus in the ocean - Reply",NATURE,6760,402,372-372,NOV 25,1999,"Tyrrell, T",,NA,NA,259VA,0028-0836,NA,ocean,marine
WOS:A1993LY81200007,ACTIVATION OF NITRATE UPTAKE DUE TO PHOSPHATE ADDITION IN THE WATERS OF THE TROPICAL ATLANTIC-OCEAN,COMPTES RENDUS DE L ACADEMIE DES SCIENCES SERIE III-SCIENCES DE LA VIE-LIFE SCIENCES,8,316,740-744,AUG,1993,"RAIMBAULT, P | PUJOPAY, M",NITRATE UPTAKE | PHOSPHATE LIMITATION | ATLANTIC OCEAN,NA,NA,LY812,0764-4469,NA,ocean,marine
WOS:A1974U353800002,PHOSPHORUS IN SEDIMENTS OF NORTHWESTERN PART OF PACIFIC OCEAN,GEOKHIMIYA,9,NA,1297-1309,NA,1974,"VOLKOV, II | SEVASTYA.ES | YAGODINS.TA",,NA,NA,U3538,0016-7525,NA,ocean,marine
WOS:A1955WZ73500002,THE SIGNIFICANCE OF ORGANIC PHOSPHORUS DETERMINATIONS IN OCEAN WATERS,DEEP-SEA RESEARCH,3,2,172-181,NA,1955,"KETCHUM, BH | CORWIN, N | KEEN, DJ",,NA,NA,WZ735,NA,NA,ocean,marine
WOS:000354428700039,Major role of planktonic phosphate reduction in the marine phosphorus redox cycle,SCIENCE,6236,348,783-785,MAY 15,2015,"Van Mooy, B. A. S. | Krupke, A. | Dyhrman, S. T. | Fredricks, H. F. | Frischkorn, K. R. | Ossolinski, J. E. | Repeta, D. J. | Rouco, M. | Seewald, J. D. | Sylva, S. P.",,10.1126/science.aaa8181,NA,CI0LN,0036-8075,NA,ocean,marine
WOS:A1981MC71200011,PHOSPHORUS RESERVES IN THE EUPHOTIC LAYER OF THE PACIFIC-OCEAN,OKEANOLOGIYA,4,21,639-644,NA,1981,"SAPOZHNIKOV, VV",,NA,NA,MC712,0030-1574,NA,ocean,marine
WOS:A1996WL01900029,Atmospheric part of phosphorus geochemical balance in the modern ocean,DOKLADY AKADEMII NAUK,3,350,390-392,SEP,1996,"Savenko, VS",,NA,NA,WL019,0869-5652,NA,ocean,marine
WOS:000257984500012,Phosphorus cycling in the North and South Atlantic Ocean subtropical gyres,NATURE GEOSCIENCE,7,1,439-443,JUL,2008,"Mather, Rhiannon L. | Reynolds, Sarah E. | Wolff, George A. | Williams, Richard G. | Torres-Valdes, Sinhue | Woodward, E. Malcolm S. | Landolfi, Angela | Pan, Xi | Sanders, Richard | Achterberg, Eric P.",,10.1038/ngeo232,NA,331AG,1752-0894,NA,ocean,marine
WOS:A1985AUV4800009,PHOSPHORUS-METABOLISM IN PLANKTONIC COMMUNITIES OF THE EASTERN TROPICAL PACIFIC-OCEAN,MARINE ECOLOGY PROGRESS SERIES,1-2,27,87-97,NA,1985,"SOROKIN, YI",,NA,NA,AUV48,0171-8630,NA,ocean,marine
WOS:A1988M149700010,THE EFFECT OF PHOSPHORUS ON NITROGEN LEVELS IN OCEAN WATER,KEMISK TIDSKRIFT,2,100,40-&,FEB,1988,"SODERSTROM, J",,NA,NA,M1497,0039-6605,NA,ocean,marine
WOS:000386912700057,"The plumbing of the global biological pump: Efficiency control through leaks, pathways, and time scales",JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS,8,121,6367-6388,AUG,2016,"Pasquier, Benoit | Holzer, Mark",,10.1002/2016JC011821,NA,EA8TU,2169-9275,NA,ocean,marine
