uid,title,journal,issue,volume,pages,date,year,authors,keywords,doi,article_no,isi_id,issn,isbn,environment,category
WOS:000378865400031,Analysis of phosphorus import characteristics of the upstream input rivers of Three Gorges Reservoir,ENVIRONMENTAL EARTH SCIENCES,12,75,,JUN,2016,"Han, Chaonan | Zheng, Binghui | Qin, Yanwen | Ma, Yingqun | Cao, Wei | Yang, Chenchen | Liu, Zhichao",The Yangtze River | The Jialing River | The Wu River | Three Gorges Reservoir | Phosphorus fraction | Suspended particulate,10.1007/s12665-016-5832-x,NA,DQ0CI,1866-6280,NA,river,freshwater
WOS:000283045600007,"Phosphorus Speciation in the Surface Sediment and River Water from the Orontes (Asi) River, Turkey",WATER ENVIRONMENT RESEARCH,11,82,2265-2271,NOV,2010,"Aydin, Isil | Aydin, Firat | Hamamci, Candan",sequential exraction | surface sediment | phosphorus | speciation | Orontes River | river water,10.2175/106143010X12609736967206,NA,665OP,1061-4303,NA,river,freshwater
WOS:000235900300016,"The research of phosphorus of Xiangxi River nearby the Three Gorges, China",ENVIRONMENTAL GEOLOGY,6,49,923-928,MAR,2006,"Fu, CY | Fang, T | Deng, N",phosphorus | sediment | adsorption and release | Xiangxi River | Three Gorges | China,10.1007/s00254-005-0124-x,NA,020HU,0943-0105,NA,river,freshwater
WOS:000490028900057,Distribution of phosphorus species and their release risks in the surface sediments from different reaches along Yellow River,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,27,26,28202-28209,SEP,2019,"Peng, Yuheng | Tian, Chuchen | Chi, Mengxue | Yang, Hongwei",Surface sediments | Phosphorus species | Yellow River | Release risks,10.1007/s11356-019-06026-9,NA,JD5NE,0944-1344,NA,river,freshwater
WOS:A1995TK41500003,Runoff loadings and chemical forms of soil phosphorus from rivers in Japan during the high flow stages,JARQ-JAPAN AGRICULTURAL RESEARCH QUARTERLY,4,29,223-229,OCT,1995,"Tanaka, K",fisheries | soil erosion | suspended matter | eutrophication of marine environments,NA,NA,TK415,0021-3551,NA,river,freshwater
WOS:000448224900007,Phosphorus retention along a typical urban landscape river with a series of rubber dams,JOURNAL OF ENVIRONMENTAL MANAGEMENT,NA,228,55-64,DEC 15,2018,"Bao, Linlin | Li, Xuyong | Cheng, Peng",Urban landscape river | Dam construction | Phosphorus retention rate | Dissolved reactive phosphorus | Particulate phosphorus,10.1016/j.jenvman.2018.09.019,NA,GY0PX,0301-4797,NA,river,freshwater
WOS:000448462700137,Spatial Variations in the Abundance and Chemical Speciation of Phosphorus across the River-Sea Interface in the Northern Beibu Gulf,WATER,8,10,,AUG,2018,"Yang, Bin | Kang, Zhen-Jun | Lu, Dong-Liang | Dan, Solomon Felix | Ning, Zhi-Ming | Lan, Wen-Lu | Zhong, Qiu-Ping",phosphorus | chemical speciation | nutrient | Dafengjiang River | Beibu Gulf,10.3390/w10081103,NA,GY3OR,2073-4441,NA,river,freshwater
WOS:000265824900004,"Historical trends affecting accumulation of sediment and phosphorus in Lake Pepin, upper Mississippi River, USA",JOURNAL OF PALEOLIMNOLOGY,4,41,589-602,MAY,2009,"Mulla, David J. | Sekely, Adam C.",Lake Pepin | Land use change | Phosphorus | Sediment | Trend analysis | Water quality,10.1007/s10933-008-9293-4,NA,442FD,0921-2728,NA,river,freshwater
WOS:A1993MA14800082,"PHOSPHORUS EXPORT FROM NONPOINT SOURCES IN THE BERG RIVER, WESTERN CAPE PROVINCE, SOUTH-AFRICA",WATER SCIENCE AND TECHNOLOGY,3-5,28,713-718,NA,1993,"BATH, AJ | MARAIS, GV",PHOSPHORUS | RIVER MODELING | NONPOINT SOURCES | EFFLUENT STANDARDS,NA,NA,MA148,0273-1223,NA,river,freshwater
WOS:A1996UR72000026,Phosphorus status of paddy soils from the Central Region of the Mekong River in Laos,SOIL SCIENCE AND PLANT NUTRITION,2,42,427-432,JUN,1996,"Egashira, K | Tanouchi, M | Virakornphanich, P",Laos | Mekong River | paddy soil | phosphorus status,NA,NA,UR720,0038-0768,NA,river,freshwater
WOS:000221209100019,The influence of sorption processes on the phosphorus mass balance in a eutrophic German lowland river,WATER AIR AND SOIL POLLUTION,1-4,155,291-301,JUN,2004,"Schulz, M | Herzog, C",fluvial sediments | phosphorus mass balance | phosphorus sorption properties | seasonal changes | trophic state,NA,NA,817XB,0049-6979,NA,river,freshwater
WOS:000305214900029,Comparison between the lower Nansi Lake and its inflow rivers in sedimentary phosphorus fractions and phosphorus adsorption characteristics,ENVIRONMENTAL EARTH SCIENCES,5,66,1569-1576,JUL,2012,"Zhang, Zhi-bin | Tan, Xiao-bo | Wei, Lei-lei | Yu, Shi-miao | Wu, Dao-ji",Inflow rivers | Nansi Lake | Phosphorus adsorption characteristics | Sedimentary phosphorus fractions,10.1007/s12665-011-1400-6,NA,958CV,1866-6280,NA,river,freshwater
WOS:000375274800010,Long-term accumulation and transport of anthropogenic phosphorus in three river basins,NATURE GEOSCIENCE,5,9,353-+,MAY,2016,"Powers, Stephen M. | Bruulsema, Thomas W. | Burt, Tim P. | Chan, Neng Iong | Elser, James J. | Haygarth, Philip M. | Howden, Nicholas J. K. | Jarvie, Helen P. | Lyu, Yang | Peterson, Heidi M. | Sharpley, Andrew N. | Shen, Jianbo | Worrall, Fred | Zhang, Fusuo",,10.1038/NGEO2693,NA,DK9TQ,1752-0894,NA,river,freshwater
WOS:000307403000008,Dynamics of phosphorus forms in the bottom sediments and their interstitial water for the Prut River (Moldova),ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,8,19,3126-3131,SEP,2012,"Rusu, Vasile | Postolachi, Larisa | Povar, Igor | Alder, Alfredo | Lupascu, Tudor",Bottom sediments | Interstitial water | Phosphorus forms,10.1007/s11356-012-0920-2,NA,987FQ,0944-1344,NA,river,freshwater
WOS:000227825400002,"Phosphorus-discharge hysteresis during storm events along a river catchment: the River Swale, UK",WATER RESEARCH,5,39,751-762,MAR,2005,"Bowes, MJ | House, WA | Hodgkinson, RA | Leach, DV",hysteresis | phosphorus | nutrients | diffuse inputs | rivers | storms,10.1016/j.watres.2004.11.027,NA,908YF,0043-1354,NA,river,freshwater
WOS:000455314300153,Spatial and Seasonal Distribution and Transportation of Different Forms of Phosphorus in the Middle Reaches of the Yarlung Zangbo River,WATER,12,10,,DEC,2018,"Cheng, Xiaolong | Huang, Yanan | Pu, Xunchi | An, Ruidong | Huang, Wendian | Li, Jia | Wang, Wei | Li, Ran",Yarlung Zangbo River | phosphorus | distribution | transportation,10.3390/w10121858,NA,HG9GB,2073-4441,NA,river,freshwater
WOS:A1995RH94500021,PHOSPHORUS LOADS IN A SMALL GROUNDWATER-FED RIVER DURING THE 1989-1992 EAST ANGLIAN DROUGHT,WATER RESEARCH,9,29,2167-2173,SEP,1995,"BOAR, RR | LISTER, DH | CLOUGH, WT",CHALK STREAM | SEWAGE TREATMENT WORKS | PHOSPHORUS RETENTION | DROUGHT | LOW FLOWS | EUTROPHICATION | RIVER SSSIS,NA,NA,RH945,0043-1354,NA,river,freshwater
WOS:A1993NM79200004,AQUATIC VEGETATION AND PHOSPHORUS CONTENTS IN SMALL RIVER - CONSEQUENCES OF A REDUCTION IN PHOSPHORUS LEVELS,BULLETIN FRANCAIS DE LA PECHE ET DE LA PISCICULTURE,331,NA,357-371,NA,1993,"PELTRE, MC | LEGLIZE, L | SALLERON, JL",EUTROPHICATION | RIVER | MACROPHYTES | PHOSPHORUS | CONTROL,NA,NA,NM792,0767-2861,NA,river,freshwater
WOS:000366629700002,Comparison of soluble reactive phosphorus and orthophosphate concentrations in river waters,LIMNOLOGY,1,17,7-12,JAN,2016,"Maruo, Masahiro | Ishimaru, Mana | Azumi, Yuma | Kawasumi, Yuki | Nagafuchi, Osamu | Obata, Hajime",Inflow rivers of Lake Biwa | Orthophosphate | Soluble reactive phosphorus | Ion chromatography,10.1007/s10201-015-0463-6,NA,CY8AB,1439-8621,NA,river,freshwater
WOS:000316101700003,"Distribution and speciation of phosphorus in sediments of rivers in Ibadan, South-Western Nigeria",CHEMICAL SPECIATION AND BIOAVAILABILITY,1,25,24-33,FEB,2013,"Onianwa, P. C. | Oputu, O. U. | Oladiran, O. E. | Olujimi, O. O.",phosphorus | sediments | speciation | Ibadan,10.3184/095422913X13583453680586,NA,105VV,0954-2299,NA,river,freshwater
