uid,title,journal,issue,volume,pages,date,year,authors,keywords,doi,article_no,isi_id,issn,isbn,environment,category
WOS:000230528400014,Phosphorus concentrations and flow in maize wet-milling streams,CEREAL CHEMISTRY,4,82,431-435,JUL-AUG,2005,"Rausch, KD | Raskin, LM | Belyea, RL | Agbisit, RM | Daugherty, BJ | Clevenger, TE | Tumbleson, ME",,10.1094/CC-82-0431,NA,945UT,0009-0352,NA,stream,freshwater
WOS:A1991HC04600001,PHOSPHORUS RETENTION IN STREAMS DRAINING PINE AND HARDWOOD CATCHMENTS IN THE SOUTHERN APPALACHIAN MOUNTAINS,FRESHWATER BIOLOGY,3,26,335-345,DEC,1991,"DANGELO, DJ | WEBSTER, JR",,NA,NA,HC046,0046-5070,NA,stream,freshwater
WOS:000179693900008,Effects of stream phosphorus levels on microbial respiration,FRESHWATER BIOLOGY,1,48,88-97,JAN,2003,"Ramirez, A | Pringle, CM | Molina, L",enrichment | geothermal inputs | microbial respiration | phosphorus | tropical streams,NA,NA,623GA,0046-5070,NA,stream,freshwater
WOS:000237399700020,Fast growth and turnover of chironomid assemblages in response to stream phosphorus levels in a tropical lowland landscape,LIMNOLOGY AND OCEANOGRAPHY,1,51,189-196,JAN,2006,"Ramirez, A | Pringle, CM",,NA,NA,040SC,0024-3590,NA,stream,freshwater
WOS:000236480200019,Particulate phosphorus bioavailability as a function of stream flow and land cover,WATER RESEARCH,6,40,1258-1268,MAR,2006,"Ellison, ME | Brett, MT",total phosphorus | particulate phosphorus | bioavailability | land cover | baseflow | storm flow | particle size,10.1016/j.watres.2006.01.016,NA,028IK,0043-1354,NA,stream,freshwater
WOS:000276655200001,Applying the light: nutrient hypothesis to stream periphyton,FRESHWATER BIOLOGY,5,55,931-940,MAY,2010,"Fanta, Shari E. | Hill, Walter R. | Smith, Timothy B. | Roberts, Brian J.",benthic algae | light : nutrient hypothesis | periphyton | stoichiometry | stream,10.1111/j.1365-2427.2009.02309.x,NA,583EF,0046-5070,NA,stream,freshwater
WOS:000244135900009,"Phosphorus contributions from pastured dairy cattle to streams of the Cannonsville Watershed, New York",JOURNAL OF SOIL AND WATER CONSERVATION,1,62,40-47,JAN-FEB,2007,"James, E. | Kleinman, P. | Veith, T. | Stedman, R. | Sharpley, A.",Cannonsville Watershed | cattle behavior | Conservation Reserve Enhancement Program | fecal deposits | pastures | phosphorus,NA,NA,135EC,0022-4561,NA,stream,freshwater
WOS:000229288800009,Non-point-source impacts on stream nutrient concentrations along a forest to urban gradient,ENVIRONMENTAL MANAGEMENT,3,35,330-342,MAR,2005,"Brett, MT | Arhonditsis, GB | Mueller, SE | Hartley, DM | Frodge, JD | Funke, DE",stream water quality | urbanization | nutrients | sediments | land cover | forests | total phosphorus | soluble reactive phosphorus | nitrate | ammonium | total suspended solids | turbidity,10.1007/s00267-003-0311-z,NA,928RG,0364-152X,NA,stream,freshwater
WOS:000220784500021,Do macroconsumers affect insect responses to a natural stream phosphorus gradient?,HYDROBIOLOGIA,1-3,515,235-246,MAR 1,2004,"Ramirez, A | Pringle, CM",detritus-based food webs | streams | phosphorus gradient | aquatic insects | Michaelis-Menten model,NA,NA,811PT,0018-8158,NA,stream,freshwater
WOS:000432462000006,Decoupled water-sediment interactions restrict the phosphorus buffer mechanism in agricultural streams,SCIENCE OF THE TOTAL ENVIRONMENT,NA,628-629,44-52,JUL 1,2018,"Weigelhofer, Gabriele | Ramiao, Jose Pedro | Pitzl, Beate | Bondar-Kunze, Elisabeth | O'Keeffe, Joanna",Equilibrium phosphorus concentration | Phosphatase | Epilithic biofilm | Epipsammic biofilm | Uptake | Sediment clogging,10.1016/j.scitotenv.2018.02.030,NA,GG1QP,0048-9697,NA,stream,freshwater
WOS:A1992JM30800051,WHOLE-STREAM PHOSPHORUS RELEASE STUDIES - VARIATION IN UPTAKE LENGTH WITH INITIAL PHOSPHORUS CONCENTRATION,HYDROBIOLOGIA,NA,235,573-584,JUL 17,1992,"HART, BT | FREEMAN, P | MCKELVIE, ID",PHOSPHORUS | UPTAKE LENGTH | SEDIMENT | FLOW INJECTION ANALYSIS | STREAM | AUSTRALIA,NA,NA,JM308,0018-8158,NA,stream,freshwater
WOS:000407119700007,Nitrogen and Phosphorus Removal Enhanced by Side Stream System and Functional Microbial Communities in an Anaerobic/Anoxic/Oxic Process,ENVIRONMENTAL ENGINEERING SCIENCE,8,34,599-606,AUG,2017,"Zhao, Yang-Guo | Guo, Xiaoma | She, Zonglian | Gao, Mengchun | Guo, Liang",bioreactors | biotechnology | denitrifying phosphorus-removal | microbial community | side stream | waste treatment,10.1089/ees.2016.0429,NA,FC8VM,1092-8758,NA,stream,freshwater
WOS:000268623600001,Modeling nutrient in-stream processes at the watershed scale using Nutrient Spiralling metrics,HYDROLOGY AND EARTH SYSTEM SCIENCES,7,13,953-967,NA,2009,"Marce, R. | Armengol, J.",,NA,NA,478YB,1027-5606,NA,stream,freshwater
WOS:A1990FE59600001,IDENTIFICATION OF NUTRIENT-LIMITED ALGAL GROWTH IN 2 STREAMS AT SHILLONG (INDIA),ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,5,11,631-642,NA,1990,"ROUT, J | GAUR, JP",STREAM ALGAE | PHOSPHORUS LIMITATION | ALGAL ASSAY,NA,NA,FE596,1146-609X,NA,stream,freshwater
WOS:A1992KF38800020,FACTORS LIMITING PRIMARY PRODUCTIVITY IN LAKE-ONTARIO TRIBUTARIES RECEIVING SALMON MIGRATIONS,CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,11,49,2377-2385,NOV,1992,"RAND, PS | HALL, CAS | MCDOWELL, WH | RINGLER, NH | KENNEN, JG",,NA,NA,KF388,0706-652X,NA,stream,freshwater
WOS:A1996TV95700007,A framework for phosphorus transport modeling in the Lake Okeechobee watershed,WATER RESOURCES BULLETIN,1,32,57-73,FEB,1996,"Wagner, RA | Tisdale, TS | Zhang, J",hydraulics | modeling | nonpoint source pollution | phosphorus | surface water hydrology | water quality | wetlands | uncertainty analysis,NA,NA,TV957,0043-1370,NA,stream,freshwater
WOS:A1990FM92800001,APPLICATION OF ALGAL ASSAY FOR DEFINING NUTRIENT LIMITATION IN 2 STREAMS AT SHILLONG,PROCEEDINGS OF THE INDIAN ACADEMY OF SCIENCES-PLANT SCIENCES,6,100,361-368,DEC,1990,"GHOSH, M | GAUR, JP",EPILITHIC ALGAE | DIATOMS | PHOSPHORUS LIMITATION | ALGAL ASSAY | SELENASTRUM-CAPRICORNUTUM,NA,NA,FM928,0370-0097,NA,stream,freshwater
WOS:000287785300011,Resource synergy in stream periphyton communities,JOURNAL OF ECOLOGY,2,99,454-463,MAR,2011,"Hill, Walter R. | Roberts, Brian J. | Francoeur, Steven N. | Fanta, Shari E.",Algae | aquatic plant ecology | bacteria | community structure | light | phosphorus | primary production | resource synergy | streams,10.1111/j.1365-2745.2010.01785.x,NA,727GF,0022-0477,NA,stream,freshwater
WOS:000290678600008,"Response of biofilm extracellular enzymes along a stream nutrient enrichment gradient in an agricultural region of north central Pennsylvania, USA",HYDROBIOLOGIA,1,669,119-131,JUL,2011,"Rier, Steven T. | Nawrocki, Kevin S. | Whitley, Julian C.",Functional indicator | Biofilm | Periphyton | Algae | Change-point analysis | Nutrients,10.1007/s10750-011-0654-z,NA,765BO,0018-8158,NA,stream,freshwater
WOS:000399890800011,The potential of agricultural headwater streams to retain soluble reactive phosphorus,HYDROBIOLOGIA,1,793,149-160,JUN,2017,"Weigelhofer, Gabriele",Agriculture | Headwater streams | Sediments | Phosphorus uptake | Phosphorus release | Equilibrium phosphorus concentrations,10.1007/s10750-016-2789-4,NA,ES9PG,0018-8158,NA,stream,freshwater
WOS:000458728400002,Impact of an Extreme Storm Event on River Corridor Bank Erosion and Phosphorus Mobilization in a Mountainous Watershed in the Northeastern United States,JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,1,124,18-32,JAN,2019,"Ross, Donald S. | Wemple, Beverley C. | Willson, Lindsay J. | Balling, Courtney M. | Underwood, Kristen L. | Hamshaw, Scott D.",extreme event | streambank erosion | phosphorus | tropical storm,10.1029/2018JG004497,NA,HL4XH,2169-8953,NA,stream,freshwater
WOS:A1991GF53000001,MECHANISMS OF STREAM PHOSPHORUS RETENTION - AN EXPERIMENTAL-STUDY,JOURNAL OF THE NORTH AMERICAN BENTHOLOGICAL SOCIETY,3,10,225-237,SEP,1991,"DANGELO, DJ | WEBSTER, JR | BENFIELD, EF",STREAM | NUTRIENTS | PHOSPHORUS | TEMPERATURE | VELOCITY | CPOM | FPOM | LOGGING,NA,NA,GF530,0887-3593,NA,stream,freshwater
WOS:A1994MW91300002,ANALYTICAL SOLUTION-SCHEMES FOR PHOSPHORUS TRANSPORT-EQUATIONS OF A STEADY-STATE IN A STREAM,ECOLOGICAL MODELLING,4,71,221-243,FEB,1994,"KIM, S",,NA,NA,MW913,0304-3800,NA,stream,freshwater
WOS:000262286700012,Rehabilitation of Stream Ecosystem Functions through the Reintroduction of Coarse Particulate Organic Matter,RESTORATION ECOLOGY,1,17,97-106,JAN,2009,"Aldridge, Kane T. | Brookes, Justin D. | Ganf, George G.",biofilm | carbon | coarse particulate organic matter | community respiration | ecosystem function | leaf litter | phosphorus retention | stream | urbanization,10.1111/j.1526-100X.2007.00338.x,NA,392EW,1061-2971,NA,stream,freshwater
WOS:A1990EW13600008,SPATIAL VARIATION IN BASIC CHEMISTRY OF STREAMS DRAINING A VOLCANIC LANDSCAPE ON COSTA-RICA CARIBBEAN SLOPE,HYDROBIOLOGIA,1,206,73-85,OCT 15,1990,"PRINGLE, CM | TRISKA, FJ | BROWDER, G",TROPICAL STREAM | PHOSPHATE | NITRATE | GROUNDWATER | VOLCANIC LANDSCAPE,NA,NA,EW136,0018-8158,NA,stream,freshwater
WOS:000301639200021,Phosphorus and Suspended Sediment Loads in Base-Flow and Runoff Events: A Case Study of a Small Stream in NW Spain,COMMUNICATIONS IN SOIL SCIENCE AND PLANT ANALYSIS,1-2,43,219-225,NA,2012,"Luz Rodriguez-Blanco, M. | Mercedes Taboada-Castro, M. | Palleiro-Suarez, Laura | Teresa Taboada-Castro, M.",Agroforestry catchment | phosphorus | runoff events | suspended sediments,10.1080/00103624.2011.638519,NA,910LS,0010-3624,NA,stream,freshwater
WOS:A1991FB67500004,PHOSPHORUS AND NITROGEN DYNAMICS IN STREAMS DURING A WILDFIRE,JOURNAL OF THE NORTH AMERICAN BENTHOLOGICAL SOCIETY,1,10,24-30,MAR,1991,"SPENCER, CN | HAUER, FR",WILDFIRE | STREAMS | NUTRIENTS | PHOSPHORUS | NITROGEN | SMOKE | ASH,NA,NA,FB675,0887-3593,NA,stream,freshwater
WOS:000077253300009,Stream phosphorus and nitrogen export from agricultural and forested watersheds on the Boreal Plain,CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,10,55,2292-2299,OCT,1998,"Cooke, SE | Prepas, EE",,NA,NA,143KA,0706-652X,NA,stream,freshwater
WOS:A1979HL96900012,EXPORT OF PHOSPHORUS FROM DARTMOOR CATCHMENTS - MODEL TO EXPLAIN VARIATIONS OF PHOSPHORUS CONCENTRATIONS IN STREAM-WATER,JOURNAL OF THE MARINE BIOLOGICAL ASSOCIATION OF THE UNITED KINGDOM,3,59,659-687,NA,1979,"RIGLER, FH",,NA,NA,HL969,0025-3154,NA,stream,freshwater
WOS:000228298600005,A daily time series analysis of stream water phosphorus concentrations along an urban to forest gradient,ENVIRONMENTAL MANAGEMENT,1,35,56-71,JAN,2005,"Brett, MT | Mueller, SE | Arhonditsis, GB",stream water quality | urban | phosphorus dynamics | statistical models | forest | bioavailable phosphorus,10.1007/s00267-003-0310-0,NA,915IT,0364-152X,NA,stream,freshwater
WOS:000365797700001,"Sources and Transport of Phosphorus to Rivers in California and Adjacent States, US, as Determined by SPARROW Modeling",JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION,6,51,1463-1486,DEC,2015,"Domagalski, Joseph | Saleh, Dina",nutrients | phosphorus | geology | transport and fate | simulation | watersheds | SPARROW,10.1111/1752-1688.12326,NA,CX6FX,1093-474X,NA,stream,freshwater
WOS:A1994MV70100005,THE INFLUENCE OF PHOSPHORUS ENRICHMENT ON LOTIC BRYOPHYTES,FRESHWATER BIOLOGY,1,31,53-63,FEB,1994,"STEINMAN, AD",,NA,NA,MV701,0046-5070,NA,stream,freshwater
WOS:000235331600009,Nutrient uptake in streams draining agricultural catchments of the midwestern United States,FRESHWATER BIOLOGY,3,51,499-509,MAR,2006,"Bernot, MJ | Tank, JL | Royer, TV | David, MB",agriculture | nitrogen | nutrient uptake | phosphorus | stream,10.1111/j.1365-2427.2006.01508.x,NA,012IK,0046-5070,NA,stream,freshwater
WOS:000079118900002,Phosphorus and nitrogen dynamics in streams associated with wildfire: A study of immediate and longterm effects,INTERNATIONAL JOURNAL OF WILDLAND FIRE,4,8,183-198,DEC,1998,"Hauer, FR | Spencer, CN",Rocky Mountains | wildfire | streams | nutrients | phosphorus | nitrogen | water chemistry,NA,NA,175WM,1049-8001,NA,stream,freshwater
WOS:000244861700013,Eutrophication control in river-systems: an application of INCA-P to the River Lugg,HYDROLOGY AND EARTH SYSTEM SCIENCES,1,11,584-600,NA,2007,"Wade, A. J. | Butterfield, D. | Griffiths, T. | Whitehead, P. G.",water quality | model | INCA-P | nutrient | phosphorus | catchment | Lugg | Wye,NA,NA,145JS,1027-5606,NA,stream,freshwater
WOS:000089348100010,"Light- and nutrient-limited periphyton in low order streams of Oahu, Hawaii",HYDROBIOLOGIA,1-3,432,101-111,AUG,2000,"Larned, ST | Santos, SR",Hawaii | light | nitrogen | nutrients | periphyton | phosphorus | spate | stream,NA,NA,354UM,0018-8158,NA,stream,freshwater
WOS:A1994PP60900005,NITROGEN AND PHOSPHORUS IN WATER AS RELATED TO ENVIRONMENTAL SETTING IN NEBRASKA,WATER RESOURCES BULLETIN,5,30,809-822,SEP-OCT,1994,"HELGESEN, JO | ZELT, RB | STAMER, JK",WATER QUALITY | STATISTICAL ANALYSIS | NONPOINT SOURCE POLLUTION | LAND USE | NITROGEN | PHOSPHORUS,NA,NA,PP609,0043-1370,NA,stream,freshwater
WOS:000264218900069,Nutrient Dynamics during Storm Events in an Agroforestry Catchment,COMMUNICATIONS IN SOIL SCIENCE AND PLANT ANALYSIS,1-6,40,889-900,NA,2009,"Luz Rodriguez-Blanco, M. | Mercedes Taboada-Castro, M. | Teresa Taboada-Castro, M. | Luis Oropeza-Mota, Jose",Agroforestry catchment | event | nitrate | nutrient loss | phosphorus | surface water,10.1080/00103620802697921,NA,419KS,0010-3624,NA,stream,freshwater
WOS:000220526700001,Estimates of diffuse phosphorus sources in surface waters of the United States using a spatially referenced Watershed model,WATER SCIENCE AND TECHNOLOGY,3,49,1-10,NA,2004,"Alexander, RB | Smith, RA | Schwarz, GE",nutrients | phosphorus | reservoirs | surface water | watershed model,NA,NA,807UP,0273-1223,NA,stream,freshwater
WOS:000265168800029,Quantifying phosphorus and light effects in stream algae,LIMNOLOGY AND OCEANOGRAPHY,1,54,368-380,JAN,2009,"Hill, Walter R. | Fanta, Shari E. | Roberts, Brian J.",,NA,NA,432XX,0024-3590,NA,stream,freshwater
WOS:000387484100017,Extracellular enzyme activity suggests phosphorus limitation of biofilm productivity in acid mine drainage remediated streams,HYDROBIOLOGIA,1,784,225-236,JAN,2017,"Drerup, Samuel A. | Vis, Morgan L.",Acid mine drainage | Extracellular enzyme activity | Phosphorus limitation | Primary productivity | Remediation,10.1007/s10750-016-2877-5,NA,EB6IA,0018-8158,NA,stream,freshwater
WOS:A1993NC03600006,STUDIES ON DESORPTION OF PHOSPHORUS ON CALCAREOUS SANDY SOIL,NOVENYTERMELES,6,42,539-546,DEC,1993,"LASZTITY, B | JAKI, I | BICZOK, G",,NA,NA,NC036,0546-8191,NA,stream,freshwater
WOS:000348439000014,"Spatial variability in sediment phosphorus characteristics along a hydrological gradient upstream of Lake Rotorua, New Zealand",ENVIRONMENTAL EARTH SCIENCES,4,73,1573-1585,FEB,2015,"Peryer-Fursdon, Jamie | Abell, Jonathan M. | Clarke, Dylan | Oezkundakci, Deniz | Hamilton, David P. | Pearson, Lisa",Equilibrium phosphorus concentration | Eutrophication | Particulate phosphorus | Sequential extraction | Stream bed sediments | Watershed,10.1007/s12665-014-3508-y,NA,AZ8BF,1866-6280,NA,stream,freshwater
WOS:000277601900008,Evaluation of base solutions to determine equilibrium phosphorus concentrations (EPC0) in stream sediments,INTERNATIONAL AGROPHYSICS,2,24,157-163,NA,2010,"Lucci, G. M. | McDowell, R. W. | Condron, L. M.",phosphorus | sediment | erosion | equilibrium phosphorus concentration,NA,NA,595HS,0236-8722,NA,stream,freshwater
WOS:A1990EW39500043,SUBSTRATE ASSOCIATED MICROBIOTA,RESEARCH JOURNAL OF THE WATER POLLUTION CONTROL FEDERATION,4,62,614-618,JUN,1990,"BOWERS, NJ | PRATT, JR",,NA,NA,EW395,1047-7624,NA,stream,freshwater
WOS:000177534200024,"The Integrated Catchments model of Phosphorus dynamics (INCA-P), a new approach for multiple source assessment in heterogeneous river systems: model structure and equations",HYDROLOGY AND EARTH SYSTEM SCIENCES,3,6,583-606,JUN,2002,"Wade, AJ | Whitehead, PG | Butterfield, D",modelling | water quality | phosphorus | soluble reactive phosphorus | basin management,NA,NA,585PR,1027-5606,NA,stream,freshwater
