uid,title,journal,issue,volume,pages,date,year,authors,keywords,doi,article_no,isi_id,issn,isbn,environment,category
WOS:000362236100003,Characterization of phosphorus in marshland sediments by (31)phosphorus nuclear magnetic resonance spectroscopy,INTERNATIONAL JOURNAL OF ENVIRONMENTAL SCIENCE AND TECHNOLOGY,11,12,3427-3432,NOV,2015,"Pant, H. K. | Huang, S.",Freshwater | Pelham Bay Park | Organic phosphorus | Phosphate compounds | Salt water,10.1007/s13762-015-0787-0,NA,CS7AO,1735-1472,NA,saltwater,marine
WOS:000514013300001,Periphyton as an indicator of saltwater intrusion into freshwater wetlands: insights from experimental manipulations,ECOLOGICAL APPLICATIONS,NA,NA,,FEB 18,2020,"Mazzei, Viviana | Wilson, Benjamin J. | Servais, Shelby | Charles, Sean P. | Kominoski, John S. | Gaiser, Evelyn E.",algal mats | diatoms | ecological indicators | phosphorus | salinity | wetlands,10.1002/eap.2067,NA,KM3HY,1051-0761,NA,saltwater,marine
WOS:000445240600018,Functional and Compositional Responses of Periphyton Mats to Simulated Saltwater Intrusion in the Southern Everglades,ESTUARIES AND COASTS,7,41,2105-2119,NOV,2018,"Mazzei, Viviana | Gaiser, Evelyn E. | Kominoski, John S. | Wilson, Benjamin J. | Servais, Shelby | Bauman, Laura | Davis, Stephen E. | Kelly, Steve | Sklar, Fred H. | Rudnick, David T. | Stachelek, Joseph | Troxler, Tiffany G.",Coastal freshwater wetlands | Salinity | Microbial mats | Diatoms | Indicator species,10.1007/s12237-018-0415-6,NA,GU4GJ,1559-2723,NA,saltwater,marine
WOS:000392778300017,Saltwater intrusion as potential driver of phosphorus release from limestone bedrock in a coastal aquifer,ESTUARINE COASTAL AND SHELF SCIENCE,NA,184,166-176,JAN 5,2017,"Flower, Hilary | Rains, Mark | Lewis, David | Zhang, Jia-Zhong | Price, Rene",Phosphate | Mixing zone | Groundwater | Desorption | Carbonate | Everglades,10.1016/j.ecss.2016.11.013,NA,EI8SO,0272-7714,NA,saltwater,marine
WOS:000330836300014,Biogeochemical effects of simulated sea level rise on carbon loss in an Everglades mangrove peat soil,HYDROBIOLOGIA,1,726,195-211,MAR,2014,"Chambers, Lisa G. | Davis, Stephen E. | Troxler, Tiffany | Boyer, Joseph N. | Downey-Wall, Alan | Scinto, Leonard J.",Soil carbon | Sea level rise | Everglades | Mangrove | Saltwater intrusion | Greenhouse gas production,10.1007/s10750-013-1764-6,NA,AA1DK,0018-8158,NA,saltwater,marine
WOS:000178708400005,"Water, salt, phosphorus and nitrogen budgets of the Japan Sea",JOURNAL OF OCEANOGRAPHY,6,58,797-804,DEC,2002,"Yanagi, T",material cycling | Japan Sea | residence time,NA,NA,606AC,0916-8370,NA,saltwater,marine
WOS:A1950XR64200004,EXPERIMENTAL STUDY OF THE PHOSPHORUS CYCLE IN FERTILIZED SALT WATER,JOURNAL OF MARINE RESEARCH,1,9,29-54,NA,1950,"PRATT, DM",,NA,NA,XR642,0022-2402,NA,saltwater,marine
WOS:000326994500097,Effects of Fe(II)/P ratio and pH on phosphorus removal by ferrous salt and approach to mechanisms,SEPARATION AND PURIFICATION TECHNOLOGY,NA,118,801-805,OCT 30,2013,"Zhang, Meng | Zheng, Kai | Jin, Jiajia | Yu, Xiaoqing | Qiu, Lin | Ding, Shuang | Lu, Huifeng | Cai, Jin | Zheng, Ping",Phosphate containing wastewater | Phosphorus removal | Ferrous salt | Effect of Fe(II)/P ratio | Effect of pH,10.1016/j.seppur.2013.08.034,NA,252HA,1383-5866,NA,saltwater,marine
WOS:000431411100035,Effect of high salt concentration on phosphorus recovery from sewage sludge and dewatering properties,JOURNAL OF WATER PROCESS ENGINEERING,NA,19,277-282,OCT,2017,"Remmen, Kirsten | Niewersch, Claudia | Wintgens, Thomas | Yuece, Sueleyman | Wessling, Matthias",Phosphorus recovery | Sewage sludge | Dewatering properties | Nutrient recovery,10.1016/j.jwpe.2017.07.027,NA,GE7KD,2214-7144,NA,saltwater,marine
WOS:000372085100012,Salinization alters fluxes of bioreactive elements from stream ecosystems across land use,BIOGEOSCIENCES,23,12,7331-7347,NA,2015,"Duan, S. | Kaushal, S. S.",,10.5194/bg-12-7331-2015,NA,DG5AR,1726-4170,NA,saltwater,marine
