uid,title,journal,issue,volume,pages,date,year,authors,keywords,doi,article_no,isi_id,issn,isbn,environment,category
WOS:000228427000001,Effect of prefermentation on denitrifying phosphorus removal in slaughterhouse wastewater,BIORESOURCE TECHNOLOGY,12,96,1317-1322,AUG,2005,"Merzouki, M | Bernet, N | Delgenes, JP | Benlemlih, M",anoxic phosphorus removal | enhanced biological phosphorus removal (EBPR) | sequencing batch reactor (SBR) | fixed-bed nitrification | prefermentation | slaughterhouse wastewater | volatile fatty acids (VFA),10.1016/j.biortech.2004.11.017,NA,917AA,0960-8524,NA,wwt,wwt
WOS:000185579600011,Evaluation of sequencing batch reactor (SBR) and sequencing batch biofilm reactor (SBBR) for biological nutrient removal from simulated wastewater containing glucose as carbon source,WATER SCIENCE AND TECHNOLOGY,3,48,73-79,NA,2003,"Kumar, BM | Chaudhari, S",cow dung | enhanced biological phosphorus removal | glucose | sequential batch reactor | sequential batch biofilm reactor,NA,NA,726CB,0273-1223,NA,wwt,wwt
WOS:000184522700009,"Biological removal of carbon, nitrogen, and phosphorus in a sequencing batch reactor",JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART A-TOXIC/HAZARDOUS SUBSTANCES & ENVIRONMENTAL ENGINEERING,8,38,1479-1488,NA,2003,"Akin, BS | Ugurlu, AE",sequencing batch reactor | biological nutrient removal | biological phosphorus removal,10.1081/ESE-120021473,NA,707RB,1093-4529,NA,wwt,wwt
WOS:000167944600023,Enhanced biological phosphorus removal in a semi full-scale SBBR,WATER SCIENCE AND TECHNOLOGY,3,43,167-174,NA,2001,"Arnz, P | Arnold, E | Wilderer, PA",enhanced biological phosphorus removal (EBPR) | large scale | process stability | Sequencing Batch Biofilm Reactor (SBBR) | simultaneous denitrification,NA,NA,419JB,0273-1223,NA,wwt,wwt
WOS:000247382700003,Intermittent cyclic process for enhanced biological nutrient removal treating combined chemical laboratory wastewater,BIORESOURCE TECHNOLOGY,13,98,2473-2478,SEP,2007,"Tanwar, Pankaj | Nandy, Tapas | Khan, Rehan | Biswas, Rima",biological process | cyclic operation | nitrification | de-nitrification | phosphorus release and uptake | nutrient removal,10.1016/j.biortech.2006.09.006,NA,180RG,0960-8524,NA,wwt,wwt
WOS:000400071800008,Enhanced nutrients removal from municipal wastewater through biological phosphorus removal followed by partial nitritation/anammox,FRONTIERS OF ENVIRONMENTAL SCIENCE & ENGINEERING,2,11,,APR,2017,"Yang, Yandong | Zhang, Liang | Shao, Hedong | Zhang, Shujun | Gu, Pengchao | Peng, Yongzhen",Phosphorus removal | Partial nitrification | Anammox | Municipal wastewater,10.1007/s11783-017-0911-0,NA,ET2AX,2095-2201,NA,wwt,wwt
WOS:000184522700010,The effect of nitrate and different substrates on enhanced biological phosphorus removal in sequencing batch reactors,JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART A-TOXIC/HAZARDOUS SUBSTANCES & ENVIRONMENTAL ENGINEERING,8,38,1489-1497,NA,2003,"Yagci, NO | Tasli, R | Artan, N | Orhon, D",biological phosphorus removal | sequencing batch reactor | glucose | acetate | COD/TKN ratio | anoxic phosphate uptake,10.1081/ESE-120021490,NA,707RB,1093-4529,NA,wwt,wwt
WOS:000361040500072,A study on the use of the BioBall (R) as a biofilm carrier in a sequencing batch reactor,BIORESOURCE TECHNOLOGY,NA,196,577-585,NOV,2015,"Maslon, Adam | Tomaszek, Janusz A.",Biofilm | Sequencing batch reactor | Moving bed sequencing batch biofilm reactor | Nitrogen removal | Phosphorus removal,10.1016/j.biortech.2015.08.020,NA,CR0VD,0960-8524,NA,wwt,wwt
WOS:000220160000002,"Enhanced biological phosphorus removal from wastewater by biomass with different phosphorus contents, part I: Experimental results and comparison with metabolic models",WATER ENVIRONMENT RESEARCH,6,75,485-498,NOV-DEC,2003,"Schuler, AJ | Jenkins, D",enhanced biological phosphorus removal | activated sludge | bacterial storage products | polyphosphate | glycogen,NA,NA,802JO,1061-4303,NA,wwt,wwt
WOS:000346101600002,Performance evaluation of enhanced SBR in simultaneous removal of nitrogen and phosphorous,JOURNAL OF ENVIRONMENTAL HEALTH SCIENCE AND ENGINEERING,NA,12,,NOV 13,2014,"Ghehi, Tahereh Jafarzadeh | Mortezaeifar, Soheil | Gholami, Mitra | Kalantary, Roshanak Rezaei | Mahvi, Amir Hossein",Biological nutrient removal | Enhanced biological SBR | Phosphorous removal | Nitrification-denitrification | C/N/P ratio,10.1186/s40201-014-0134-2,NA,AW2ES,2052-336X,NA,wwt,wwt
WOS:000416798300004,Performance of Denitrifying Phosphate Removal via Nitrite from Slaughterhouse Wastewater Treatment at Low Temperature,WATER,11,9,,NOV,2017,"Pan, Min | Huang, Xiaoming | Wu, Guangxue | Hu, Yuansheng | Yang, Yan | Zhan, Xinmin",denitrifying phosphorus removal | DPAOs | enhanced biological phosphorus removal | intermittently aerated sequencing batch reactor | slaughterhouse wastewater,10.3390/w9110818,NA,FO4FY,2073-4441,NA,wwt,wwt
WOS:A1996VK96000022,Biological nutrient removal from a phosphorus-rich pre-fermented industrial wastewater,WATER SCIENCE AND TECHNOLOGY,1-2,34,169-177,NA,1996,"Comeau, Y | Lamarre, D | Roberge, F | Perrier, M | Desjardins, G | Hade, C | Mayer, R",biological phosphorus removal | polyphosphates | phosphorus fractions | fermentation | acidogenesis | industrial wastewater treatment | cheese whey effluent | sequencing batch reactor,NA,NA,VK960,0273-1223,NA,wwt,wwt
