uid,title,journal,issue,volume,pages,date,year,authors,keywords,doi,article_no,isi_id,issn,isbn,environment,category
WOS:A19611717B00011,"WATER BINDING CAPACITY OF FRESH PORK .1. INFLUENCE OF SODIUM CHLORIDE, PYROPHOSPHATE, AND POLYPHOSPHATE ON WATER ABSORPTION",FOOD TECHNOLOGY,2,15,79-&,NA,1961,"SHERMAN, P",,NA,NA,1717B,0015-6639,NA,freshwater,freshwater
WOS:A1996VF37100011,Inorganic polyphosphates in the developing freshwater sponge Ephydatia muelleri: Effect of stress by polluted waters,ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,8,15,1329-1334,AUG,1996,"Imsiecke, G | Munkner, J | Lorenz, B | Bachinski, N | Muller, WEG | Schroder, HC",polyphosphate | pollution | theophylline | gemmulation | Ephydatia muelleri,10.1002/etc.5620150811,NA,VF371,0730-7268,NA,freshwater,freshwater
WOS:000299293900013,Unusual polyphosphate inclusions observed in a marine Beggiatoa strain,ANTONIE VAN LEEUWENHOEK INTERNATIONAL JOURNAL OF GENERAL AND MOLECULAR MICROBIOLOGY,2,101,347-357,FEB,2012,"Brock, Joerg | Rhiel, Erhard | Beutler, Martin | Salman, Verena | Schulz-Vogt, Heide N.",Beggiatoa | Polyphosphate | Acidocalcisome | Confocal laser scanning microscopy,10.1007/s10482-011-9640-8,NA,878YN,0003-6072,NA,freshwater,freshwater
WOS:000174393900008,Polyphosphate produced in recombinant Escherichia coli confers mercury resistance,FEMS MICROBIOLOGY LETTERS,2,207,159-164,FEB 5,2002,"Pan-Hou, H | Kiyono, M | Omura, H | Omura, T | Endo, G",polyphosphate | mercury resistance | fusion plasmid pMKB18 | mer genes | ppk,NA,NA,531BB,0378-1097,NA,freshwater,freshwater
WOS:000172467300018,Evaluation of ppk-specified polyphosphate as a mercury remedial tool,BIOLOGICAL & PHARMACEUTICAL BULLETIN,12,24,1423-1426,DEC,2001,"Pan-Hou, H | Kiyono, M | Kawase, T | Omura, T | Endo, G",polyphosphate | mercury-remediation | pMK27 | merT | merP | ppk,NA,NA,497QQ,0918-6158,NA,freshwater,freshwater
WOS:000487114000004,Cyanobacterium Nodularia spumigena strain CCY9414 accumulates polyphosphate under long-term P-limiting conditions,AQUATIC MICROBIAL ECOLOGY,3,82,265-274,NA,2019,"Hagemann, Martin | Moeke, Fred | Springer, Armin | Westermann, Linda | Frank, Marcus | Wasmund, Norbert | Bauwe, Hermann",Cyanobacterium | Electron microscopy | Gene expression | Polyphosphate,10.3354/ame01896,NA,IZ5HO,0948-3055,NA,freshwater,freshwater
WOS:000185155400024,Removal of inorganic and organic mercurials by immobilized bacteria having mer-ppk fusion plasmids,APPLIED MICROBIOLOGY AND BIOTECHNOLOGY,2-3,62,274-278,AUG,2003,"Kiyono, M | Omura, H | Omura, T | Murata, S | Pan-Hou, H",,10.1007/s00253-003-1282-y,NA,718PJ,0175-7598,NA,freshwater,freshwater
WOS:A1995QE74200004,QUANTIFICATION OF TOTAL AND METAL TOXICITY IN WASTE-WATER USING ALGAL BIOASSAYS,AQUATIC TOXICOLOGY,1,31,57-75,JAN,1995,"WONG, SL | WAINWRIGHT, JF | PIMENTA, J",ALGAL ASSAYS | TOXICITY | COMPLEXING CAPACITY | X-RAY MICROANALYSIS | POLYPHOSPHATE BODIES,NA,NA,QE742,0166-445X,NA,freshwater,freshwater
WOS:A1991FH43200019,X-RAY MICROANALYTICAL STUDIES OF FRESH-WATER BIOTA - CHANGES IN THE ELEMENTAL COMPOSITION OF ANABAENA-SPIROIDES DURING BLOOMS OF 1988 AND 1989,SCANNING MICROSCOPY,1,5,207-217,MAR,1991,"CLAY, S | SIGEE, DC | BELLINGER, E",PHYTOPLANKTON | BLUE-GREEN ALGAE | ALGAL BLOOMS | X-RAY MICROANALYSIS,NA,NA,FH432,0891-7035,NA,freshwater,freshwater
WOS:000508872700009,Picoplankton accumulate and recycle polyphosphate to support high primary productivity in coastal Lake Ontario,SCIENTIFIC REPORTS,NA,9,,DEC 20,2019,"Li, Jiying | Plouchart, Diane | Zastepa, Arthur | Dittrich, Maria",,10.1038/s41598-019-56042-5,NA,KE9LZ,2045-2322,NA,freshwater,freshwater
