uid,title,journal,issue,volume,pages,date,year,authors,keywords,doi,article_no,isi_id,issn,isbn,environment,category
WOS:000350670700002,"Response to Comment on ""The Chemical Nature of Phosphorus in Subtropical Lake Sediments"", by Kenney et al.",AQUATIC GEOCHEMISTRY,1,21,7-9,JAN,2015,"Turner, Benjamin L. | Torres, Isabela C. | Reddy, K. Ramesh",Polyphosphate | Lake Apopka | Solution phosphorus-31 NMR spectroscopy | Sediment,10.1007/s10498-014-9242-y,NA,CC9EK,1380-6165,NA,lake,freshwater
WOS:A1988U686500007,A REMARK ON MICROORGANISMS IN LAKE-SEDIMENTS WITH EMPHASIS ON POLYPHOSPHATE-ACCUMULATING BACTERIA,INTERNATIONALE REVUE DER GESAMTEN HYDROBIOLOGIE,6,73,703-708,NA,1988,"UHLMANN, D | BAUER, HD",,NA,NA,U6865,0020-9309,NA,lake,freshwater
WOS:000223353000001,Vertical gradient of nutrients in two dimictic lakes - influence of phototrophic sulfur bacteria on nutrient balance,AQUATIC SCIENCES,3,66,247-256,AUG,2004,"Selig, U | Hubener, T | Heerkloss, R | Schubert, H",phosphorus | polyphosphate | phototrophic sulfur bacteria | phytoplankton | zooplankton,10.1007/s00027-004-0684-y,NA,846XO,1015-1621,NA,lake,freshwater
WOS:A1996VF17900001,Polyphosphate bodies aligned along the anterior axoneme of the Cryptomonad rhodomonas lacustris: Possible relevance to symbiotic origin of undulipodia,SYMBIOSIS,1,21,1-7,NA,1996,"Heldal, M",polyphosphate | undulipodia | cryptomonads | symbiotic origin,NA,NA,VF179,0334-5114,NA,lake,freshwater
WOS:000319179100013,STUDY ON SPECIES AND SOURCES OF PARTICULATE ORGANIC PHOSPHORUS IN THREE LARGE EUTROPHIC LAKES OF CHINA USING P-31-NMR AND 3D-EEMs,FRESENIUS ENVIRONMENTAL BULLETIN,5,22,1422-1431,NA,2013,"Chuai, Xiaoming | Chen, Xiaofeng | Yang, Liuyan | Zhou, Haixia",particulate organic phosphorus | P-31 nuclear magnetic resonance | three-dimensional excitation-emission matrix | Lake Hulun | Lake Dianchi | Lake Taihu,NA,NA,147PI,1018-4619,NA,lake,freshwater
WOS:000336983000004,The Chemical Nature of Phosphorus in Subtropical Lake Sediments,AQUATIC GEOCHEMISTRY,4,20,437-457,JUL,2014,"Torres, Isabela C. | Turner, Benjamin L. | Reddy, K. Ramesh",Phosphorus | Sediment | Solution P-31 NMR spectroscopy | Sequential fractionation | Polyphosphate | Subtropical | Florida,10.1007/s10498-014-9228-9,NA,AI6KN,1380-6165,NA,lake,freshwater
WOS:000340326100022,Phosphorus speciation in a eutrophic lake by P-31 NMR spectroscopy,WATER RESEARCH,NA,62,229-240,OCT 1,2014,"Read, Emily K. | Ivancic, Monika | Hanson, Paul | Cade-Menun, Barbara J. | McMahon, Katherine D.",Eutrophication | Phosphorus | P-31 NMR | Cyanobacteria | Lake Mendota,10.1016/j.watres.2014.06.005,NA,AN1ES,0043-1354,NA,lake,freshwater
WOS:000300875100040,Diagenesis of settling seston: identity and transformations of organic phosphorus,JOURNAL OF ENVIRONMENTAL MONITORING,3,14,1098-1106,MAR,2012,"Reitzel, Kasper | Ahlgren, Joakim | Rydin, Emil | Egemose, Sara | Turner, Benjamin L. | Hupfer, Michael",,10.1039/c2em10883f,NA,900GP,1464-0325,NA,lake,freshwater
WOS:000257446900035,Use of laser microdissection for phylogenetic characterization of polyphosphate-accumulating bacteria,APPLIED AND ENVIRONMENTAL MICROBIOLOGY,13,74,4231-4235,JUL,2008,"Gloess, Stefanie | Grossart, Hans-Peter | Allgaier, Martin | Ratering, Stefan | Hupfer, Michael",,10.1128/AEM.02545-07,NA,323LF,0099-2240,NA,lake,freshwater
WOS:000226928900012,Extraction and detection methods for polyphosphate storage in autotrophic planktonic organisms,HYDROBIOLOGIA,NA,533,135-143,JAN 15,2005,"Eixler, S | Selig, U | Karsten, U",polyphosphate granules | Chlorella | Synechocystis | chemical extraction | epifluorescence microscopy | electron spectroscopic imaging (ESI),NA,NA,896IX,0018-8158,NA,lake,freshwater
WOS:000175859300010,Dissolved and particulate phosphorus forms in a eutrophic shallow lake,AQUATIC SCIENCES,1,64,97-105,NA,2002,"Selig, U | Hubener, T | Michalik, M",phosphorus form | phosphorus fractionation | polyphosphate | phospholipid | seston composition | shallow lake,NA,NA,556PZ,1015-1621,NA,lake,freshwater
WOS:000168528100005,Changes in polyphosphate sedimentation: a response to excessive phosphorus enrichment in a hypereutrophic lake,CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,5,58,879-887,MAY,2001,"Kenney, WF | Schelske, CL | Chapman, AD",,NA,NA,429QH,0706-652X,NA,lake,freshwater
WOS:000244992800019,Intracellular phosphorus metabolism and growth of Microcystis aeruginosa in dark/light cycles under various redox potential difference conditions,HYDROBIOLOGIA,NA,581,167-176,MAY,2007,"Shi, Xiaoli | Yang, Liuyan | Jiang, Lijuan | Kong, Fanxiang | Qin, Boqiang | Gao, Guang",Microcystis aeruginosa | growth | phosphorus metabolism | dark | light cycle | redox potential difference | Lake Taihu,10.1007/s10750-006-0517-1,NA,147HA,0018-8158,NA,lake,freshwater
WOS:000084653200005,Distribution of organic and inorganic phosphorus compounds in marine and lacustrine sediments: a P-31 NMR study,CHEMICAL GEOLOGY,1-4,163,101-114,FEB,2000,"Carman, R | Edlund, G | Damberg, C",P-31 NMR | sediment | distribution | diagenesis,NA,NA,272MB,0009-2541,NA,lake,freshwater
WOS:000234492000007,"Phosphorus storage in Chlorella vulgaris (Trebouxiophyceae, Chlorophyta) cells and its dependence on phosphate supply",PHYCOLOGIA,1,45,53-60,JAN,2006,"Eixler, S | Karsten, U | Selig, U",alkaline phospatase | cellular phosphorus | Chlorella | Elf-97 | epifluorescence microscopy | polyphosphate granules,10.2216/04-79.1,NA,000WB,0031-8884,NA,lake,freshwater
WOS:000508872700009,Picoplankton accumulate and recycle polyphosphate to support high primary productivity in coastal Lake Ontario,SCIENTIFIC REPORTS,NA,9,,DEC 20,2019,"Li, Jiying | Plouchart, Diane | Zastepa, Arthur | Dittrich, Maria",,10.1038/s41598-019-56042-5,NA,KE9LZ,2045-2322,NA,lake,freshwater
WOS:000462776800036,Effect of wastewater management on phosphorus content and sedimentary fractionation in Mediterranean saline lakes,SCIENCE OF THE TOTAL ENVIRONMENT,NA,668,350-361,JUN 10,2019,"Corrales-Gonzalez, Maykoll | Rochera, Carlos | Picazo, Antonio | Camacho, Antonio",Sediment-water phosphorus exchange | Saline shallow lakes | Internal phosphorus load | Water management | La Mancha Humeda Biosphere Reserve,10.1016/j.scitotenv.2019.02.371,NA,HQ9VV,0048-9697,NA,lake,freshwater
WOS:000258439600022,Factors influencing luxury uptake of phosphorus by microalgae in waste stabilization ponds,ENVIRONMENTAL SCIENCE & TECHNOLOGY,16,42,5958-5962,AUG 15,2008,"Powell, Nicola | Shilton, Andrew N. | Pratt, Steven | Chisti, Yusuf",,10.1021/es703118s,NA,337MG,0013-936X,NA,lake,freshwater
WOS:000286393300015,Seasonal and spatial variability of sediment bacterial communities inhabiting the large shallow Lake Balaton,HYDROBIOLOGIA,1,663,217-232,MAR,2011,"Szabo, Gitta | Khayer, Bernadett | Rusznyak, Anna | Tatrai, Istvan | Devai, Gyoergy | Marialigeti, Karoly | Borsodi, Andrea K.",Lake Balaton | Sediment bacterial communities | DGGE | Cultivation | Polyphosphate-accumulating bacteria,10.1007/s10750-010-0574-3,NA,708VV,0018-8158,NA,lake,freshwater
WOS:000362845800019,Phosphate removal mechanism in an airlift-loop reactor under limited filamentous bulking conditions,DESALINATION AND WATER TREATMENT,5,56,1299-1308,OCT 30,2015,"Su, Yiming | Zhou, Xuefei | Dai, Chaomeng | Jiang, Ming | Zhang, Yalei",Airlift-loop reactor | Limited filamentous bulking | Polyphosphate-accumulating micro-organisms | Polyphosphate metabolism,10.1080/19443994.2014.934720,NA,CT5JP,1944-3994,NA,lake,freshwater
WOS:000286790500015,Release of organic P forms from lake sediments,WATER RESEARCH,2,45,565-572,JAN,2011,"Ahlgren, J. | Reitzel, K. | De Brabandere, H. | Gogoll, A. | Rydin, E.",Organic phosphorus | Release | Sediments | (31)P NMR,10.1016/j.watres.2010.09.020,NA,714EO,0043-1354,NA,lake,freshwater
WOS:000229082200016,"Phosphorus accumulation in lake sediments during the last 14,000 years: Description by fractionation techniques and X-ray micro-analysis",JOURNAL OF FRESHWATER ECOLOGY,2,20,347-359,JUN,2005,"Selig, U | Fischer, K",,NA,NA,925VU,0270-5060,NA,lake,freshwater
