uid,title,journal,issue,volume,pages,date,year,authors,keywords,doi,article_no,isi_id,issn,isbn,environment,category
WOS:000299293900013,Unusual polyphosphate inclusions observed in a marine Beggiatoa strain,ANTONIE VAN LEEUWENHOEK INTERNATIONAL JOURNAL OF GENERAL AND MOLECULAR MICROBIOLOGY,2,101,347-357,FEB,2012,"Brock, Joerg | Rhiel, Erhard | Beutler, Martin | Salman, Verena | Schulz-Vogt, Heide N.",Beggiatoa | Polyphosphate | Acidocalcisome | Confocal laser scanning microscopy,10.1007/s10482-011-9640-8,NA,878YN,0003-6072,NA,marine,marine
WOS:000290021000012,Sulfide induces phosphate release from polyphosphate in cultures of a marine Beggiatoa strain,ISME JOURNAL,3,5,497-506,MAR,2011,"Brock, Joerg | Schulz-Vogt, Heide N.",sulfur bacteria | marine sediment | polyphosphate | phosphorus cycle,10.1038/ismej.2010.135,NA,756NZ,1751-7362,NA,marine,marine
WOS:000287826800010,Stimulation of phosphate uptake and polyphosphate accumulation by activated sludge microorganisms in response to sulfite addition,WATER SCIENCE AND TECHNOLOGY,4,63,649-653,NA,2011,"Lai, M. W-Y. | Kulakova, A. N. | Quinn, J. P. | McGrath, J. W.",biological phosphate removal | polyphosphate accumulation | sulfite,10.2166/wst.2011.223,NA,727TZ,0273-1223,NA,marine,marine
WOS:000286664100039,Novel Analysis of Oceanic Surface Water Metagenomes Suggests Importance of Polyphosphate Metabolism in Oligotrophic Environments,PLOS ONE,1,6,,JAN 28,2011,"Temperton, Ben | Gilbert, Jack A. | Quinn, John P. | McGrath, John W.",,10.1371/journal.pone.0016499,NA,712JX,1932-6203,NA,marine,marine
WOS:000327461800002,"Novel surface associated polyphosphate bodies sequester uranium in the filamentous, marine cyanobacterium, Anabaena torulosa",METALLOMICS,12,5,1595-1598,NA,2013,"Acharya, Celin | Apte, Shree Kumar",,10.1039/c3mt00139c,NA,258LW,1756-5901,NA,marine,marine
WOS:000352287800057,Phosphorus sequestration in the form of polyphosphate by microbial symbionts in marine sponges,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,14,112,4381-4386,APR 7,2015,"Zhang, Fan | Blasiak, Leah C. | Karolin, Jan O. | Powell, Ryan J. | Geddes, Chris D. | Hill, Russell T.",phosphorus sequestration | sponge | microbial symbionts | polyphosphate,10.1073/pnas.1423768112,NA,CF1EZ,0027-8424,NA,marine,marine
WOS:000341486600014,Degradation of polyphosphates by polyphosphate kinases from Ruegeria pomeroyi,BIOTECHNOLOGY LETTERS,10,36,2029-2035,OCT,2014,"Achbergerova, Lucia | Nahalka, Jozef",Calgon | Calcium salts | Polyphosphate degradation | Polyphosphate kinase | PPK2 homolog | Ruegeria pomeroyi,10.1007/s10529-014-1566-6,NA,AO6UG,0141-5492,NA,marine,marine
WOS:000279298700003,Marine Dissolved Organic Phosphorus Composition: Insights from Samples Recovered Using Combined Electrodialysis/Reverse Osmosis,AQUATIC GEOCHEMISTRY,4,16,563-574,SEP,2010,"Young, Cindy L. | Ingall, Ellery D.",Phosphorus | Polyphosphate | Phosphonate | Marine | Amundsen Sea | Effingham inlet | Electrodialysis,10.1007/s10498-009-9087-y,NA,617RL,1380-6165,NA,marine,marine
WOS:000489307800010,Determination of individual chain length and chain-length distribution of polyphosphates in microalgae by P-31-DOSY-NMR,ALGAL RESEARCH-BIOMASS BIOFUELS AND BIOPRODUCTS,NA,43,,NOV,2019,"Wang, Liming | Kuchendorf, Christina | Willbold, Sabine",Polyphosphate | Algae | DOSY-NMR,10.1016/j.algal.2019.101631,NA,JC5FZ,2211-9264,NA,marine,marine
WOS:A1997WV76600007,Changes in metabolism of inorganic polyphosphate in rat tissues and human cells during development and apoptosis,BIOCHIMICA ET BIOPHYSICA ACTA-GENERAL SUBJECTS,1-2,1335,51-60,APR 17,1997,"Lorenz, B | Munkner, J | Oliveira, MP | Kuusksalu, A | Leitao, JM | Muller, WEG | Schroder, HC",polyphosphate | exopolyphosphatase | aging | apoptosis | HL-60 cell | (rat brain) | (rat liver),NA,NA,WV766,0304-4165,NA,marine,marine
