uid,title,journal,issue,volume,pages,date,year,authors,keywords,doi,article_no,isi_id,issn,isbn,environment,category
WOS:000312931600030,"Fluorometric Quantification of Polyphosphate in Environmental Plankton Samples: Extraction Protocols, Matrix Effects, and Nucleic Acid Interference",APPLIED AND ENVIRONMENTAL MICROBIOLOGY,1,79,273-281,JAN,2013,"Martin, Patrick | Van Mooy, Benjamin A. S.",,10.1128/AEM.02592-12,NA,062PK,0099-2240,NA,ocean,marine
WOS:000432019600025,Particulate polyphosphate and alkaline phosphatase activity across a latitudinal transect in the tropical Indian Ocean,LIMNOLOGY AND OCEANOGRAPHY,3,63,1395-1406,MAY,2018,"Martin, Patrick | Lauro, Federico M. | Sarkar, Amit | Goodkin, Nathalie | Prakash, Satya | Vinayachandran, P. N.",,10.1002/lno.10780,NA,GF5PI,0024-3590,NA,ocean,marine
WOS:000286664100039,Novel Analysis of Oceanic Surface Water Metagenomes Suggests Importance of Polyphosphate Metabolism in Oligotrophic Environments,PLOS ONE,1,6,,JAN 28,2011,"Temperton, Ben | Gilbert, Jack A. | Quinn, John P. | McGrath, John W.",,10.1371/journal.pone.0016499,NA,712JX,1932-6203,NA,ocean,marine
WOS:000352287800057,Phosphorus sequestration in the form of polyphosphate by microbial symbionts in marine sponges,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,14,112,4381-4386,APR 7,2015,"Zhang, Fan | Blasiak, Leah C. | Karolin, Jan O. | Powell, Ryan J. | Geddes, Chris D. | Hill, Russell T.",phosphorus sequestration | sponge | microbial symbionts | polyphosphate,10.1073/pnas.1423768112,NA,CF1EZ,0027-8424,NA,ocean,marine
WOS:000367983800015,"Polyphosphate dynamics at Station ALOHA, North Pacific subtropical gyre",LIMNOLOGY AND OCEANOGRAPHY,1,61,227-239,JAN,2016,"Diaz, Julia M. | Bjoerkman, Karin M. | Haley, Sheean T. | Ingall, Ellery D. | Karl, David M. | Longo, Amelia F. | Dyhrman, Sonya T.",,10.1002/lno.10206,NA,DA7KU,0024-3590,NA,ocean,marine
WOS:000299730600009,DISSECTING THE PHYSIOLOGICAL RESPONSE TO PHOSPHORUS STRESS IN MARINE SYNECHOCOCCUS ISOLATES (CYANOPHYCEAE),JOURNAL OF PHYCOLOGY,1,48,94-105,FEB,2012,"Mazard, Sophie | Wilson, William H. | Scanlan, Dave J.",marine Synechococcus | phosphorus | physiology | polyphosphate,10.1111/j.1529-8817.2011.01089.x,NA,884TB,0022-3646,NA,ocean,marine
WOS:000279298700003,Marine Dissolved Organic Phosphorus Composition: Insights from Samples Recovered Using Combined Electrodialysis/Reverse Osmosis,AQUATIC GEOCHEMISTRY,4,16,563-574,SEP,2010,"Young, Cindy L. | Ingall, Ellery D.",Phosphorus | Polyphosphate | Phosphonate | Marine | Amundsen Sea | Effingham inlet | Electrodialysis,10.1007/s10498-009-9087-y,NA,617RL,1380-6165,NA,ocean,marine
WOS:000474294900016,Preferential utilization of inorganic polyphosphate over other bioavailable phosphorus sources by the model diatoms Thalassiosira spp.,ENVIRONMENTAL MICROBIOLOGY,7,21,2415-2425,JUL,2019,"Diaz, Julia M. | Steffen, Rachel | Sanders, James G. | Tang, Yuanzhi | Duhamel, Solange",,10.1111/1462-2920.14630,NA,IH1ZM,1462-2912,NA,ocean,marine
WOS:000283667100032,Polyphosphate in Trichodesmium from the low-phosphorus Sargasso Sea,LIMNOLOGY AND OCEANOGRAPHY,5,55,2161-2169,SEP,2010,"Orchard, Elizabeth D. | Benitez-Nelson, Claudia R. | Pellechia, Perry J. | Lomas, Michael W. | Dyhrman, Sonya T.",,10.4319/lo.2010.55.5.2161,NA,673MI,0024-3590,NA,ocean,marine
WOS:000323078400002,Filamentous sulfur bacteria preserved in modern and ancient phosphatic sediments: implications for the role of oxygen and bacteria in phosphogenesis,GEOBIOLOGY,5,11,397-405,SEP,2013,"Bailey, J. V. | Corsetti, F. A. | Greene, S. E. | Crosby, C. H. | Liu, P. | Orphan, V. J.",,10.1111/gbi.12046,NA,200OL,1472-4677,NA,ocean,marine
