uid,title,journal,issue,volume,pages,date,year,authors,keywords,doi,article_no,isi_id,issn,isbn,environment,category
WOS:000167410700034,Polyphosphate : AMP phosphotransferase and Polyphosphate : ADP phosphotransferase activities of Pseudomonas aeruginosa,BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,3,281,821-826,MAR 2,2001,"Ishige, K | Noguchi, T",,NA,NA,409XJ,0006-291X,NA,all,all
WOS:000450541700012,Analytical polyphosphate extraction from Saccharomyces cerevisiae,ANALYTICAL BIOCHEMISTRY,NA,563,71-78,DEC 15,2018,"Christ, Jonas Johannes | Blank, Lars Mathias",Polyphosphate quantification | Saccharomyces cerevisiae | Analytical extraction | Saccharomyces cerevisiae exopolyphosphatase 1 (scPpx1p) | Saccharomyces cerevisiae inorganic | pyrophosphatase 1 (scIpp1p),10.1016/j.ab.2018.09.021,NA,HA8LS,0003-2697,NA,all,all
WOS:000383243100044,Extracellular Polyphosphate Inhibits Proliferation in an Autocrine Negative Feedback Loop in Dictyostelium discoideum,JOURNAL OF BIOLOGICAL CHEMISTRY,38,291,20260-20269,SEP 16,2016,"Suess, Patrick M. | Gomer, Richard H.",cell biology | cell growth | cell proliferation | Dictyostelium | stress | inositol hexakisphosphate kinase | polyphosphate | polyphosphate kinase,10.1074/jbc.M116.737825,NA,DV9EO,NA,NA,all,all
WOS:000260900900012,Different chain length specificity among three polyphosphate quantification methods,ANALYTICAL BIOCHEMISTRY,2,383,210-216,DEC 15,2008,"Ohtomo, Ryo | Sekiguchi, Yoko | Kojima, Tomoko | Saito, Masanori",Polyphosphate | Chain length | Polyphosphate kinase (PPK) | Polyphosphate exopolyphosphatase (PPX),10.1016/j.ab.2008.08.002,NA,372KQ,0003-2697,NA,all,all
WOS:000397297300022,Polyphosphate nanoparticles on the platelet surface trigger contact system activation,BLOOD,12,129,1707-1717,MAR 23,2017,"Verhoef, Johan J. F. | Barendrecht, Arjan D. | Nickel, Katrin F. | Dijkxhoorn, Kim | Kenne, Ellinor | Labberton, Linda | McCarty, Owen J. T. | Schiffelers, Raymond | Heijnen, Harry F. | Hendrickx, Antoni P. | Schellekens, Huub | Fens, Marcel H. | de Maat, Steven | Renne, Thomas | Maas, Coen",,10.1182/blood-2016-08-734988,NA,EP3QR,0006-4971,NA,all,all
WOS:000398036900009,Bacterial microcompartment-directed polyphosphate kinase promotes stable polyphosphate accumulation in E. coli,BIOTECHNOLOGY JOURNAL,3,12,,MAR,2017,"Liang, Mingzhi | Frank, Stefanie | Luensdorf, Heinrich | Warren, Martin J. u | Prentice, Michael B.",Bacteria | Biopolymers | Metabolic engineering | Microreactors | Synthetic biology,10.1002/biot.201600415,NA,EQ4HN,1860-6768,NA,all,all
WOS:000177244500007,Characterization and application of a long-chain polyphosphate in bacteria,NIPPON NOGEIKAGAKU KAISHI-JOURNAL OF THE JAPAN SOCIETY FOR BIOSCIENCE BIOTECHNOLOGY AND AGROCHEMISTRY,8,76,727-729,NA,2002,"Kuroda, A | Kato, J | Ikeda, T | Takiguchi, N | Ohtake, H",inorganic polyphosphate | ATP | evolution | glucokinase | Lon protease,NA,NA,580QD,0002-1407,NA,all,all
WOS:000477140800001,Comparison of the hydrolysis characteristics of three polyphosphates and their effects on soil phosphorus and micronutrient availability,SOIL USE AND MANAGEMENT,NA,NA,,JUL 22,2019,"Wang, Xuewei | Gao, Yanju | Hu, Baowei | Chu, Guixin",ammonium polyphosphate | hydrolysis | micronutrient availability | soil pH | temperature,10.1111/sum.12526,NA,IL2OW,0266-0032,NA,all,all
WOS:000305838400006,Optimization of sol-gel coatings on the surface of ammonium polyphosphate and its application in epoxy resin,JOURNAL OF FIRE SCIENCES,4,30,357-371,JUL,2012,"Qu, Hongqiang | Hao, Jianwei | Wu, Weihong | Zhao, Xiaowei | Jiang, Subin",Ammonium polyphosphate | surface modified | sol-gel | intumescent flame-retardant | epoxy resin,10.1177/0734904112442360,NA,966LF,0734-9041,NA,all,all
WOS:000375036800003,Flame retardancy of ammonium polyphosphate-montmorillonite nanocompounds on epoxy resin,JOURNAL OF FIRE SCIENCES,3,34,212-225,MAY,2016,"He, Xiangdong | Zhang, Wenchao | Yi, Deqi | Yang, Rongjie",Epoxy resin | montmorillonite | ammonium polyphosphate | ammonium polyphosphate-montmorillonite nanocompound | flame retardant,10.1177/0734904116637213,NA,DK6LZ,0734-9041,NA,all,all
WOS:000239392200001,RbGd(PO3)(4),ACTA CRYSTALLOGRAPHICA SECTION E-CRYSTALLOGRAPHIC COMMUNICATIONS,NA,62,I166-I168,AUG,2006,"Ettis, Hasna | Naili, Houcine | Mhiri, Tahar",,10.1107/S1600536806025487,NA,068RN,2056-9890,NA,all,all
WOS:000464099300007,The putative G protein-coupled receptor GrlD mediates extracellular polyphosphate sensing in Dictyostelium discoideum,MOLECULAR BIOLOGY OF THE CELL,9,30,1118-1128,APR 15,2019,"Suess, Patrick M. | Tang, Yu | Gomer, Richard H.",,10.1091/mbc.E18-10-0686,NA,HS8DD,1059-1524,NA,all,all
WOS:000350670700002,"Response to Comment on ""The Chemical Nature of Phosphorus in Subtropical Lake Sediments"", by Kenney et al.",AQUATIC GEOCHEMISTRY,1,21,7-9,JAN,2015,"Turner, Benjamin L. | Torres, Isabela C. | Reddy, K. Ramesh",Polyphosphate | Lake Apopka | Solution phosphorus-31 NMR spectroscopy | Sediment,10.1007/s10498-014-9242-y,NA,CC9EK,1380-6165,NA,all,all
WOS:000234669100011,Effect of polyphosphate on removal of endocrine-disrupting chemicals of nonylphenol and bisphenol-A by activated carbons,WATER QUALITY RESEARCH JOURNAL OF CANADA,4,40,484-490,NA,2005,"Choi, KJ | Kim, SG | Kim, CW | Kim, SH",endocrine-disrupting chemicals | nonylphenol | bisphenol-A | polyphosphate | activated carbon,NA,NA,003GF,1201-3080,NA,all,all
WOS:000259402600037,Polyphosphate enhances fibrin clot structure,BLOOD,7,112,2810-2816,OCT 1,2008,"Smith, Stephanie A. | Morrissey, James H.",,10.1182/blood-2008-03-145755,NA,351CR,0006-4971,NA,all,all
WOS:000274453100017,Polyphosphate binds with high affinity to exosite II of thrombin,JOURNAL OF THROMBOSIS AND HAEMOSTASIS,3,8,548-555,MAR,2010,"Mutch, N. J. | Myles, T. | Leung, L. L. K. | Morrissey, J. H.",exosite II | polyphosphate | prothrombin | thrombin,10.1111/j.1538-7836.2009.03723.x,NA,554RW,1538-7933,NA,all,all
WOS:000306099900004,Loss-of-function of inositol polyphosphate-4-phosphatase reversibly increases the severity of allergic airway inflammation,NATURE COMMUNICATIONS,NA,3,,JUN,2012,"Aich, Jyotirmoi | Mabalirajan, Ulaganathan | Ahmad, Tanveer | Agrawal, Anurag | Ghosh, Balaram",,10.1038/ncomms1880,NA,970AG,2041-1723,NA,all,all
WOS:000080895200014,Polyphosphate formation by Acinetobacter johnsonii 210A: effect of cellular energy status and phosphate-specific transport system,APPLIED MICROBIOLOGY AND BIOTECHNOLOGY,5,51,639-646,MAY,1999,"van Niel, EWJ | de Best, JH | Kets, EPW | Bonting, CFC | Kortstee, GJJ",,NA,NA,206TK,0175-7598,NA,all,all
WOS:000072519200003,Two internal pools of soluble polyphosphate in the cyanobacterium Synechocystis sp. strain PCC 6308: An in vivo P-31 NMR spectroscopic study,ARCHIVES OF MICROBIOLOGY,3,169,195-200,MAR,1998,"Lawerence, BA | Suarez, C | DePina, A | Click, E | Kolodny, NH | Allen, MM",cyanobacteria | polyphosphate | in vivo P-31 NMR spectroscopy | Synechocystis sp. strain PCC 6308 | EDTA permeabilization | spheroplasts,NA,NA,ZB899,0302-8933,NA,all,all
WOS:A1993KU03700001,POLYPHOSPHATE-DEPENDENT ENZYMES IN SOME CORYNEFORM BACTERIA ISOLATED FROM SEWAGE-SLUDGE,FEMS MICROBIOLOGY LETTERS,2-3,107,133-138,MAR 1,1993,"BARK, K | KAMPFER, P | SPONNER, A | DOTT, W",POLYPHOSPHATE ACCUMULATION | BIOLOGICAL PHOSPHATE REMOVAL | CORYNEFORM BACTERIA | POLYPHOSPHATE GLUCOKINASE | GLUCOSE-6-PHOSPHATE-DEPENDENT NAD KINASE,NA,NA,KU037,0378-1097,NA,all,all
WOS:000428386400021,A Flow Cytometry-Based Assay for Procoagulant Platelet Polyphosphate,CYTOMETRY PART B-CLINICAL CYTOMETRY,2,94,369-373,MAR,2018,"Labberton, Linda | Long, Andy T. | Gendler, Sandra J. | Snozek, Christine L. | Stavrou, Evi X. | Nickel, Katrin F. | Maas, Coen | Blankenberg, Stefan | Hernandez, James S. | Renne, Thomas",platelets | biomarker | flow cytometry | polyphosphate,10.1002/cyto.b.21492,NA,GA5PQ,1552-4949,NA,all,all
WOS:000187550700007,Rapid accumulation of polyphosphate in extraradical hyphae of an arbuscular mycorrhizal fungus as revealed by histochemistry and a polyphosphate kinase/luciferase system,NEW PHYTOLOGIST,2,161,387-392,FEB,2004,"Ezawa, T | Cavagnaro, TR | Smith, SE | Smith, FA | Ohtomo, R",arbuscular mycorrhizal fungi | luciferase | metachromasy | polyphosphate | polyphosphate kinase | Toluidine Blue O,10.1046/j.1469-8137.2003.00966.x,NA,757FR,0028-646X,NA,all,all
WOS:A1995RE33000025,OSMOTIC-STRESS-INDUCED SYNTHESIS AND DEGRADATION OF INORGANIC POLYPHOSPHATES IN THE ALGA PHAEODACTYLUM-TRICORNUTUM,MARINE ECOLOGY PROGRESS SERIES,1-3,121,279-288,MAY,1995,"LEITAO, JM | LORENZ, B | BACHINSKI, N | WILHELM, C | MULLER, WEG | SCHRODER, HC",POLYPHOSPHATE | OSMOTIC STRESS | POLYPHOSPHATE METABOLISM | ALGAE | PHAEODACTYLUM TRICORNUTUM,NA,NA,RE330,0171-8630,NA,all,all
WOS:000385367300010,Structural investigation of nickel polyphosphate coacervate glass-ceramics,RSC ADVANCES,94,6,91150-91156,NA,2016,"Franco, Douglas F. | Manzani, Danilo | Barud, Hernane S. | Antonio, Selma G. | de Oliveira, Luiz F. C. | Silva, Mauricio A. P. | Ribeiro, Sidney J. L. | Nalin, Marcelo",,10.1039/c6ra20696d,NA,DY8GO,2046-2069,NA,all,all
WOS:000168835200028,Use of polyphosphate in corrosion control,JOURNAL AMERICAN WATER WORKS ASSOCIATION,2,92,95-102,FEB,2000,"Cantor, AF | Denig-Chakroff, D | Vela, RR | Oleinik, MG | Lynch, DL",,NA,NA,434UX,0003-150X,NA,all,all
WOS:000474614300019,"Extracellular Polyphosphate Promotes Macrophage and Fibrocyte Differentiation, Inhibits Leukocyte Proliferation, and Acts as a Chemotactic Agent for Neutrophils",JOURNAL OF IMMUNOLOGY,2,203,493-499,JUL 15,2019,"Suess, Patrick M. | Chinea, Luis E. | Pilling, Darrell | Gomer, Richard H.",,10.4049/jimmunol.1801559,NA,IH6NR,0022-1767,NA,all,all
WOS:000223057000003,New basic and applied aspects of polyphosphate in microorganisms,NIPPON NOGEIKAGAKU KAISHI-JOURNAL OF THE JAPAN SOCIETY FOR BIOSCIENCE BIOTECHNOLOGY AND AGROCHEMISTRY,8,78,738-743,NA,2004,"Kuroda, A",inorganic polyphosphate | ATP | environmental biotechnology | evolution | bioluminescence,NA,NA,843DW,0002-1407,NA,all,all
WOS:A1972L974400016,STUDY ON EQUILIBRIUM DIAGRAM BETWEEN LITHIUM POLYPHOSPHATE AND LEAD POLYPHOSPHATE,COMPTES RENDUS HEBDOMADAIRES DES SEANCES DE L ACADEMIE DES SCIENCES SERIE C,11,274,1063-&,NA,1972,"GRENIER, JC | MAHAMA, I",,NA,NA,L9744,NA,NA,all,all
