uid,title,journal,issue,volume,pages,date,year,authors,keywords,doi,article_no,isi_id,issn,isbn,environment,category
WOS:A1997WH70800005,Detection of reserve polymer synthesis genes in natural bacterial populations,FEMS MICROBIOLOGY ECOLOGY,2,22,129-136,FEB,1997,"Lopez, NI | Pettinari, MJ | Mendez, BS",polyphosphate | polyhydroxyalkanoate | ppk genes | pha genes | bacterial survival | natural water,NA,NA,WH708,0168-6496,NA,river,freshwater
WOS:A1992JZ96300012,DIFFERENTIAL LUXURY PHOSPHATE RESPONSE OF PLANKTONIC ALGAE TO PHOSPHORUS REMOVAL,HYDROBIOLOGIA,NA,243,113-118,OCT 2,1992,"BOLIER, G | DEKONINGH, MCJ | SCHMALE, JC | DONZE, M",EUTROPHICATION | PLANKTONIC ALGAE | POLYPHOSPHATE GRANULES | PHOSPHORUS REMOVAL,NA,NA,JZ963,0018-8158,NA,river,freshwater
WOS:000234669100011,Effect of polyphosphate on removal of endocrine-disrupting chemicals of nonylphenol and bisphenol-A by activated carbons,WATER QUALITY RESEARCH JOURNAL OF CANADA,4,40,484-490,NA,2005,"Choi, KJ | Kim, SG | Kim, CW | Kim, SH",endocrine-disrupting chemicals | nonylphenol | bisphenol-A | polyphosphate | activated carbon,NA,NA,003GF,1201-3080,NA,river,freshwater
WOS:A1996VF37100011,Inorganic polyphosphates in the developing freshwater sponge Ephydatia muelleri: Effect of stress by polluted waters,ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,8,15,1329-1334,AUG,1996,"Imsiecke, G | Munkner, J | Lorenz, B | Bachinski, N | Muller, WEG | Schroder, HC",polyphosphate | pollution | theophylline | gemmulation | Ephydatia muelleri,10.1002/etc.5620150811,NA,VF371,0730-7268,NA,river,freshwater
WOS:000235220500007,Physiological differences between two species of cyanobacteria in relation to phosphorus limitation,JOURNAL OF PHYCOLOGY,1,42,61-66,FEB,2006,"Mateo, P | Douterelo, I | Berrendero, E | Perona, E",Calothrix | Nostoc | phosphatase activity | phosphate uptake | polyphosphate granules,10.1111/j.1529-8817.2006.00180.x,NA,010TJ,0022-3646,NA,river,freshwater
WOS:A1993KX96900031,PARTICULATE PHOSPHORUS SEDIMENTATION AT THE RIVER INFLOW TO A LAKE,HYDROBIOLOGIA,1-3,251,269-274,FEB 5,1993,"KUFEL, L",SEDIMENTATION | PHOSPHORUS FRACTIONS | RIVER INFLOW,NA,NA,KX969,0018-8158,NA,river,freshwater
WOS:000464373000015,"Widespread detection of Candidatus Accumulibacter phosphatis, a polyphosphate-accumulating organism, in sediments of the Columbia River estuary",ENVIRONMENTAL MICROBIOLOGY,4,21,1369-1382,APR,2019,"Watson, Sheree J. | Needoba, Joseph A. | Peterson, Tawnya D.",,10.1111/1462-2920.14576,NA,HT2DI,1462-2912,NA,river,freshwater
WOS:000372300100001,Adsorptive Performance of Ni(II) from Aqueous Solutions Using Biochar Made of Phragmites australis by Adding Ammonium Polyphosphate as Flame Retardant,JOURNAL OF CHEMISTRY,NA,NA,,NA,2016,"Liu, Peng | Yue, Min | Zhang, Houyong",,10.1155/2016/1797396,NA,DG7YR,2090-9063,NA,river,freshwater
WOS:000344922000002,"Water quality, chlorophyll, and periphyton responses to nutrient addition in the Kootenai River, Idaho",FRESHWATER SCIENCE,4,33,1024-1029,DEC,2014,"Hoyle, Genevieve M. | Holderman, Charlie | Anders, Paul J. | Shafii, Bahman | Ashley, Kenneth I.",nutrient addition | phosphorus | nitrogen | TN : TP ratio | water quality | chlorophyll accrual | periphyton | river restoration,10.1086/677883,NA,AT4PH,2161-9549,NA,river,freshwater
WOS:000493383100004,"Phosphorus speciation and dynamics in river sediments, floodplain soils and leaf litter from the Lower Murray River region",MARINE AND FRESHWATER RESEARCH,11,70,1522-1532,NA,2019,"Watson, F. T. | Smernik, R. J. | Doolette, A. L. | Mosley, L. M.",P-31 NMR | speciation,10.1071/MF18360,NA,JI3QR,1323-1650,NA,river,freshwater
WOS:000232347600017,Phosphorus dynamics in water and sediments in urbanized and non-urbanized rivers in Southern Brazil,MARINE POLLUTION BULLETIN,9,50,965-974,SEP,2005,"Pagliosa, PR | Fonseca, A | Bosquilha, GE | Braga, ES | Barbosa, FAR",dissolved phosphorus | polyphosphate | sediments | urbanization | river | Brazil,10.1016/j.marpolbul.2005.04.005,NA,970YF,0025-326X,NA,river,freshwater
WOS:000378864300033,"Microbial diversity in lake-river ecotone of Poyang Lake, China",ENVIRONMENTAL EARTH SCIENCES,11,75,,JUN,2016,"Huang, Xiaolan | Hu, Baoqing | Wang, Peng | Chen, Xiaoling | Xu, Bing",Poyang Lake | Lake-river ecotone | Microbial groups | Diversity,10.1007/s12665-016-5473-0,NA,DQ0CA,1866-6280,NA,river,freshwater
WOS:000176811800008,Longitudinal patterns of phosphorus and phosphorus binding in sediment of a lowland lake-river system,HYDROBIOLOGIA,1-3,472,67-76,MAR,2002,"Selig, U | Schlungbaum, G",river sediment | nutrient | P-fractionation | Benthic phosphorus release,NA,NA,573CM,0018-8158,NA,river,freshwater
WOS:000081003700006,Influence of bacterial density on the exchange of phosphate between sediment and overlying water,HYDROBIOLOGIA,1,392,55-63,NA,1999,"Clavero, V | Izquierdo, JJ | Fernandez, JA | Niell, FX",bacteria | sediment | phosphate | Palmones River,NA,NA,208QW,0018-8158,NA,river,freshwater
