uid,title,journal,issue,volume,pages,date,year,authors,keywords,doi,article_no,isi_id,issn,isbn,environment,category
WOS:000350670700002,"Response to Comment on ""The Chemical Nature of Phosphorus in Subtropical Lake Sediments"", by Kenney et al.",AQUATIC GEOCHEMISTRY,1,21,7-9,JAN,2015,"Turner, Benjamin L. | Torres, Isabela C. | Reddy, K. Ramesh",Polyphosphate | Lake Apopka | Solution phosphorus-31 NMR spectroscopy | Sediment,10.1007/s10498-014-9242-y,NA,CC9EK,1380-6165,NA,sediment,terrestrial
WOS:000290021000012,Sulfide induces phosphate release from polyphosphate in cultures of a marine Beggiatoa strain,ISME JOURNAL,3,5,497-506,MAR,2011,"Brock, Joerg | Schulz-Vogt, Heide N.",sulfur bacteria | marine sediment | polyphosphate | phosphorus cycle,10.1038/ismej.2010.135,NA,756NZ,1751-7362,NA,sediment,terrestrial
WOS:A1988U686500007,A REMARK ON MICROORGANISMS IN LAKE-SEDIMENTS WITH EMPHASIS ON POLYPHOSPHATE-ACCUMULATING BACTERIA,INTERNATIONALE REVUE DER GESAMTEN HYDROBIOLOGIE,6,73,703-708,NA,1988,"UHLMANN, D | BAUER, HD",,NA,NA,U6865,0020-9309,NA,sediment,terrestrial
WOS:000336983000004,The Chemical Nature of Phosphorus in Subtropical Lake Sediments,AQUATIC GEOCHEMISTRY,4,20,437-457,JUL,2014,"Torres, Isabela C. | Turner, Benjamin L. | Reddy, K. Ramesh",Phosphorus | Sediment | Solution P-31 NMR spectroscopy | Sequential fractionation | Polyphosphate | Subtropical | Florida,10.1007/s10498-014-9228-9,NA,AI6KN,1380-6165,NA,sediment,terrestrial
WOS:000084653200005,Distribution of organic and inorganic phosphorus compounds in marine and lacustrine sediments: a P-31 NMR study,CHEMICAL GEOLOGY,1-4,163,101-114,FEB,2000,"Carman, R | Edlund, G | Damberg, C",P-31 NMR | sediment | distribution | diagenesis,NA,NA,272MB,0009-2541,NA,sediment,terrestrial
WOS:000299293900013,Unusual polyphosphate inclusions observed in a marine Beggiatoa strain,ANTONIE VAN LEEUWENHOEK INTERNATIONAL JOURNAL OF GENERAL AND MOLECULAR MICROBIOLOGY,2,101,347-357,FEB,2012,"Brock, Joerg | Rhiel, Erhard | Beutler, Martin | Salman, Verena | Schulz-Vogt, Heide N.",Beggiatoa | Polyphosphate | Acidocalcisome | Confocal laser scanning microscopy,10.1007/s10482-011-9640-8,NA,878YN,0003-6072,NA,sediment,terrestrial
WOS:000286790500015,Release of organic P forms from lake sediments,WATER RESEARCH,2,45,565-572,JAN,2011,"Ahlgren, J. | Reitzel, K. | De Brabandere, H. | Gogoll, A. | Rydin, E.",Organic phosphorus | Release | Sediments | (31)P NMR,10.1016/j.watres.2010.09.020,NA,714EO,0043-1354,NA,sediment,terrestrial
WOS:000257446900035,Use of laser microdissection for phylogenetic characterization of polyphosphate-accumulating bacteria,APPLIED AND ENVIRONMENTAL MICROBIOLOGY,13,74,4231-4235,JUL,2008,"Gloess, Stefanie | Grossart, Hans-Peter | Allgaier, Martin | Ratering, Stefan | Hupfer, Michael",,10.1128/AEM.02545-07,NA,323LF,0099-2240,NA,sediment,terrestrial
WOS:000366617500013,Quantitative evaluation of noncovalent interactions between polyphosphate and dissolved humic acids in aqueous conditions,ENVIRONMENTAL POLLUTION,NA,207,123-129,DEC,2015,"Fang, Wei | Sheng, Guo-Ping | Wang, Long-Fei | Ye, Xiao-Dong | Yu, Han-Qing",Humic acids | Polyphosphate | Hydrogen bonding | Isothermal titration calorimetry | P-31 nuclear magnetic resonance,10.1016/j.envpol.2015.09.001,NA,CY7VN,0269-7491,NA,sediment,terrestrial
WOS:000173262400027,Luxury uptake of phosphorus by sediment bacteria,WATER RESEARCH,3,36,774-778,FEB,2002,"Khoshmanesh, A | Hart, BT | Duncan, A | Beckett, R",phosphorus | sediment | abiotic uptake | acetate | biotic uptake | glucose | Poly-P bacteria | P-11-NMR | TEM,NA,NA,511KE,0043-1354,NA,sediment,terrestrial
