uid,title,journal,issue,volume,pages,date,year,authors,keywords,doi,article_no,isi_id,issn,isbn,environment,category
WOS:000477140800001,Comparison of the hydrolysis characteristics of three polyphosphates and their effects on soil phosphorus and micronutrient availability,SOIL USE AND MANAGEMENT,NA,NA,,JUL 22,2019,"Wang, Xuewei | Gao, Yanju | Hu, Baowei | Chu, Guixin",ammonium polyphosphate | hydrolysis | micronutrient availability | soil pH | temperature,10.1111/sum.12526,NA,IL2OW,0266-0032,NA,soil,terrestrial
WOS:000230044800008,Hydrolysis rates of inorganic polyphosphates in aqueous solution as well as in soils and effects on P availability,JOURNAL OF PLANT NUTRITION AND SOIL SCIENCE,3,168,352-358,APR,2005,"Torres-Dorante, LO | Claasen, N | Steingrobe, B | Olfs, HW",condensed phosphates | orthophosphate | P availability | phosphorus sources | polyphosphate | polyphosphate hydrolysis,10.1002/jpln.200420494,NA,939AP,1436-8730,NA,soil,terrestrial
WOS:A1979GS08600009,REACTIONS OF AMMONIUM ORTHO-PHOSPHATE AND POLYPHOSPHATE FERTILIZERS IN SOIL .2. HYDROLYSIS AND REACTIONS WITH SOIL,SOIL SCIENCE SOCIETY OF AMERICA JOURNAL,1,43,52-58,NA,1979,"KHASAWNEH, FE | HASHIMOTO, I | SAMPLE, EC",,NA,NA,GS086,0361-5995,NA,soil,terrestrial
WOS:000304788500063,Regulation of Polyphosphate Kinase Production by Antisense RNA in Pseudomonas fluorescens Pf0-1,APPLIED AND ENVIRONMENTAL MICROBIOLOGY,12,78,4533-4537,JUN,2012,"Silby, Mark W. | Nicoll, Julie S. | Levy, Stuart B.",,10.1128/AEM.07836-11,NA,952JJ,0099-2240,NA,soil,terrestrial
WOS:A1989CE17200009,HYDROLYSIS OF AMMONIUM POLYPHOSPHATE IN SOILS UNDER AEROBIC AND ANAEROBIC CONDITIONS,BIOLOGY AND FERTILITY OF SOILS,4,8,325-327,NA,1989,"VENUGOPALAN, MV | PRASAD, R",,NA,NA,CE172,0178-2762,NA,soil,terrestrial
WOS:000261579500021,Exchangeability of orthophosphate and pyrophosphate in soils: a double isotopic labelling study,PLANT AND SOIL,1-2,314,243-252,JAN,2009,"McBeath, T. M. | Lombi, E. | McLaughlin, M. J. | Buenemann, E. K.",Fertilisers | Lability | Polyphosphate | Calcareous soils,10.1007/s11104-008-9723-0,NA,382BJ,0032-079X,NA,soil,terrestrial
WOS:A1994NR90100008,CHEMICAL CHARACTERIZATION AND AGRONOMIC EFFECTIVENESS OF PHOSPHORUS APPLIED AS A POLYPHOSPHATE-CHITOSAN COMPLEX,FERTILIZER RESEARCH,2,37,151-158,NA,1994,"FROSSARD, E | TEKELY, P | MOREL, JL",C-13 CP MAS NMR | CHITOSAN | HEXAMETAPHOSPHATE | P-31 MAS NMR | PYROPHOSPHATE,NA,NA,NR901,0167-1731,NA,soil,terrestrial
WOS:000247571100001,"Pyrophosphate and orthophosphate addition to soils: sorption, cation concentrations, and dissolved organic carbon",AUSTRALIAN JOURNAL OF SOIL RESEARCH,4,45,237-245,NA,2007,"McBeath, T. M. | Lombi, E. | McLaughlin, M. J. | Buenemann, E. K.",phosphorus | partitioning | polyphosphate | ion chromatography | calcarosol,10.1071/SR07014,NA,183KG,0004-9573,NA,soil,terrestrial
WOS:A1973Q276600012,EVALUATION OF CALCIUM POLYPHOSPHATE FERTILIZER FOR RICE ON CONTRASTING INDIAN SOILS,AGROCHIMICA,3-4,17,272-281,NA,1973,"MISTRY, KB | YADAV, VB | SINHA, AK",,NA,NA,Q2766,0002-1857,NA,soil,terrestrial
WOS:A1980JZ86300038,REACTIONS OF MNEDTA APPLIED ALONE OR WITH AMMONIUM POLYPHOSPHATE FERTILIZER TO SOILS,SOIL SCIENCE SOCIETY OF AMERICA JOURNAL,3,44,621-626,NA,1980,"MORTVEDT, JJ",,NA,NA,JZ863,0361-5995,NA,soil,terrestrial
