uid,title,journal,issue,volume,pages,date,year,authors,keywords,doi,article_no,isi_id,issn,isbn,environment,category
WOS:000359833900015,Effect of a Humus Soil Side-Stream Reactor (HSR) on the Bacterial Characteristics in Enhanced Biological Phosphorus Removal Process,JOURNAL OF CHEMICAL ENGINEERING OF JAPAN,6,48,498-505,JUN,2015,"Wu, Min | Zhu, Rui | Ma, HuiRong | Zhu, Heguang | Dai, Xiaohu | Yang, Jian",Polyphosphate Accumulating Organisms | Glycogen Accumulating Organisms | Humus Soil Side-Stream Reactor | Polyphosphate Kinase,10.1252/jcej.14we069,NA,CP4ED,0021-9592,NA,stream,freshwater
WOS:000376471600004,Polyphosphate plays a vital role in the phosphorus dynamics of stream periphyton,FRESHWATER SCIENCE,2,35,490-502,JUN,2016,"Rier, Steven T. | Kinek, Keith C. | Hay, Sarah E. | Francoeur, Steven N.",polyphosphate | periphyton | phosphorus | streams | overplus | algae | spate | storm runoff | nutrient | pulse,10.1086/685859,NA,DM6OF,2161-9549,NA,stream,freshwater
WOS:000401114200003,Evidence for polyphosphate accumulating organism (PAO)-mediated phosphorus cycling in stream biofilms under alternating aerobic/anaerobic conditions,FRESHWATER SCIENCE,2,36,284-296,JUN,2017,"Saia, Sheila M. | Sullivan, Patrick J. | Regan, John M. | Carrick, Hunter J. | Buda, Anthony R. | Locke, Nicholas A. | Walter, M. Todd",polyphosphate accumulating organisms | stream biofilms | biogeochemistry | phosphorus,10.1086/691439,NA,EU5ZU,2161-9549,NA,stream,freshwater
WOS:000327911700007,A novel post denitrification configuration for phosphorus recovery using polyphosphate accumulating organisms,WATER RESEARCH,17,47,6488-6495,NOV 1,2013,"Wong, Pan Yu | Cheng, Ka Yu | Kaksonen, Anna H. | Sutton, David C. | Ginige, Maneesha P.",Phosphorus removal | Phosphorus recovery | Enhanced biological phosphorus removal | Polyphosphate accumulating organisms | Denitrifying polyphosphate accumulating organisms | Wastewater treatment | Post denitrification,10.1016/j.watres.2013.08.023,NA,264WM,0043-1354,NA,stream,freshwater
WOS:000353729100052,The metabolic versatility of PAOs as an opportunity to obtain a highly P-enriched stream for further P-recovery,CHEMICAL ENGINEERING JOURNAL,NA,270,459-467,JUN 15,2015,"Acevedo, B. | Camino, C. | Corona, J. E. | Borras, L. | Barat, R.",Phosphorus recovery | Polyphosphate (poly-P) | Polyphosphate accumulating metabolism (PAM) | Glycogen accumulating metabolism (GAM) | Enhanced biological phosphorus removal (EBPR) | Sequencing batch reactor (SBR),10.1016/j.cej.2015.02.063,NA,CH0RC,1385-8947,NA,stream,freshwater
WOS:A1993KE60300095,AN EXOPOLYPHOSPHATASE OF ESCHERICHIA-COLI - THE ENZYME AND ITS PPX GENE IN A POLYPHOSPHATE OPERON,JOURNAL OF BIOLOGICAL CHEMISTRY,1,268,633-639,JAN 5,1993,"AKIYAMA, M | CROOKE, E | KORNBERG, A",,NA,NA,KE603,0021-9258,NA,stream,freshwater
WOS:000364520100010,Screening of Phosphorus-Accumulating Fungi and Their Potential for Phosphorus Removal from Waste Streams,APPLIED BIOCHEMISTRY AND BIOTECHNOLOGY,5,177,1127-1136,NOV,2015,"Ye, Yulin | Gan, Jing | Hu, Bo",Phosphorus-accumulating fungi | Mucor circinelloides | Polyphosphate | Phosphorus removal | Waste streams,10.1007/s12010-015-1801-1,NA,CV8GP,0273-2289,NA,stream,freshwater
WOS:000412504700010,The inositol pyrophosphate synthesis pathway in Trypanosoma brucei is linked to polyphosphate synthesis in acidocalcisomes,MOLECULAR MICROBIOLOGY,2,106,319-333,OCT,2017,"Cordeiro, Ciro D. | Saiardi, Adolfo | Docampo, Roberto",,10.1111/mmi.13766,NA,FJ1UG,0950-382X,NA,stream,freshwater
WOS:000464296400005,"Simultaneous nitrification, denitrification and phosphorus recovery (SNDPr) - An opportunity to facilitate full-scale recovery of phosphorus from municipal wastewater",JOURNAL OF ENVIRONMENTAL MANAGEMENT,NA,238,41-48,MAY 15,2019,"Salehi, Sara | Cheng, Ka Yu | Heitz, Anna | Ginige, Maneesha P.",Phosphorus recovery | Polyphosphate accumulating organisms (PAOs) | Denitrifying polyphosphate accumulating organisms (DPAOs) | Simultaneous nitrification denitrification and phosphorus removal (SNDPR),10.1016/j.jenvman.2019.02.063,NA,HT1AM,0301-4797,NA,stream,freshwater
WOS:000350869700008,EBPR Using Crude Glycerol: Assessing Process Resiliency and Exploring Metabolic Anomalies,WATER ENVIRONMENT RESEARCH,1,87,68-79,JAN,2015,"Coats, Erik R. | Dobroth, Zachary T. | Brinkman, Cynthia K.",enhanced biological phosphorus removal (EBPR) | crude glycerol | polyphosphate accumulating organisms (PAOs) | glycogen accumulating organisms (GAOs) | volatile fatty acids (VFAs) | polyphosphate,10.2175/106143014X14062131179113,NA,CD1YD,1061-4303,NA,stream,freshwater
WOS:000228901400014,Performance evaluation of dispersants through streaming potential measurements,JOURNAL OF DISPERSION SCIENCE AND TECHNOLOGY,3,26,365-370,NA,2005,"Bhattacharjee, S | Singh, BP | Besra, L | Sengupta, DK",alumina | suspension | interface | dispersion | stability,10.1081/DIS-200049616,NA,923HQ,0193-2691,NA,stream,freshwater
WOS:000493220400025,Side-stream enhanced biological phosphorus removal (S2EBPR) process improves system performance - A full-scale comparative study,WATER RESEARCH,NA,167,,DEC 15,2019,"Wang, Dongqi | Tooker, Nicholas B. | Srinivasan, Varun | Li, Guangyu | Fernandez, Loretta A. | Schauer, Peter | Menniti, Adrienne | Maher, Chris | Bott, Charles B. | Dombrowski, Paul | Barnard, James L. | Onnis-Hayden, Annalisa | Gu, April Z.",EBPR | Side-stream | Performance comparison | Microbial ecology | Activity,10.1016/j.watres.2019.115109,NA,JI1IZ,0043-1354,NA,stream,freshwater
WOS:000175786600019,"Extensive tubular vacuole system in an arbuscular mycorrhizal fungus, Gigaspora margarita",NEW PHYTOLOGIST,3,154,761-768,JUN,2002,"Uetake, Y | Kojima, T | Ezawa, T | Saito, M",tubular vacuole | Gigaspora margarita | arbuscular mycorrhiza | Oregon Green 488 carboxy-DFFDA | laser scanning confocal microscopy,NA,NA,555GP,0028-646X,NA,stream,freshwater
WOS:000433649800055,Improvement of carbon usage for phosphorus recovery in EBPR-r and the shift in microbial community,JOURNAL OF ENVIRONMENTAL MANAGEMENT,NA,218,569-578,JUL 15,2018,"Wong, Pan Yu | Cheng, Ka Yu | Krishna, K. C. Bal | Kaksonen, Anna H. | Sutton, David C. | Ginige, Maneesha P.",Nutrient removal | Phosphorus recovery | Post-denitrification | Phosphorus removal | Polyphosphate accumulating organisms | Denitrifying polyphosphate accumulating organisms,10.1016/j.jenvman.2018.03.130,NA,GH7QZ,0301-4797,NA,stream,freshwater
WOS:000178081600021,P metabolism and transport in AM fungi,PLANT AND SOIL,1-2,244,221-230,JUL,2002,"Ezawa, T | Smith, SE | Smith, FA",arbuscular mycorrhizal fungi | P metabolism | polyphosphate | P transport | V-ATPase | vacuoles,NA,NA,594ZD,0032-079X,NA,stream,freshwater
