uid,title,journal,issue,volume,pages,date,year,authors,keywords,doi,article_no,isi_id,issn,isbn,environment,category
WOS:A1991FB75600002,LABORATORY STUDIES ON CORROSION OF UNALLOYED STEEL IN COOLING WATERS,WERKSTOFFE UND KORROSION-MATERIALS AND CORROSION,1,42,8-11,JAN,1991,"NAUMANN, G | SCHIMKE, D",,NA,NA,FB756,0947-5117,NA,saltwater,marine
WOS:000465148600011,Synthesis of Polyphosphate-Loaded Nanoparticles Using Inverse Miniemulsion Polymerization for Sustained Delivery to the Gastrointestinal Tract,MACROMOLECULAR REACTION ENGINEERING,2,13,,APR,2019,"Borges, Fernando T. P. | Papavasiliou, Georgia | Teymour, Fouad",drug delivery | hydrogel nanoparticles | miniemulsion polymerization | phosphate salts | polymerization reaction engineering,10.1002/mren.201800068,NA,HU3CH,1862-832X,NA,saltwater,marine
WOS:000224871500003,Determination of suitable corrosion inhibitor formulation for a potable water supply,ANTI-CORROSION METHODS AND MATERIALS,6,51,399-405,NA,2004,"Mehr, ME | Shahrabi, T | Hosseini, MG",water supply | steel | silicates | corrosion inhibitors,10.1108/00035590410560949,NA,867VU,0003-5599,NA,saltwater,marine
WOS:000369077300041,Low-field NMR determination of water distribution in meat batters with NaCl and polyphosphate addition,FOOD CHEMISTRY,NA,200,308-314,JUN 1,2016,"Shao, Jun-Hua | Deng, Ya-Min | Jia, Na | Li, Ru-Ren | Cao, Jin-Xuan | Liu, Deng-Yong | Li, Jian-Rong",Meat batter | NaCl | Polyphosphates | Cooking loss | Low-field NMR,10.1016/j.foodchem.2016.01.013,NA,DC2VV,0308-8146,NA,saltwater,marine
WOS:000071341000055,Dehydroxylation mechanisms of polyphosphate glasses in relation to temperature and pressure,JOURNAL OF NON-CRYSTALLINE SOLIDS,NA,222,415-421,DEC,1997,"Gomez, F | Vast, P | Llewellyn, P | Rouquerol, F",,NA,NA,YQ036,0022-3093,NA,saltwater,marine
WOS:000088288700002,Physical and sensory characteristics of processed Ras cheese spreads with formulated emulsifying salt mixtures,INTERNATIONAL JOURNAL OF FOOD PROPERTIES,1,3,15-36,NA,2000,"Abdel-Hamid, LB | El-Shabrawy, SA | Awad, RA | Singh, RK",,NA,NA,336EJ,1094-2912,NA,saltwater,marine
WOS:000224316600006,Physical and sensory properties of block processed cheese with formulated emulsifying salt mixtures,INTERNATIONAL JOURNAL OF FOOD PROPERTIES,3,7,429-448,NOV,2004,"Awad, RA | Abdel-Hamid, LB | Ei-Shabrawy, SA | Singh, RK",processed cheese | rheology | oil index | meltability | emulsifying salt | water activity | consistency | color | sensory properties,10.1081/JFP-200032934,NA,860CP,1094-2912,NA,saltwater,marine
WOS:000267885100004,"Molecular characterization of ThIPK2, an inositol polyphosphate kinase gene homolog from Thellungiella halophila, and its heterologous expression to improve abiotic stress tolerance in Brassica napus",PHYSIOLOGIA PLANTARUM,4,136,407-425,AUG,2009,"Zhu, Jin-Qi | Zhang, Jian-Tao | Tang, Ren-Jie | Lv, Qun-Dan | Wang, Qiu-Qing | Yang, Lei | Zhang, Hong-Xia",,10.1111/j.1399-3054.2009.01235.x,NA,469GT,0031-9317,NA,saltwater,marine
WOS:000088517600039,The effect of monovalent ions on polyphosphate binding to Escherichia coli exopolyphosphatase,BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,1,274,236-241,JUL 21,2000,"Bolesch, DG | Keasling, JD",anion | cation | equilibrium binding | dissociation constant | polyphosphate | PPX,NA,NA,340DJ,0006-291X,NA,saltwater,marine
WOS:000368970300002,Rheology of polyphosphate coacervates,JOURNAL OF RHEOLOGY,1,60,25-34,JAN-FEB,2016,"Momeni, Arash | Filiaggi, Mark Joseph",,10.1122/1.4935127,NA,DC1IP,0148-6055,NA,saltwater,marine
